dataset_id	source	tissue_or_resource	organism	platform_or_type	n_samples_known	role_in_study	priority	storage_tier	access_url	notes
PRJCA008120	NGDC	human meniscus	Homo sapiens	scRNA-seq_FASTQ	96_runs	rerun_or_later_validation	medium	G_large_if_raw_fastq	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA001986	HRA001986 provides metadata and FASTQ run URLs only; no processed matrix found yet.
GSE220243	GEO	human cartilage and meniscus	Homo sapiens	scRNA-seq_10x_mtx	26	primary_runnable_single_cell	high	G_large_if_cellranger_or_F_if_matrices	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE220nnn/GSE220243/	ARD ZEB1/FAP senescent pathogenic cluster dataset; RAW tar downloaded and extracted; use as first runnable single-cell dataset.
GSE98918	GEO	human meniscus	Homo sapiens	microarray	24	bulk_meniscus_validation	high	F	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE98nnn/GSE98918/	Meniscus OA biology array dataset; use for MSP activity, ROC, and age-adjusted modeling if metadata permits.
GSE185064	GEO	human meniscus	Homo sapiens	RNA-seq	8	bulk_meniscus_validation	high	F	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE185nnn/GSE185064/	Healthy and osteoarthritic menisci RNA-seq; small but tissue-matched validation; supplementary expression file contains 4-gene FPKM table and may be limited.
GSE191157	GEO	human meniscus	Homo sapiens	array_and_ncRNA_seq	8	aging_meniscus_validation	medium	F	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE191nnn/GSE191157/	Age-related meniscus expression; use to separate MSP from normal aging.
GSE114007	GEO	human cartilage	Homo sapiens	RNA-seq	38	cartilage_projection_validation	high	F	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE114nnn/GSE114007/	OA cartilage RNA-seq; standard series matrix unavailable, use supplementary normalized counts and raw counts.
GSE169077	GEO	human cartilage	Homo sapiens	microarray	11	cartilage_projection_validation	medium	F	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE169nnn/GSE169077/	OA cartilage array validation; small sample size.
GSE143514	GEO	human synovium	Homo sapiens	RNA-seq_and_miRNA_seq	16	synovium_projection_validation	medium	F	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE143nnn/GSE143514/	Synovial OA RNA-seq; standard series matrix unavailable, use supplementary mRNA raw counts; not a meniscus cohort.
GSE55235	GEO	human synovium	Homo sapiens	microarray	30	synovium_projection_validation	high	F	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE55nnn/GSE55235/	Synovium OA/RA/control dataset; use OA vs control and avoid RA in primary OA inference.
GSE55457	GEO	human synovium	Homo sapiens	microarray	33	synovium_projection_validation	high	F	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE55nnn/GSE55457/	Independent synovium validation from Jena cohort.
GSE89408	GEO	human synovial biopsy	Homo sapiens	RNA-seq	218	synovium_large_context	medium	F_or_G_if_large	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE89nnn/GSE89408/	Large synovial biopsy RNA-seq; standard matrix is minimal, use supplementary count matrix; mixed arthritis context, use carefully with disease labels.
OA_GWAS_Boer_2021	GWAS Catalog_or_author_release	osteoarthritis GWAS	Homo sapiens	GWAS_summary	826000_approx	MR_colocalization_outcome	medium	G_large_if_summary	https://www.ebi.ac.uk/gwas/	Use for causal inference module after MSP core genes are finalized.
GTEx_v8_eQTL	GTEx	multi_tissue_eQTL	Homo sapiens	eQTL_summary	not_applicable	MR_colocalization_exposure	medium	G_large_if_full	https://gtexportal.org/home/datasets	Fallback eQTL source if meniscus-specific eQTL is unavailable or preprint-only.
