dataset_id	gsm_id	sample_label	tissue	disease_status	region	replicate	barcodes_path	features_path	matrix_path	barcodes_size_bytes	features_size_bytes	matrix_size_bytes	analysis_include
GSE220243	GSM6797148	CartNorm1	cartilage	normal	not_reported	1	G:\半月板特异性衰老程序连接纤维软骨细胞命运障碍与膝骨关节炎滑膜-软骨炎症重塑扩展资料\raw_large\single_cell\GSE220243\extracted\GSM6797148_CartNorm1_barcodes.tsv.gz	G:\半月板特异性衰老程序连接纤维软骨细胞命运障碍与膝骨关节炎滑膜-软骨炎症重塑扩展资料\raw_large\single_cell\GSE220243\extracted\GSM6797148_CartNorm1_features.tsv.gz	G:\半月板特异性衰老程序连接纤维软骨细胞命运障碍与膝骨关节炎滑膜-软骨炎症重塑扩展资料\raw_large\single_cell\GSE220243\extracted\GSM6797148_CartNorm1_matrix.mtx.gz	41918	270601	90573583	TRUE
GSE220243	GSM6797149	CartNorm2	cartilage	normal	not_reported	2	G:\半月板特异性衰老程序连接纤维软骨细胞命运障碍与膝骨关节炎滑膜-软骨炎症重塑扩展资料\raw_large\single_cell\GSE220243\extracted\GSM6797149_CartNorm2_barcodes.tsv.gz	G:\半月板特异性衰老程序连接纤维软骨细胞命运障碍与膝骨关节炎滑膜-软骨炎症重塑扩展资料\raw_large\single_cell\GSE220243\extracted\GSM6797149_CartNorm2_features.tsv.gz	G:\半月板特异性衰老程序连接纤维软骨细胞命运障碍与膝骨关节炎滑膜-软骨炎症重塑扩展资料\raw_large\single_cell\GSE220243\extracted\GSM6797149_CartNorm2_matrix.mtx.gz	34252	270601	66971708	TRUE
GSE220243	GSM6797150	CartNorm3	cartilage	normal	not_reported	3	G:\半月板特异性衰老程序连接纤维软骨细胞命运障碍与膝骨关节炎滑膜-软骨炎症重塑扩展资料\raw_large\single_cell\GSE220243\extracted\GSM6797150_CartNorm3_barcodes.tsv.gz	G:\半月板特异性衰老程序连接纤维软骨细胞命运障碍与膝骨关节炎滑膜-软骨炎症重塑扩展资料\raw_large\single_cell\GSE220243\extracted\GSM6797150_CartNorm3_features.tsv.gz	G:\半月板特异性衰老程序连接纤维软骨细胞命运障碍与膝骨关节炎滑膜-软骨炎症重塑扩展资料\raw_large\single_cell\GSE220243\extracted\GSM6797150_CartNorm3_matrix.mtx.gz	18480	270601	41106970	TRUE
GSE220243	GSM6797151	CartNorm4	cartilage	normal	not_reported	4	G:\半月板特异性衰老程序连接纤维软骨细胞命运障碍与膝骨关节炎滑膜-软骨炎症重塑扩展资料\raw_large\single_cell\GSE220243\extracted\GSM6797151_CartNorm4_barcodes.tsv.gz	G:\半月板特异性衰老程序连接纤维软骨细胞命运障碍与膝骨关节炎滑膜-软骨炎症重塑扩展资料\raw_large\single_cell\GSE220243\extracted\GSM6797151_CartNorm4_features.tsv.gz	G:\半月板特异性衰老程序连接纤维软骨细胞命运障碍与膝骨关节炎滑膜-软骨炎症重塑扩展资料\raw_large\single_cell\GSE220243\extracted\GSM6797151_CartNorm4_matrix.mtx.gz	30751	294506	46705545	TRUE
GSE220243	GSM6797152	CartNorm5	cartilage	normal	not_reported	5	G:\半月板特异性衰老程序连接纤维软骨细胞命运障碍与膝骨关节炎滑膜-软骨炎症重塑扩展资料\raw_large\single_cell\GSE220243\extracted\GSM6797152_CartNorm5_barcodes.tsv.gz	G:\半月板特异性衰老程序连接纤维软骨细胞命运障碍与膝骨关节炎滑膜-软骨炎症重塑扩展资料\raw_large\single_cell\GSE220243\extracted\GSM6797152_CartNorm5_features.tsv.gz	G:\半月板特异性衰老程序连接纤维软骨细胞命运障碍与膝骨关节炎滑膜-软骨炎症重塑扩展资料\raw_large\single_cell\GSE220243\extracted\GSM6797152_CartNorm5_matrix.mtx.gz	30210	294506	57888425	TRUE
GSE220243	GSM6797153	CartNorm6	cartilage	normal	not_reported	6	G:\半月板特异性衰老程序连接纤维软骨细胞命运障碍与膝骨关节炎滑膜-软骨炎症重塑扩展资料\raw_large\single_cell\GSE220243\extracted\GSM6797153_CartNorm6_barcodes.tsv.gz	G:\半月板特异性衰老程序连接纤维软骨细胞命运障碍与膝骨关节炎滑膜-软骨炎症重塑扩展资料\raw_large\single_cell\GSE220243\extracted\GSM6797153_CartNorm6_features.tsv.gz	G:\半月板特异性衰老程序连接纤维软骨细胞命运障碍与膝骨关节炎滑膜-软骨炎症重塑扩展资料\raw_large\single_cell\GSE220243\extracted\GSM6797153_CartNorm6_matrix.mtx.gz	32694	294506	76746934	TRUE
GSE220243	GSM6797154	CartOA1	cartilage	OA	not_reported	1	G:\半月板特异性衰老程序连接纤维软骨细胞命运障碍与膝骨关节炎滑膜-软骨炎症重塑扩展资料\raw_large\single_cell\GSE220243\extracted\GSM6797154_CartOA1_barcodes.tsv.gz	G:\半月板特异性衰老程序连接纤维软骨细胞命运障碍与膝骨关节炎滑膜-软骨炎症重塑扩展资料\raw_large\single_cell\GSE220243\extracted\GSM6797154_CartOA1_features.tsv.gz	G:\半月板特异性衰老程序连接纤维软骨细胞命运障碍与膝骨关节炎滑膜-软骨炎症重塑扩展资料\raw_large\single_cell\GSE220243\extracted\GSM6797154_CartOA1_matrix.mtx.gz	19367601	270599	66508983	TRUE
GSE220243	GSM6797155	CartOA2	cartilage	OA	not_reported	2	G:\半月板特异性衰老程序连接纤维软骨细胞命运障碍与膝骨关节炎滑膜-软骨炎症重塑扩展资料\raw_large\single_cell\GSE220243\extracted\GSM6797155_CartOA2_barcodes.tsv.gz	G:\半月板特异性衰老程序连接纤维软骨细胞命运障碍与膝骨关节炎滑膜-软骨炎症重塑扩展资料\raw_large\single_cell\GSE220243\extracted\GSM6797155_CartOA2_features.tsv.gz	G:\半月板特异性衰老程序连接纤维软骨细胞命运障碍与膝骨关节炎滑膜-软骨炎症重塑扩展资料\raw_large\single_cell\GSE220243\extracted\GSM6797155_CartOA2_matrix.mtx.gz	24071	270599	47665990	TRUE
GSE220243	GSM6797156	CartOA3	cartilage	OA	not_reported	3	G:\半月板特异性衰老程序连接纤维软骨细胞命运障碍与膝骨关节炎滑膜-软骨炎症重塑扩展资料\raw_large\single_cell\GSE220243\extracted\GSM6797156_CartOA3_barcodes.tsv.gz	G:\半月板特异性衰老程序连接纤维软骨细胞命运障碍与膝骨关节炎滑膜-软骨炎症重塑扩展资料\raw_large\single_cell\GSE220243\extracted\GSM6797156_CartOA3_features.tsv.gz	G:\半月板特异性衰老程序连接纤维软骨细胞命运障碍与膝骨关节炎滑膜-软骨炎症重塑扩展资料\raw_large\single_cell\GSE220243\extracted\GSM6797156_CartOA3_matrix.mtx.gz	32993	270599	61496954	TRUE
GSE220243	GSM6797157	CartOA4	cartilage	OA	not_reported	4	G:\半月板特异性衰老程序连接纤维软骨细胞命运障碍与膝骨关节炎滑膜-软骨炎症重塑扩展资料\raw_large\single_cell\GSE220243\extracted\GSM6797157_CartOA4_barcodes.tsv.gz	G:\半月板特异性衰老程序连接纤维软骨细胞命运障碍与膝骨关节炎滑膜-软骨炎症重塑扩展资料\raw_large\single_cell\GSE220243\extracted\GSM6797157_CartOA4_features.tsv.gz	G:\半月板特异性衰老程序连接纤维软骨细胞命运障碍与膝骨关节炎滑膜-软骨炎症重塑扩展资料\raw_large\single_cell\GSE220243\extracted\GSM6797157_CartOA4_matrix.mtx.gz	28745	294504	44394085	TRUE
