dataset_id	signature	signature_class	n_requested_genes	n_present_genes	coverage_fraction	present_genes	missing_genes
GSE114007	angiogenic_interface	communication_state	10	8	0.8	ANGPTL4,CXCL12,FGF2,IL11,MIF,POSTN,SPP1,VEGFA	CCN1,CCN2
GSE114007	b_plasma	immune_celltype	6	4	0.6666666666666666	CD79A,MS4A1,MZB1,XBP1	IGHG1,JCHAIN
GSE114007	catabolic_hypertrophic	catabolic_remodeling_state	8	8	1.0	ADAMTS5,ALPL,COL10A1,IBSP,MMP13,MMP3,RUNX2,SPP1	
GSE114007	communication_axes	communication_state	7	5	0.7142857142857143	ANGPTL4,CXCL12,MIF,SPP1,VEGFA	CCN1,CCN2
GSE114007	cycling	cycling_state	6	6	1.0	CENPF,HMGB2,MKI67,TOP2A,TYMS,UBE2C	
GSE114007	endothelial	vascular_or_contaminating_celltype	7	7	1.0	CLDN5,CLEC14A,EMCN,KDR,PECAM1,RAMP2,VWF	
GSE114007	fibrochondrocyte_matrix	fibrocartilage_state	10	10	1.0	ACAN,BGN,CHAD,CILP,COL2A1,COMP,FMOD,FRZB,PCOLCE2,PRELP	
GSE114007	hra_Ch.1_CHAD_matrix	HRA_reference_state	7	7	1.0	ACAN,CHAD,CILP,COL2A1,COMP,MATN3,SOX9	
GSE114007	hra_Ch.2_FNDC1	HRA_reference_state	7	7	1.0	COL14A1,COL1A1,COL1A2,COL3A1,DCN,FNDC1,LUM	
GSE114007	hra_Ch.3_PRG4	HRA_reference_state	6	6	1.0	CRTAC1,GDF5,ITGBL1,PRG4,SPARCL1,THY1	
GSE114007	hra_Ch.4_CFD	HRA_reference_state	6	5	0.8333333333333334	C1R,C1S,CFD,GSN,SERPING1	SELENOP
GSE114007	hra_PCL_progenitor_like	HRA_reference_state	8	8	1.0	ENG,GDF5,ITGA5,ITGB1,MCAM,NT5E,PRG4,THY1	
GSE114007	hra_communication_axes	HRA_reference_state	5	5	1.0	ANGPTL4,CXCL12,MIF,SPP1,VEGFA	
GSE114007	hra_cycling	HRA_reference_state	6	6	1.0	CENPF,HMGB2,MKI67,TOP2A,TYMS,UBE2C	
GSE114007	hra_sasp_ecm_remodeling	HRA_reference_state	10	9	0.9	CCL2,CXCL1,CXCL2,IL6,MMP1,MMP13,MMP3,MMP9,TIMP1	CXCL8
GSE114007	hra_senescence_arrest	HRA_reference_state	8	8	1.0	CDKN1A,CDKN2A,CDKN2B,GADD45A,GADD45B,GLB1,LMNB1,SERPINE1	
GSE114007	immune_myeloid	immune_celltype	10	10	1.0	AIF1,C1QA,C1QB,CD68,CD74,FCGR3A,LST1,LYZ,PTPRC,TYROBP	
GSE114007	inflammatory_sasp_like	inflammatory_senescence_state	13	12	0.9230769230769231	C1R,C1S,CCL2,CCL3,CFD,FOS,IER3,IL6,JUN,NFKBIA,PTGS2,SOD2	CXCL8
GSE114007	inner_chondrocyte_like	fibrocartilage_state	10	10	1.0	ACAN,CHAD,CILP,CILP2,COL11A1,COL2A1,COL9A1,COMP,MATN3,SOX9	
GSE114007	mural_smooth_muscle	vascular_or_contaminating_celltype	6	6	1.0	ACTA2,MCAM,MYH11,PDGFRB,RGS5,TAGLN	
GSE114007	outer_fibrous_like	fibrocartilage_state	10	10	1.0	COL14A1,COL1A1,COL1A2,COL3A1,COL5A1,COL5A2,DCN,LUM,POSTN,TNMD	
GSE114007	progenitor_prg4_gdf5	interface_progenitor_state	10	10	1.0	ENG,GDF5,ITGA5,ITGB1,ITGBL1,MCAM,NT5E,PRG4,SPARCL1,THY1	
GSE114007	sasp_matrix_remodeling	inflammatory_senescence_state	10	9	0.9	CXCL1,CXCL2,IL6,MMP1,MMP13,MMP3,MMP9,SERPINE1,TIMP1	CXCL8
