signature	source	gene	signature_class
angiogenic_interface	GSE220243_MSP_programs+HRA_communication	ANGPTL4	communication_state
angiogenic_interface	GSE220243_MSP_programs+HRA_communication	CCN1	communication_state
angiogenic_interface	GSE220243_MSP_programs+HRA_communication	CCN2	communication_state
angiogenic_interface	GSE220243_MSP_programs+HRA_communication	CXCL12	communication_state
angiogenic_interface	GSE220243_MSP_programs+HRA_communication	FGF2	communication_state
angiogenic_interface	GSE220243_MSP_programs+HRA_communication	IL11	communication_state
angiogenic_interface	GSE220243_MSP_programs+HRA_communication	MIF	communication_state
angiogenic_interface	GSE220243_MSP_programs+HRA_communication	POSTN	communication_state
angiogenic_interface	GSE220243_MSP_programs+HRA_communication	SPP1	communication_state
angiogenic_interface	GSE220243_MSP_programs+HRA_communication	VEGFA	communication_state
b_plasma	GSE220243_broad_markers	CD79A	immune_celltype
b_plasma	GSE220243_broad_markers	IGHG1	immune_celltype
b_plasma	GSE220243_broad_markers	JCHAIN	immune_celltype
b_plasma	GSE220243_broad_markers	MS4A1	immune_celltype
b_plasma	GSE220243_broad_markers	MZB1	immune_celltype
b_plasma	GSE220243_broad_markers	XBP1	immune_celltype
catabolic_hypertrophic	GSE220243_broad_markers	ADAMTS5	catabolic_remodeling_state
catabolic_hypertrophic	GSE220243_broad_markers	ALPL	catabolic_remodeling_state
catabolic_hypertrophic	GSE220243_broad_markers	COL10A1	catabolic_remodeling_state
catabolic_hypertrophic	GSE220243_broad_markers	IBSP	catabolic_remodeling_state
catabolic_hypertrophic	GSE220243_broad_markers	MMP13	catabolic_remodeling_state
catabolic_hypertrophic	GSE220243_broad_markers	MMP3	catabolic_remodeling_state
catabolic_hypertrophic	GSE220243_broad_markers	RUNX2	catabolic_remodeling_state
catabolic_hypertrophic	GSE220243_broad_markers	SPP1	catabolic_remodeling_state
communication_axes	HRA_reference_markers	ANGPTL4	communication_state
communication_axes	HRA_reference_markers	CCN1	communication_state
communication_axes	HRA_reference_markers	CCN2	communication_state
communication_axes	HRA_reference_markers	CXCL12	communication_state
communication_axes	HRA_reference_markers	MIF	communication_state
communication_axes	HRA_reference_markers	SPP1	communication_state
communication_axes	HRA_reference_markers	VEGFA	communication_state
cycling	GSE220243_broad_markers+HRA_cycling	CENPF	cycling_state
cycling	GSE220243_broad_markers+HRA_cycling	HMGB2	cycling_state
cycling	GSE220243_broad_markers+HRA_cycling	MKI67	cycling_state
cycling	GSE220243_broad_markers+HRA_cycling	TOP2A	cycling_state
