subtype_id	subtype_label	signature	signature_class	proxy_column	n_samples	mean_proxy_score	median_proxy_score	sd_proxy_score	rank_within_subtype
S1	ECM_fibrotic_high	hra_Ch.3_PRG4	HRA_reference_state	proxy_hra_Ch.3_PRG4	48	0.5094942769830334	0.4979847362957268	0.45283203479606954	1
S1	ECM_fibrotic_high	synovial_lining_like	interface_progenitor_state	proxy_synovial_lining_like	48	0.36878821534390616	0.37467810131071183	0.4945203485843769	2
S1	ECM_fibrotic_high	immune_myeloid	immune_celltype	proxy_immune_myeloid	48	0.3379698942692649	0.3899783059223992	0.6385934264195012	3
S1	ECM_fibrotic_high	progenitor_prg4_gdf5	interface_progenitor_state	proxy_progenitor_prg4_gdf5	48	0.32585565552654144	0.29023437918485884	0.38390822546813697	4
S1	ECM_fibrotic_high	hra_PCL_progenitor_like	HRA_reference_state	proxy_hra_PCL_progenitor_like	48	0.2961454993757541	0.2758146764387096	0.38985486388703156	5
S1	ECM_fibrotic_high	hra_Ch.2_FNDC1	HRA_reference_state	proxy_hra_Ch.2_FNDC1	48	0.27354425469356897	0.3266841540555655	0.4257142985645314	6
S1	ECM_fibrotic_high	outer_fibrous_like	fibrocartilage_state	proxy_outer_fibrous_like	48	0.2587040569728651	0.2908029843091678	0.42561248131667845	7
S1	ECM_fibrotic_high	fibrochondrocyte_matrix	fibrocartilage_state	proxy_fibrochondrocyte_matrix	48	0.22791007482693246	0.22562817266677687	0.4228211125786876	8
S1	ECM_fibrotic_high	communication_axes	communication_state	proxy_communication_axes	48	0.183016045453768	0.13451341369853434	0.4041320880835023	9
S1	ECM_fibrotic_high	hra_communication_axes	HRA_reference_state	proxy_hra_communication_axes	48	0.17748933969672812	0.13451341369853434	0.43042104340543125	10
S1	ECM_fibrotic_high	catabolic_hypertrophic	catabolic_remodeling_state	proxy_catabolic_hypertrophic	48	0.17574276637616115	0.156475088584198	0.5391986846816497	11
S1	ECM_fibrotic_high	inner_chondrocyte_like	fibrocartilage_state	proxy_inner_chondrocyte_like	48	0.17018038551022072	0.08381855129975499	0.46700648666033373	12
S1	ECM_fibrotic_high	angiogenic_interface	communication_state	proxy_angiogenic_interface	48	0.16999324614265635	0.1378716521390869	0.33405234134827433	13
S1	ECM_fibrotic_high	hra_Ch.4_CFD	HRA_reference_state	proxy_hra_Ch.4_CFD	48	0.1584248714531607	0.07690606776642528	0.5858567438830027	14
S1	ECM_fibrotic_high	sasp_matrix_remodeling	inflammatory_senescence_state	proxy_sasp_matrix_remodeling	48	0.14029585443122108	0.09218840144846041	0.5247917049716965	15
S1	ECM_fibrotic_high	hra_Ch.1_CHAD_matrix	HRA_reference_state	proxy_hra_Ch.1_CHAD_matrix	48	0.13486889866274868	0.11533805255287449	0.47845128869585424	16
S1	ECM_fibrotic_high	hra_sasp_ecm_remodeling	HRA_reference_state	proxy_hra_sasp_ecm_remodeling	48	0.11303400477982206	0.12058696376096376	0.5648990061637434	17
S1	ECM_fibrotic_high	mural_smooth_muscle	vascular_or_contaminating_celltype	proxy_mural_smooth_muscle	48	0.044397070913356484	0.16679240855133165	0.7094732305001578	18
S1	ECM_fibrotic_high	senescence_arrest	inflammatory_senescence_state	proxy_senescence_arrest	48	0.023705202523319934	-0.031135362155903387	0.3291162769907662	19
S1	ECM_fibrotic_high	hra_senescence_arrest	HRA_reference_state	proxy_hra_senescence_arrest	48	0.023705202523319934	-0.031135362155903387	0.3291162769907662	20
S1	ECM_fibrotic_high	cycling	cycling_state	proxy_cycling	48	-0.011718855762607913	-0.1957253390035935	0.5655255071912165	21
S1	ECM_fibrotic_high	hra_cycling	HRA_reference_state	proxy_hra_cycling	48	-0.011718855762607913	-0.1957253390035935	0.5655255071912165	22
S1	ECM_fibrotic_high	inflammatory_sasp_like	inflammatory_senescence_state	proxy_inflammatory_sasp_like	48	-0.026853500585681905	-0.15205897345747432	0.45639081434258055	23
S1	ECM_fibrotic_high	endothelial	vascular_or_contaminating_celltype	proxy_endothelial	48	-0.06410870207426933	-0.19524080067353042	0.6954522678218016	24
S1	ECM_fibrotic_high	t_nk	immune_celltype	proxy_t_nk	48	-0.13481323720542257	-0.20638475192892503	0.5684946091786333	25
S1	ECM_fibrotic_high	b_plasma	immune_celltype	proxy_b_plasma	48	-0.2317305408163555	-0.3635762146817235	0.6144973148525933	26
S2	mixed_low	synovial_lining_like	interface_progenitor_state	proxy_synovial_lining_like	45	0.0969937086018349	0.2685705939377089	0.7544115529446757	1
S2	mixed_low	immune_myeloid	immune_celltype	proxy_immune_myeloid	45	0.0922792956464326	0.12422318244790323	1.0297839555097026	2
S2	mixed_low	hra_Ch.3_PRG4	HRA_reference_state	proxy_hra_Ch.3_PRG4	45	0.08749581722374572	0.14517332652331377	0.54879618119812	3
S2	mixed_low	hra_Ch.4_CFD	HRA_reference_state	proxy_hra_Ch.4_CFD	45	-0.028263869223751556	-0.02194776705126682	0.8446823411885118	4
S2	mixed_low	mural_smooth_muscle	vascular_or_contaminating_celltype	proxy_mural_smooth_muscle	45	-0.03205705545803968	0.005514579963121435	0.6645679857976565	5
S2	mixed_low	hra_Ch.2_FNDC1	HRA_reference_state	proxy_hra_Ch.2_FNDC1	45	-0.059065132857654454	-0.020281009285663842	0.586839318745805	6
S2	mixed_low	outer_fibrous_like	fibrocartilage_state	proxy_outer_fibrous_like	45	-0.08391173439477735	-0.08878657977609627	0.5848219313277165	7
S2	mixed_low	progenitor_prg4_gdf5	interface_progenitor_state	proxy_progenitor_prg4_gdf5	45	-0.08475541235625564	-0.02467900692768469	0.4875442659569596	8
S2	mixed_low	inner_chondrocyte_like	fibrocartilage_state	proxy_inner_chondrocyte_like	45	-0.08872822557097271	-0.13392747252911313	0.6051128987436036	9
S2	mixed_low	fibrochondrocyte_matrix	fibrocartilage_state	proxy_fibrochondrocyte_matrix	45	-0.10631293796978532	-0.14375315157130064	0.5372955799862333	10
S2	mixed_low	hra_Ch.1_CHAD_matrix	HRA_reference_state	proxy_hra_Ch.1_CHAD_matrix	45	-0.10640050313884115	-0.13010905043726936	0.5801688177027633	11
S2	mixed_low	endothelial	vascular_or_contaminating_celltype	proxy_endothelial	45	-0.1228682486701246	-0.03635060600863062	0.682116658961871	12
