dataset_id	tissue	axis	contrast	group_a	group_b	unadjusted_mean_delta_group_a_minus_group_b	unadjusted_p_value	adjustment_model	covariates_included	covariates_excluded	n_samples	df_model	df_residual	beta_condition	se_condition	t_stat	p_value	adjusted_direction
GSE55457	synovium	MSP_paracrine_K12P8	OA_vs_normal	OA	normal	-0.7850299715785132	0.0036105143123296	score ~ condition + age + sex	age,sex	bmi:missing;sex_coding:sex(male=1)	20	3	16	-0.6162730117597688	0.3941369107782706	-1.5636013651775567	0.13747211614372565	negative
GSE55457	synovium	MSP_angiogenic_K14P9	OA_vs_normal	OA	normal	-0.4234936749896223	0.1404650481583549	score ~ condition + age + sex	age,sex	bmi:missing;sex_coding:sex(male=1)	20	3	16	-0.546487510338966	0.3205073832750853	-1.7050699573741996	0.10751711685658231	negative
GSE55457	synovium	MSP_inflammatory_K14P10	OA_vs_normal	OA	normal	-1.1851659609469114	0.0005828399431792	score ~ condition + age + sex	age,sex	bmi:missing;sex_coding:sex(male=1)	20	3	16	-0.659929097628061	0.3533916079109377	-1.867415871953522	0.08027345970148644	negative
GSE55457	synovium	Fibrocartilage_matrix_K14P4	OA_vs_normal	OA	normal	0.434343554556992	0.0211339281291611	score ~ condition + age + sex	age,sex	bmi:missing;sex_coding:sex(male=1)	20	3	16	0.4281419810853805	0.2641956506268769	1.6205489381429854	0.1246528912318644	positive
GSE55457	synovium	Fibrotic_remodeling_K14P7	OA_vs_normal	OA	normal	-0.1506774294819263	0.6775849579524755	score ~ condition + age + sex	age,sex	bmi:missing;sex_coding:sex(male=1)	20	3	16	0.20970835305913313	0.38921206644124007	0.5388022909376915	0.5974408764596794	positive
GSE55457	synovium	Generic_stress_K14P1	OA_vs_normal	OA	normal	-0.2914064043427703	0.3074894566186813	score ~ condition + age + sex	age,sex	bmi:missing;sex_coding:sex(male=1)	20	3	16	-0.5352618989465838	0.3274976921778502	-1.6343989949581252	0.12169400513373094	negative
GSE55457	synovium	MSP_paracrine_consensus_K12P8_K14P9	OA_vs_normal	OA	normal	-0.5753600874499964	0.025748080821108	score ~ condition + age + sex	age,sex	bmi:missing;sex_coding:sex(male=1)	20	3	16	-0.6109356039482402	0.3253468085951728	-1.8777980536714713	0.0787601876218781	negative
GSE98918	meniscus	MSP_paracrine_K12P8	OA_vs_APM	OA	APM	-0.5134873528074186	0.0193733193315928	score ~ condition + age + bmi + sex	age,bmi,sex	sex_coding:sex(male=1)	24	4	19	-0.5902802008578749	0.4243520343484035	-1.3910153671450065	0.18029735598207108	negative
GSE98918	meniscus	MSP_angiogenic_K14P9	OA_vs_APM	OA	APM	-0.6423173049660298	0.026229387834857	score ~ condition + age + bmi + sex	age,bmi,sex	sex_coding:sex(male=1)	24	4	19	-0.7234108658360519	0.42681543687100865	-1.6949032376602624	0.10642122403223199	negative
GSE98918	meniscus	MSP_inflammatory_K14P10	OA_vs_APM	OA	APM	0.0504589166334484	0.9309874465595672	score ~ condition + age + bmi + sex	age,bmi,sex	sex_coding:sex(male=1)	24	4	19	-0.16779985077567072	0.32193796491242793	-0.5212179645271562	0.6082371952402605	negative
GSE98918	meniscus	Fibrocartilage_matrix_K14P4	OA_vs_APM	OA	APM	-0.1808723859873077	0.5833604667027033	score ~ condition + age + bmi + sex	age,bmi,sex	sex_coding:sex(male=1)	24	4	19	-0.06937105716801116	0.5089883813240869	-0.13629202495261028	0.8930241649687092	negative
GSE98918	meniscus	Fibrotic_remodeling_K14P7	OA_vs_APM	OA	APM	-1.087060867381659	0.00090093559636	score ~ condition + age + bmi + sex	age,bmi,sex	sex_coding:sex(male=1)	24	4	19	-1.2554214601787534	0.5304468219393399	-2.366724444853624	0.028721216278428004	negative
GSE98918	meniscus	Generic_stress_K14P1	OA_vs_APM	OA	APM	-0.5195214897520609	0.0303828219765775	score ~ condition + age + bmi + sex	age,bmi,sex	sex_coding:sex(male=1)	24	4	19	-1.0539078744440218	0.30642652292300887	-3.439349389180718	0.0027484447464355376	negative
GSE98918	meniscus	MSP_paracrine_consensus_K12P8_K14P9	OA_vs_APM	OA	APM	-0.6610765836894006	0.0101931049911082	score ~ condition + age + bmi + sex	age,bmi,sex	sex_coding:sex(male=1)	24	4	19	-0.761942553071109	0.41382992061310087	-1.8411973497282879	0.08126191904949351	negative
