sample_id	sample_title	source_name	series_title	platform_id	age	sex	bmi	disease_state	dataset_id	tissue	condition	contrast_group	score_Fibrocartilage_matrix	score_Fibrotic_remodeling	score_MSP_paracrine	score_MSP_angiogenic	score_MSP_inflammatory	score_MSP_paracrine_consensus	score_MSP_interface_matrix_fibrotic	primary_oa_normal	gse89408_oa_normal_sensitivity	gse98918_oa_apm_exploratory	gse191157_aged_young_exploratory
Normal_Cart_10_8	Normal_Cart_10_8		GSE114007 normalized cartilage counts	supplement_normalized_counts				normal	GSE114007	cartilage	normal	normal	-0.4499238594165314	-0.828278974424685	0.54735905478224	0.3912219656445247	0.6251173447293322	0.5138125335024304	-1.2782028338412164	True	False	False	False
Normal_Cart_2_2	Normal_Cart_2_2		GSE114007 normalized cartilage counts	supplement_normalized_counts				normal	GSE114007	cartilage	normal	normal	0.3004587278306581	-0.55630252768205	0.6073432046388817	0.5571131829552523	0.0765227828657033	0.6546480047096785	-0.25584379985139194	True	False	False	False
Normal_Cart_3_3	Normal_Cart_3_3		GSE114007 normalized cartilage counts	supplement_normalized_counts				normal	GSE114007	cartilage	normal	normal	-0.4302855393199955	-1.470494598646232	0.1218924641192017	0.332451515127218	-0.5063408613886813	0.3066689952322334	-1.9007801379662277	True	False	False	False
Normal_Cart_4_4	Normal_Cart_4_4		GSE114007 normalized cartilage counts	supplement_normalized_counts				normal	GSE114007	cartilage	normal	normal	0.7548546944174863	-0.2042306609917818	0.7517266711512149	0.5983145906324858	-0.0151878273479353	0.6559426939960417	0.5506240334257045	True	False	False	False
Normal_Cart_5_5	Normal_Cart_5_5		GSE114007 normalized cartilage counts	supplement_normalized_counts				normal	GSE114007	cartilage	normal	normal	0.2103300993743541	-0.3836152954945523	0.8556111959320084	0.8481163454128404	0.6735405483085865	0.8052707531499569	-0.17328519612019821	True	False	False	False
Normal_Cart_6_6	Normal_Cart_6_6		GSE114007 normalized cartilage counts	supplement_normalized_counts				normal	GSE114007	cartilage	normal	normal	-0.4678055242848103	-0.5110350369794101	0.2115777413201463	0.2468746521989871	-0.275662570438467	0.2913019804841156	-0.9788405612642204	True	False	False	False
Normal_Cart_7_3	Normal_Cart_7_3		GSE114007 normalized cartilage counts	supplement_normalized_counts				normal	GSE114007	cartilage	normal	normal	-0.0553354888139077	-0.0627010601366238	0.6073041829705877	0.2691580922249673	0.3870459801823537	0.5138922109337841	-0.1180365489505315	True	False	False	False
Normal_Cart_9_7	Normal_Cart_9_7		GSE114007 normalized cartilage counts	supplement_normalized_counts				normal	GSE114007	cartilage	normal	normal	0.2377353153572449	-0.2190462822958784	0.4611987098717519	0.5534881338103556	0.0427186999317355	0.5723772806319155	0.018689033061366517	True	False	False	False
normal_01	normal_01		GSE114007 normalized cartilage counts	supplement_normalized_counts				normal	GSE114007	cartilage	normal	normal	0.179928420827319	-0.0716167520154642	0.5406630369326944	0.578710910051479	0.9915619349838118	0.4786582811355495	0.10831166881185479	True	False	False	False
normal_02	normal_02		GSE114007 normalized cartilage counts	supplement_normalized_counts				normal	GSE114007	cartilage	normal	normal	-2.091561889757366	-0.8420730204927931	0.4382393417856286	0.4819203671140846	0.9761193727994169	0.3643151499255057	-2.9336349102501593	True	False	False	False
normal_03	normal_03		GSE114007 normalized cartilage counts	supplement_normalized_counts				normal	GSE114007	cartilage	normal	normal	-0.0141255174236978	-0.5139500207386768	0.6149480454391111	0.7704619493179927	1.1713356298719528	0.5931200245801129	-0.5280755381623746	True	False	False	False
normal_04	normal_04		GSE114007 normalized cartilage counts	supplement_normalized_counts				normal	GSE114007	cartilage	normal	normal	-1.0668672645908672	-1.1606811770270682	0.2596622069498234	0.3899337436265691	0.3229996064093846	0.2894254869929847	-2.2275484416179356	True	False	False	False
normal_05	normal_05		GSE114007 normalized cartilage counts	supplement_normalized_counts				normal	GSE114007	cartilage	normal	normal	0.2911637363531387	-0.2428735380240098	1.230906775160849	1.21906030302903	1.213641700434544	1.073250434401397	0.0482901983291289	True	False	False	False
normal_06	normal_06		GSE114007 normalized cartilage counts	supplement_normalized_counts				normal	GSE114007	cartilage	normal	normal	-1.9863039277914176	-1.6452404935634584	0.0867422436372287	0.1011373487294413	0.1831343717838433	0.0050257368041761	-3.631544421354876	True	False	False	False
normal_07	normal_07		GSE114007 normalized cartilage counts	supplement_normalized_counts				normal	GSE114007	cartilage	normal	normal	-0.6892745042313063	-1.029742297280824	0.7560155292824166	0.9370205674193804	1.1096656878610545	0.7709366095511356	-1.7190168015121303	True	False	False	False
