analysis_set	validation_type	fold	held_out_dataset	held_out_tissue	score_name	score_column	train_datasets	n_train	n_test	n_test_positive	n_test_negative	held_out_delta_positive_minus_negative	test_auc	model_coef	model_intercept	small_sample_flag
main_oa_vs_normal	leave_one_cohort_out	1	GSE114007	cartilage	Fibrocartilage_matrix	score_Fibrocartilage_matrix	GSE143514,GSE169077,GSE185064,GSE55235,GSE55457	67	38	20	18	0.7199477293363408	0.813888888888889	1.3571685275445535	0.12426848170921707	False
main_oa_vs_normal	leave_one_cohort_out	2	GSE143514	cartilage	Fibrocartilage_matrix	score_Fibrocartilage_matrix	GSE114007,GSE169077,GSE185064,GSE55235,GSE55457	97	8	5	3	0.44570648229084575	0.6666666666666667	1.4077889347531132	0.0034213698371319263	True
main_oa_vs_normal	leave_one_cohort_out	3	GSE169077	cartilage	Fibrocartilage_matrix	score_Fibrocartilage_matrix	GSE114007,GSE143514,GSE185064,GSE55235,GSE55457	94	11	6	5	0.7413630350339312	0.9	1.2937703264040639	0.055020533985541756	True
main_oa_vs_normal	leave_one_cohort_out	4	GSE185064	meniscus	Fibrocartilage_matrix	score_Fibrocartilage_matrix	GSE114007,GSE143514,GSE169077,GSE55235,GSE55457	97	8	4	4	0.10933176003657612	0.5	1.5542594864940884	0.04542519780562504	True
main_oa_vs_normal	leave_one_cohort_out	5	GSE55235	synovium	Fibrocartilage_matrix	score_Fibrocartilage_matrix	GSE114007,GSE143514,GSE169077,GSE185064,GSE55457	85	20	10	10	0.7668819391483328	0.9400000000000001	1.198488949928177	0.06774385382256289	False
main_oa_vs_normal	leave_one_cohort_out	6	GSE55457	synovium	Fibrocartilage_matrix	score_Fibrocartilage_matrix	GSE114007,GSE143514,GSE169077,GSE185064,GSE55235	85	20	10	10	0.4343435545569919	0.81	1.385861238930444	0.06176589390857148	False
main_oa_vs_normal	leave_one_cohort_out	1	GSE114007	cartilage	MSP_interface_matrix_fibrotic	score_MSP_interface_matrix_fibrotic	GSE143514,GSE169077,GSE185064,GSE55235,GSE55457	67	38	20	18	1.8979571377046172	0.9361111111111111	0.9745184516445043	0.09811515227883535	False
main_oa_vs_normal	leave_one_cohort_out	2	GSE143514	cartilage	MSP_interface_matrix_fibrotic	score_MSP_interface_matrix_fibrotic	GSE114007,GSE169077,GSE185064,GSE55235,GSE55457	97	8	5	3	0.06766171966501235	0.33333333333333337	1.608056809606506	0.022144912589491045	True
main_oa_vs_normal	leave_one_cohort_out	3	GSE169077	cartilage	MSP_interface_matrix_fibrotic	score_MSP_interface_matrix_fibrotic	GSE114007,GSE143514,GSE185064,GSE55235,GSE55457	94	11	6	5	2.0205543683146416	0.9666666666666668	1.3109249204390232	0.07055558389689172	True
main_oa_vs_normal	leave_one_cohort_out	4	GSE185064	meniscus	MSP_interface_matrix_fibrotic	score_MSP_interface_matrix_fibrotic	GSE114007,GSE143514,GSE169077,GSE55235,GSE55457	97	8	4	4	0.052944456203649896	0.5	1.53227568623029	0.07477927406311725	True
main_oa_vs_normal	leave_one_cohort_out	5	GSE55235	synovium	MSP_interface_matrix_fibrotic	score_MSP_interface_matrix_fibrotic	GSE114007,GSE143514,GSE169077,GSE185064,GSE55457	85	20	10	10	1.706963610466785	0.9400000000000001	1.2304232195834481	0.0803986384982119	False
main_oa_vs_normal	leave_one_cohort_out	6	GSE55457	synovium	MSP_interface_matrix_fibrotic	score_MSP_interface_matrix_fibrotic	GSE114007,GSE143514,GSE169077,GSE185064,GSE55235	85	20	10	10	0.2836661250750656	0.56	1.8075104394231718	0.06209512176251378	False
