analysis_set	group	dataset_id	tissue	score_name	score_column	score_role	n_samples	n_positive	n_negative	positive_label	negative_label	mean_positive	mean_negative	delta_positive_minus_negative	auc_positive_direction	ci95_low	ci95_high	n_bootstrap_valid	small_sample_flag	interpretation
main_oa_vs_normal	GSE114007	GSE114007	cartilage	Fibrocartilage_matrix	score_Fibrocartilage_matrix	primary	38	20	18	OA	normal	0.34102787179089844	-0.3789198575454423	0.7199477293363408	0.813888888888889	0.6638194444444444	0.9388888888888889	2000	False	Primary direction-stable matrix-remodeling diagnostic/stratification score.
main_oa_vs_normal	GSE143514	GSE143514	cartilage	Fibrocartilage_matrix	score_Fibrocartilage_matrix	primary	8	5	3	OA	normal	0.16713993085906736	-0.2785665514317784	0.44570648229084575	0.6666666666666667	0.2	1.0	2000	True	Primary direction-stable matrix-remodeling diagnostic/stratification score.
main_oa_vs_normal	GSE169077	GSE169077	cartilage	Fibrocartilage_matrix	score_Fibrocartilage_matrix	primary	11	6	5	OA	normal	0.33698319774269603	-0.40437983729123517	0.7413630350339312	0.9	0.6	1.0	2000	True	Primary direction-stable matrix-remodeling diagnostic/stratification score.
main_oa_vs_normal	GSE185064	GSE185064	meniscus	Fibrocartilage_matrix	score_Fibrocartilage_matrix	primary	8	4	4	OA	normal	0.054665880018288066	-0.05466588001828805	0.10933176003657612	0.5	0.0625	0.9375	2000	True	Primary direction-stable matrix-remodeling diagnostic/stratification score.
main_oa_vs_normal	GSE55235	GSE55235	synovium	Fibrocartilage_matrix	score_Fibrocartilage_matrix	primary	20	10	10	OA	normal	0.45162234365262394	-0.31525959549570887	0.7668819391483328	0.9400000000000001	0.7899999999999999	1.0	2000	False	Primary direction-stable matrix-remodeling diagnostic/stratification score.
main_oa_vs_normal	GSE55457	GSE55457	synovium	Fibrocartilage_matrix	score_Fibrocartilage_matrix	primary	20	10	10	OA	normal	0.3092588395767272	-0.12508471498026477	0.4343435545569919	0.81	0.59	0.98	2000	False	Primary direction-stable matrix-remodeling diagnostic/stratification score.
main_oa_vs_normal	GSE114007	GSE114007	cartilage	MSP_interface_matrix_fibrotic	score_MSP_interface_matrix_fibrotic	secondary	38	20	18	OA	normal	0.8990323283863976	-0.9989248093182196	1.8979571377046172	0.9361111111111111	0.8472222222222222	1.0	2000	False	Secondary interface composite: fibrocartilage matrix plus fibrotic remodeling.
main_oa_vs_normal	GSE143514	GSE143514	cartilage	MSP_interface_matrix_fibrotic	score_MSP_interface_matrix_fibrotic	secondary	8	5	3	OA	normal	0.025373144874379517	-0.042288574790632825	0.06766171966501235	0.33333333333333337	0.0	1.0	2000	True	Secondary interface composite: fibrocartilage matrix plus fibrotic remodeling.
main_oa_vs_normal	GSE169077	GSE169077	cartilage	MSP_interface_matrix_fibrotic	score_MSP_interface_matrix_fibrotic	secondary	11	6	5	OA	normal	0.9184338037793826	-1.102120564535259	2.0205543683146416	0.9666666666666668	0.8	1.0	2000	True	Secondary interface composite: fibrocartilage matrix plus fibrotic remodeling.
main_oa_vs_normal	GSE185064	GSE185064	meniscus	MSP_interface_matrix_fibrotic	score_MSP_interface_matrix_fibrotic	secondary	8	4	4	OA	normal	0.026472228101824924	-0.026472228101824972	0.052944456203649896	0.5	0.0625	1.0	2000	True	Secondary interface composite: fibrocartilage matrix plus fibrotic remodeling.
