analysis_set	group	dataset_id	tissue	score_name	score_column	score_role	n_samples	n_positive	n_negative	positive_label	negative_label	mean_positive	mean_negative	delta_positive_minus_negative	auc_positive_direction	ci95_low	ci95_high	n_bootstrap_valid	small_sample_flag	interpretation
main_oa_vs_normal	pooled	pooled	cartilage,meniscus,synovium	Fibrocartilage_matrix	score_Fibrocartilage_matrix	primary	105	55	50	OA	normal	0.3182842114352026	-0.28600525802804727	0.6042894694632499	0.8061818181818182	0.7138181818181818	0.8843999999999997	2000	False	Primary direction-stable matrix-remodeling diagnostic/stratification score.
main_oa_vs_normal	pooled	pooled	cartilage,meniscus,synovium	MSP_interface_matrix_fibrotic	score_MSP_interface_matrix_fibrotic	secondary	105	55	50	OA	normal	0.5958132282342481	-0.6916915571380352	1.2875047853722834	0.8134545454545454	0.7254454545454545	0.888381818181818	2000	False	Secondary interface composite: fibrocartilage matrix plus fibrotic remodeling.
main_oa_vs_normal	pooled	pooled	cartilage,meniscus,synovium	Fibrotic_remodeling	score_Fibrotic_remodeling	secondary_component	105	55	50	OA	normal	0.27752901679904535	-0.4056862991099878	0.6832153159090332	0.7858181818181817	0.6927272727272726	0.8687272727272727	2000	False	Secondary component; retained because direction is less stable than the matrix axis.
main_oa_vs_normal	pooled	pooled	cartilage,meniscus,synovium	MSP_paracrine	score_MSP_paracrine	context_control	105	55	50	OA	normal	-0.1473073912330986	0.3836879072282833	-0.5309952984613819	0.2225454545454545	0.13454545454545452	0.3210909090909091	2000	False	Context-dependent MSP paracrine axis; not treated as a standalone diagnostic marker.
main_oa_vs_normal	pooled	pooled	cartilage,meniscus,synovium	MSP_angiogenic	score_MSP_angiogenic	context_control	105	55	50	OA	normal	-0.13804964756147012	0.37981829376290527	-0.5178679413243754	0.2232727272727273	0.13236363636363638	0.3218181818181818	2000	False	Context-dependent MSP angiogenic axis; not treated as a standalone diagnostic marker.
main_oa_vs_normal	pooled	pooled	cartilage,meniscus,synovium	MSP_inflammatory	score_MSP_inflammatory	context_control	105	55	50	OA	normal	-0.35890423758900847	0.49980598920703306	-0.8587102267960416	0.12836363636363637	0.06107272727272729	0.202190909090909	2000	False	Context-dependent MSP inflammatory axis; not treated as a standalone diagnostic marker.
main_oa_vs_normal	pooled	pooled	cartilage,meniscus,synovium	MSP_paracrine_consensus	score_MSP_paracrine_consensus	context_control	105	55	50	OA	normal	-0.17840742763245282	0.38068058643468355	-0.5590880140671364	0.1829090909090909	0.10180909090909092	0.2709272727272726	2000	False	Consensus paracrine/angiogenic projection retained as a context-dependent comparator.
sensitivity_main_plus_gse89408	pooled	pooled	cartilage,meniscus,synovium	Fibrocartilage_matrix	score_Fibrocartilage_matrix	primary	155	77	78	OA	normal	0.204428664152992	-0.3215086315816559	0.5259372957346479	0.777056277056277	0.7041167166167166	0.8463245088245088	2000	False	Primary direction-stable matrix-remodeling diagnostic/stratification score.
sensitivity_main_plus_gse89408	pooled	pooled	cartilage,meniscus,synovium	MSP_interface_matrix_fibrotic	score_MSP_interface_matrix_fibrotic	secondary	155	77	78	OA	normal	0.39913122218645425	-0.6789668638787271	1.0780980860651814	0.761072261072261	0.686467698967699	0.8360014985014985	2000	False	Secondary interface composite: fibrocartilage matrix plus fibrotic remodeling.
sensitivity_main_plus_gse89408	pooled	pooled	cartilage,meniscus,synovium	Fibrotic_remodeling	score_Fibrotic_remodeling	secondary_component	155	77	78	OA	normal	0.19470255803346237	-0.35745823229707113	0.5521607903305334	0.7162837162837163	0.635526973026973	0.7878787878787877	2000	False	Secondary component; retained because direction is less stable than the matrix axis.
sensitivity_main_plus_gse89408	pooled	pooled	cartilage,meniscus,synovium	MSP_paracrine	score_MSP_paracrine	context_control	155	77	78	OA	normal	-0.19798716717565376	-0.0651381514873549	-0.13284901568829888	0.43573093573093574	0.34115051615051617	0.5306401931401931	2000	False	Context-dependent MSP paracrine axis; not treated as a standalone diagnostic marker.
sensitivity_main_plus_gse89408	pooled	pooled	cartilage,meniscus,synovium	MSP_angiogenic	score_MSP_angiogenic	context_control	155	77	78	OA	normal	-0.1870427377425306	-0.01815514749494106	-0.16888759024758954	0.4049284049284049	0.31251665001665	0.502997002997003	2000	False	Context-dependent MSP angiogenic axis; not treated as a standalone diagnostic marker.
sensitivity_main_plus_gse89408	pooled	pooled	cartilage,meniscus,synovium	MSP_inflammatory	score_MSP_inflammatory	context_control	155	77	78	OA	normal	-0.33794065814874247	0.03070366111307506	-0.3686443192618175	0.3188478188478189	0.23160173160173164	0.40226440226440224	2000	False	Context-dependent MSP inflammatory axis; not treated as a standalone diagnostic marker.
sensitivity_main_plus_gse89408	pooled	pooled	cartilage,meniscus,synovium	MSP_paracrine_consensus	score_MSP_paracrine_consensus	context_control	155	77	78	OA	normal	-0.21072214126089123	-0.03978260056289072	-0.1709395406980005	0.3986013986013986	0.3041916416916417	0.491512654012654	2000	False	Consensus paracrine/angiogenic projection retained as a context-dependent comparator.
