analysis_set	group	dataset_id	tissue	score_name	score_column	score_role	n_samples	n_positive	n_negative	positive_label	negative_label	mean_positive	mean_negative	delta_positive_minus_negative	auc_positive_direction	ci95_low	ci95_high	n_bootstrap_valid	small_sample_flag	interpretation
sensitivity_gse89408_oa_vs_normal	pooled	pooled	synovium	Fibrocartilage_matrix	score_Fibrocartilage_matrix	primary	50	22	28	OA	normal	-0.08021020405253478	-0.3849075129273859	0.30469730887485114	0.7256493506493507	0.5795454545454545	0.8571428571428571	2000	False	Primary direction-stable matrix-remodeling diagnostic/stratification score.
sensitivity_gse89408_oa_vs_normal	pooled	pooled	synovium	MSP_interface_matrix_fibrotic	score_MSP_interface_matrix_fibrotic	secondary	50	22	28	OA	normal	-0.09257379293302997	-0.6562441973442484	0.5636704044112184	0.625	0.4658685064935064	0.7792207792207793	2000	False	Secondary interface composite: fibrocartilage matrix plus fibrotic remodeling.
sensitivity_gse89408_oa_vs_normal	pooled	pooled	synovium	Fibrotic_remodeling	score_Fibrotic_remodeling	secondary_component	50	22	28	OA	normal	-0.012363588880495284	-0.2713366844168626	0.2589730955363673	0.547077922077922	0.37662337662337664	0.6997159090909089	2000	False	Secondary component; retained because direction is less stable than the matrix axis.
sensitivity_gse89408_oa_vs_normal	pooled	pooled	synovium	MSP_paracrine	score_MSP_paracrine	context_control	50	22	28	OA	normal	-0.32468660703204166	-0.8666132563367087	0.541926649304667	0.7467532467532468	0.6103896103896104	0.8782873376623375	2000	False	Context-dependent MSP paracrine axis; not treated as a standalone diagnostic marker.
sensitivity_gse89408_oa_vs_normal	pooled	pooled	synovium	MSP_angiogenic	score_MSP_angiogenic	context_control	50	22	28	OA	normal	-0.3095254631951818	-0.7288220068839524	0.41929654368877056	0.6883116883116883	0.5356737012987012	0.8295860389610388	2000	False	Context-dependent MSP angiogenic axis; not treated as a standalone diagnostic marker.
sensitivity_gse89408_oa_vs_normal	pooled	pooled	synovium	MSP_inflammatory	score_MSP_inflammatory	context_control	50	22	28	OA	normal	-0.2855317095480776	-0.8069790676261357	0.5214473580780581	0.6866883116883117	0.5227272727272727	0.832832792207792	2000	False	Context-dependent MSP inflammatory axis; not treated as a standalone diagnostic marker.
sensitivity_gse89408_oa_vs_normal	pooled	pooled	synovium	MSP_paracrine_consensus	score_MSP_paracrine_consensus	context_control	50	22	28	OA	normal	-0.29150892533198713	-0.7906097202014163	0.49910079486942915	0.7288961038961039	0.5827922077922078	0.8587662337662337	2000	False	Consensus paracrine/angiogenic projection retained as a context-dependent comparator.
exploratory_gse98918_oa_vs_apm	pooled	pooled	meniscus	Fibrocartilage_matrix	score_Fibrocartilage_matrix	primary	24	12	12	OA	APM	-0.09043619299365369	0.09043619299365406	-0.18087238598730776	0.4305555555555556	0.18055555555555558	0.6874999999999999	2000	False	Primary direction-stable matrix-remodeling diagnostic/stratification score.
exploratory_gse98918_oa_vs_apm	pooled	pooled	meniscus	MSP_interface_matrix_fibrotic	score_MSP_interface_matrix_fibrotic	secondary	24	12	12	OA	APM	-0.6339666266844841	0.6339666266844826	-1.2679332533689667	0.2361111111111111	0.0625	0.4375	2000	False	Secondary interface composite: fibrocartilage matrix plus fibrotic remodeling.
exploratory_gse98918_oa_vs_apm	pooled	pooled	meniscus	Fibrotic_remodeling	score_Fibrotic_remodeling	secondary_component	24	12	12	OA	APM	-0.5435304336908304	0.5435304336908285	-1.087060867381659	0.09722222222222225	0.0	0.29166666666666663	2000	False	Secondary component; retained because direction is less stable than the matrix axis.
