axis	omitted_dataset_id	omitted_tissue	baseline_evidence_grade	n_cohorts	random_effect_smd	random_effect_se	ci95_low	ci95_high	z_score	random_effect_p	tau2	i2_percent	positive_cohorts	negative_cohorts	direction_consistency	contributing_datasets	evidence_grade	grade_changed	smd_shift_from_overall	abs_smd_shift_from_overall
Fibrocartilage_matrix_K14P4	GSE114007	cartilage	strong_consistent	8	0.7602315734653389	0.23071942863376863	0.3080214933431524	1.2124416535875253	3.295047920182261	0.0009840489753820503	0.1379876276486409	34.279160605848254	7	1	0.875	GSE143514,GSE169077,GSE185064,GSE191157,GSE55235,GSE55457,GSE89408,GSE98918	strong_consistent	False	-0.04351341434507716	0.04351341434507716
Fibrocartilage_matrix_K14P4	GSE143514	cartilage	strong_consistent	8	0.8023413531827084	0.2153043765534476	0.38034477513795106	1.2243379312274656	3.726544559968726	0.00019412276636578138	0.13390621722528795	38.34603958909874	7	1	0.875	GSE114007,GSE169077,GSE185064,GSE191157,GSE55235,GSE55457,GSE89408,GSE98918	strong_consistent	False	-0.0014036346277076506	0.0014036346277076506
Fibrocartilage_matrix_K14P4	GSE169077	cartilage	strong_consistent	8	0.7732956342427548	0.21302526562389446	0.3557661136199217	1.190825154865588	3.6300653444931856	0.00028334947831498307	0.12219680199266698	35.777205312098395	7	1	0.875	GSE114007,GSE143514,GSE185064,GSE191157,GSE55235,GSE55457,GSE89408,GSE98918	strong_consistent	False	-0.030449353567661208	0.030449353567661208
Fibrocartilage_matrix_K14P4	GSE185064	meniscus	strong_consistent	8	0.8511859307724438	0.20854443851269147	0.4424388312875685	1.259933030257319	4.0815566065581885	4.473507892362299e-05	0.11146731002274145	33.86167368374753	7	1	0.875	GSE114007,GSE143514,GSE169077,GSE191157,GSE55235,GSE55457,GSE89408,GSE98918	strong_consistent	False	0.04744094296202772	0.04744094296202772
Fibrocartilage_matrix_K14P4	GSE191157	meniscus	strong_consistent	8	0.780683934191236	0.21131617878677902	0.36650422376914915	1.194863644613323	3.6943879009801566	0.00022041710514027392	0.12299662573123238	36.417956212049	7	1	0.875	GSE114007,GSE143514,GSE169077,GSE185064,GSE55235,GSE55457,GSE89408,GSE98918	strong_consistent	False	-0.023061053619179983	0.023061053619179983
Fibrocartilage_matrix_K14P4	GSE55235	synovium	strong_consistent	8	0.6980590534453828	0.18290333644189616	0.3395685140192663	1.0565495928714992	3.816546308148615	0.00013533268524391564	0.038347199409849674	14.31374550469793	7	1	0.875	GSE114007,GSE143514,GSE169077,GSE185064,GSE191157,GSE55457,GSE89408,GSE98918	strong_consistent	False	-0.10568593436503326	0.10568593436503326
Fibrocartilage_matrix_K14P4	GSE55457	synovium	strong_consistent	8	0.7902044466786423	0.22584678442789483	0.3475447491999685	1.232864144157316	3.4988518817319165	0.00046726607513824326	0.14291957436194563	37.71297223607066	7	1	0.875	GSE114007,GSE143514,GSE169077,GSE185064,GSE191157,GSE55235,GSE89408,GSE98918	strong_consistent	False	-0.01354054113177372	0.01354054113177372
Fibrocartilage_matrix_K14P4	GSE89408	synovium	strong_consistent	8	0.8394996863246771	0.24508203835647768	0.35913889114598085	1.3198604815033734	3.4253823411718356	0.0006139347833689082	0.17363503403737524	37.9264427005433	7	1	0.875	GSE114007,GSE143514,GSE169077,GSE185064,GSE191157,GSE55235,GSE55457,GSE98918	strong_consistent	False	0.03575469851426105	0.03575469851426105
Fibrocartilage_matrix_K14P4	GSE98918	meniscus	strong_consistent	8	0.952470481304639	0.1682297843613431	0.6227401039564064	1.2822008586528715	5.661723249069941	1.4986037620463325e-08	0.0	0.0	8	0	1.0	GSE114007,GSE143514,GSE169077,GSE185064,GSE191157,GSE55235,GSE55457,GSE89408	strong_consistent	False	0.14872549349422293	0.14872549349422293
Fibrotic_remodeling_K14P7	GSE114007	cartilage	heterogeneous_or_inconsistent	8	0.0371723372783866	0.42570166089561945	-0.7972029180770275	0.8715475926338008	0.087320160321153	0.9304170296070646	1.0813855725800887	79.53644719790172	3	5	0.625	GSE143514,GSE169077,GSE185064,GSE191157,GSE55235,GSE55457,GSE89408,GSE98918	heterogeneous_or_inconsistent	False	-0.2610712808242172	0.2610712808242172
