dataset_id	tissue	axis	contrast	group_a	group_b	n_group_a	n_group_b	mean_delta_group_a_minus_group_b	p_value	fdr_bh	n_present_genes	smd_hedges_g	se_smd	ci95_low	ci95_high	direction
GSE114007	cartilage	MSP_paracrine_K12P8	OA_vs_normal	OA	normal	20	18	-0.5534064297483825	6.276668955151854e-06	9.88575360436417e-05	20	-1.9498198076099789	0.3979425782514255	-2.7297872609827727	-1.169852354237185	negative
GSE114007	cartilage	MSP_angiogenic_K14P9	OA_vs_normal	OA	normal	20	18	-0.6313646763824291	6.208592851368702e-07	2.371331272593756e-05	19	-2.3666380416006345	0.42819024231109537	-3.2058909165303815	-1.5273851666708875	negative
GSE114007	cartilage	MSP_inflammatory_K14P10	OA_vs_normal	OA	normal	20	18	-0.8258550604515467	2.3947597062215867e-05	0.0003017397229839	20	-1.8095805610840954	0.38863332130852807	-2.5713018708488105	-1.0478592513193803	negative
GSE114007	cartilage	Fibrocartilage_matrix_K14P4	OA_vs_normal	OA	normal	20	18	0.7199477293363408	0.0010055560831511	0.0045358930816953	20	1.0483808984706655	0.34759296335013745	0.3670986903043961	1.7296631066369348	positive
GSE114007	cartilage	Fibrotic_remodeling_K14P7	OA_vs_normal	OA	normal	20	18	1.1780094083682764	9.735674906890938e-07	2.371331272593756e-05	20	2.2167270055995587	0.41689791278618504	1.399607096538636	3.033846914660481	positive
GSE114007	cartilage	Generic_stress_K14P1	OA_vs_normal	OA	normal	20	18	-0.6623376667444753	0.0016734514551653	0.0067183568901209	19	-1.1839579746247195	0.3535878895471525	-1.8769902381371384	-0.49092571111230066	negative
GSE114007	cartilage	MSP_paracrine_consensus_K12P8_K14P9	OA_vs_normal	OA	normal	20	18	-0.6586782099355881	1.1292053679017886e-06	2.371331272593756e-05	28	-2.5815070821705777	0.4450995334269636	-3.4539021676874264	-1.709111996653729	negative
GSE143514	cartilage	MSP_paracrine_K12P8	OA_vs_normal	OA	normal	5	3	-0.923266002064693	0.3928571428571428	0.5625	20	-1.478711610598878	0.8459012958239636	-3.1366781504138466	0.17925492921609054	negative
GSE143514	cartilage	MSP_angiogenic_K14P9	OA_vs_normal	OA	normal	5	3	-0.7225027478461918	0.5714285714285714	0.7206217529856923	19	-0.9515728703134477	0.7802505434963702	-2.4808639355663336	0.577718194939438	negative
GSE143514	cartilage	MSP_inflammatory_K14P10	OA_vs_normal	OA	normal	5	3	-0.8922940985141852	0.0357142857142857	0.0661764705882353	20	-2.1124614006397517	0.9514240716417707	-3.9772525810576225	-0.24767022022188123	negative
GSE143514	cartilage	Fibrocartilage_matrix_K14P4	OA_vs_normal	OA	normal	5	3	0.4457064822908458	0.5714285714285714	0.7206217529856923	20	0.9124222469180479	0.7763436930397397	-0.609211391439842	2.4340558852759377	positive
GSE143514	cartilage	Fibrotic_remodeling_K14P7	OA_vs_normal	OA	normal	5	3	-0.3780447626258335	0.5714285714285714	0.7206217529856923	20	-0.3674740264426581	0.7379609949104119	-1.8138775764670654	1.078929523581749	negative
GSE143514	cartilage	Generic_stress_K14P1	OA_vs_normal	OA	normal	5	3	-0.7843865714725768	0.0714285714285714	0.125	19	-1.8901453278478708	0.9116216942160975	-3.676923848511422	-0.10336680718431968	negative
GSE143514	cartilage	MSP_paracrine_consensus_K12P8_K14P9	OA_vs_normal	OA	normal	5	3	-0.8217051081036123	0.3928571428571428	0.5625	28	-1.2714373217927994	0.8173408541956678	-2.8734253960163083	0.3305507524307094	negative
GSE169077	cartilage	MSP_paracrine_K12P8	OA_vs_normal	OA	normal	6	5	0.0390838190735964	0.6623376623376623	0.7854545454545455	17	0.05259054691075514	0.6056569328526382	-1.1344970414804159	1.239678135301926	positive
GSE169077	cartilage	MSP_angiogenic_K14P9	OA_vs_normal	OA	normal	6	5	-0.1648626922309712	0.7922077922077921	0.8755980861244018	19	-0.22309311950746671	0.6078089310507763	-1.4143986243669882	0.9682123853520547	negative
GSE169077	cartilage	MSP_inflammatory_K14P10	OA_vs_normal	OA	normal	6	5	-0.0736073728456993	0.7922077922077921	0.8755980861244018	19	-0.07934342844117138	0.6058187930229816	-1.2667482627662152	1.1080614058838725	negative
GSE169077	cartilage	Fibrocartilage_matrix_K14P4	OA_vs_normal	OA	normal	6	5	0.7413630350339312	0.0303030303030303	0.0580035692280115	15	1.2370347773425727	0.6720720464171063	-0.08022643363495563	2.554295988320101	positive
