scope	tissue	n_cohorts	random_effect_smd	random_effect_se	ci95_low	ci95_high	z_score	random_effect_p	tau2	i2_percent	positive_cohorts	negative_cohorts	direction_consistency	contributing_datasets	axis	fdr_bh	evidence_grade
tissue	cartilage	3	1.06419111958744	0.2868895134073042	0.5018876733091239	1.6264945658657561	3.7094110096543735	0.0002077419575303672	0.0	0.0	3	0	1.0	GSE114007,GSE143514,GSE169077	Fibrocartilage_matrix_K14P4	0.0021812905540688557	strong_consistent
tissue	meniscus	3	0.19307195712239064	0.4091951310021349	-0.6089504996417937	0.995094413886575	0.4718334664675747	0.637045661224865	0.14899010166007468	27.64282502880233	2	1	0.6666666666666666	GSE185064,GSE191157,GSE98918	Fibrocartilage_matrix_K14P4	0.7869387579836566	not_supported
tissue	synovium	3	0.9863883457678015	0.2740685176907983	0.44921405109383683	1.5235626404417664	3.599057469565462	0.00031937261167234494	0.05966551865708786	24.883020115231073	3	0	1.0	GSE55235,GSE55457,GSE89408	Fibrocartilage_matrix_K14P4	0.0022356082817064147	strong_consistent
tissue	cartilage	3	1.2723210349438219	0.7749254839673474	-0.246532913632179	2.7911749835198227	1.6418624258296208	0.10061851829969655	1.4011418186478364	78.56464047022764	2	1	0.6666666666666666	GSE114007,GSE143514,GSE169077	Fibrotic_remodeling_K14P7	0.21129888842936279	heterogeneous_or_inconsistent
tissue	meniscus	3	-1.1315538180261882	0.4940439100067173	-2.099879881639354	-0.16322775441302217	-2.290391188124964	0.021998649893513977	0.2988182167844382	39.80368017843661	0	3	1.0	GSE185064,GSE191157,GSE98918	Fibrotic_remodeling_K14P7	0.11549291194094838	weak_trend
tissue	synovium	3	0.6379925278320207	0.5559693982763922	-0.45170749278970823	1.7276925484537495	1.1475317343183191	0.2511619252831241	0.7378880163002064	80.68939694747375	2	1	0.6666666666666666	GSE55235,GSE55457,GSE89408	Fibrotic_remodeling_K14P7	0.4395333692454672	heterogeneous_or_inconsistent
tissue	cartilage	3	-1.330165912376664	0.2990734800610732	-1.9163499332963676	-0.7439818914569606	-4.447622410736765	8.682598094868642e-06	0.0	0.0	0	3	1.0	GSE114007,GSE143514,GSE169077	Generic_stress_K14P1	0.0001823345599922415	strong_consistent
tissue	meniscus	3	-0.6823239338292053	0.3287571638066455	-1.3266879748902305	-0.037959892768180126	-2.0754648383282253	0.03794347438168283	0.0	0.0	0	3	1.0	GSE185064,GSE191157,GSE98918	Generic_stress_K14P1	0.15210743425539666	weak_trend
tissue	synovium	3	-1.0012304693062897	1.0947672904895671	-3.146974358665841	1.1445134200532616	-0.9145600877959654	0.36042261969566325	3.3161078974955513	93.87742625039897	1	2	0.6666666666666666	GSE55235,GSE55457,GSE89408	Generic_stress_K14P1	0.5822211548929945	heterogeneous_or_inconsistent
tissue	cartilage	3	-1.242968266562909	0.7268309260376346	-2.6675568815966724	0.18162034847085473	-1.7101202247117224	0.08724364358789174	1.2163690412146266	77.75313158001383	0	3	1.0	GSE114007,GSE143514,GSE169077	MSP_angiogenic_K14P9	0.2053042907056335	heterogeneous_or_inconsistent
