sample_id	dataset_id	tissue	condition	class_label	subtype_id	subtype_label
OA_01	GSE114007	cartilage	OA	S1_ECM_fibrotic_high	S1	ECM_fibrotic_high
OA_02	GSE114007	cartilage	OA	S2_mixed_low	S2	mixed_low
OA_03	GSE114007	cartilage	OA	S2_mixed_low	S2	mixed_low
OA_04	GSE114007	cartilage	OA	S2_mixed_low	S2	mixed_low
OA_05	GSE114007	cartilage	OA	S1_ECM_fibrotic_high	S1	ECM_fibrotic_high
OA_06	GSE114007	cartilage	OA	S2_mixed_low	S2	mixed_low
OA_07	GSE114007	cartilage	OA	S2_mixed_low	S2	mixed_low
OA_08	GSE114007	cartilage	OA	S2_mixed_low	S2	mixed_low
OA_09	GSE114007	cartilage	OA	S2_mixed_low	S2	mixed_low
OA_10	GSE114007	cartilage	OA	S1_ECM_fibrotic_high	S1	ECM_fibrotic_high
OA_Cart_10_9	GSE114007	cartilage	OA	S2_mixed_low	S2	mixed_low
OA_Cart_1_7	GSE114007	cartilage	OA	S1_ECM_fibrotic_high	S1	ECM_fibrotic_high
OA_Cart_2_8	GSE114007	cartilage	OA	S2_mixed_low	S2	mixed_low
OA_Cart_3_9	GSE114007	cartilage	OA	S2_mixed_low	S2	mixed_low
OA_Cart_4_10	GSE114007	cartilage	OA	S2_mixed_low	S2	mixed_low
OA_Cart_5_5	GSE114007	cartilage	OA	S1_ECM_fibrotic_high	S1	ECM_fibrotic_high
OA_Cart_6_1	GSE114007	cartilage	OA	S2_mixed_low	S2	mixed_low
OA_Cart_7_2	GSE114007	cartilage	OA	S1_ECM_fibrotic_high	S1	ECM_fibrotic_high
OA_Cart_8_5	GSE114007	cartilage	OA	S1_ECM_fibrotic_high	S1	ECM_fibrotic_high
OA_Cart_9_6	GSE114007	cartilage	OA	S2_mixed_low	S2	mixed_low
Osteoarthritis_1B_count	GSE143514	cartilage	OA	S2_mixed_low	S2	mixed_low
Osteoarthritis_2B_count	GSE143514	cartilage	OA	S2_mixed_low	S2	mixed_low
Osteoarthritis_3B_count	GSE143514	cartilage	OA	S1_ECM_fibrotic_high	S1	ECM_fibrotic_high
Osteoarthritis_5B_count	GSE143514	cartilage	OA	S2_mixed_low	S2	mixed_low
Osteoarthritis_8A_count	GSE143514	cartilage	OA	S1_ECM_fibrotic_high	S1	ECM_fibrotic_high
GSM5176143	GSE169077	cartilage	OA	S1_ECM_fibrotic_high	S1	ECM_fibrotic_high
GSM5176144	GSE169077	cartilage	OA	S1_ECM_fibrotic_high	S1	ECM_fibrotic_high
GSM5176145	GSE169077	cartilage	OA	S1_ECM_fibrotic_high	S1	ECM_fibrotic_high
GSM5176146	GSE169077	cartilage	OA	S1_ECM_fibrotic_high	S1	ECM_fibrotic_high
GSM5176147	GSE169077	cartilage	OA	S1_ECM_fibrotic_high	S1	ECM_fibrotic_high
GSM5176148	GSE169077	cartilage	OA	S2_mixed_low	S2	mixed_low
OA1	GSE185064	meniscus	OA	S1_ECM_fibrotic_high	S1	ECM_fibrotic_high
OA2	GSE185064	meniscus	OA	S1_ECM_fibrotic_high	S1	ECM_fibrotic_high
OA3	GSE185064	meniscus	OA	S2_mixed_low	S2	mixed_low
OA4	GSE185064	meniscus	OA	S1_ECM_fibrotic_high	S1	ECM_fibrotic_high
GSM5740181	GSE191157	meniscus	aged	S1_ECM_fibrotic_high	S1	ECM_fibrotic_high
GSM5740182	GSE191157	meniscus	aged	S1_ECM_fibrotic_high	S1	ECM_fibrotic_high
GSM5740183	GSE191157	meniscus	aged	S1_ECM_fibrotic_high	S1	ECM_fibrotic_high
GSM5740184	GSE191157	meniscus	aged	S1_ECM_fibrotic_high	S1	ECM_fibrotic_high
GSM1332211	GSE55235	synovium	OA	S1_ECM_fibrotic_high	S1	ECM_fibrotic_high
GSM1332212	GSE55235	synovium	OA	S2_mixed_low	S2	mixed_low
GSM1332213	GSE55235	synovium	OA	S2_mixed_low	S2	mixed_low
GSM1332214	GSE55235	synovium	OA	S1_ECM_fibrotic_high	S1	ECM_fibrotic_high
GSM1332215	GSE55235	synovium	OA	S1_ECM_fibrotic_high	S1	ECM_fibrotic_high
GSM1332216	GSE55235	synovium	OA	S1_ECM_fibrotic_high	S1	ECM_fibrotic_high
GSM1332217	GSE55235	synovium	OA	S1_ECM_fibrotic_high	S1	ECM_fibrotic_high
GSM1332218	GSE55235	synovium	OA	S2_mixed_low	S2	mixed_low
GSM1332219	GSE55235	synovium	OA	S2_mixed_low	S2	mixed_low
GSM1332220	GSE55235	synovium	OA	S2_mixed_low	S2	mixed_low
GSM1337327	GSE55457	synovium	OA	S1_ECM_fibrotic_high	S1	ECM_fibrotic_high
GSM1337328	GSE55457	synovium	OA	S1_ECM_fibrotic_high	S1	ECM_fibrotic_high
GSM1337329	GSE55457	synovium	OA	S2_mixed_low	S2	mixed_low
GSM1337330	GSE55457	synovium	OA	S1_ECM_fibrotic_high	S1	ECM_fibrotic_high
GSM1337331	GSE55457	synovium	OA	S2_mixed_low	S2	mixed_low
GSM1337332	GSE55457	synovium	OA	S1_ECM_fibrotic_high	S1	ECM_fibrotic_high
GSM1337333	GSE55457	synovium	OA	S2_mixed_low	S2	mixed_low
GSM1337334	GSE55457	synovium	OA	S1_ECM_fibrotic_high	S1	ECM_fibrotic_high
GSM1337335	GSE55457	synovium	OA	S2_mixed_low	S2	mixed_low
GSM1337336	GSE55457	synovium	OA	S1_ECM_fibrotic_high	S1	ECM_fibrotic_high
OA_tissue_1	GSE89408	synovium	OA	S2_mixed_low	S2	mixed_low
OA_tissue_10	GSE89408	synovium	OA	S2_mixed_low	S2	mixed_low
OA_tissue_11	GSE89408	synovium	OA	S2_mixed_low	S2	mixed_low
OA_tissue_12	GSE89408	synovium	OA	S2_mixed_low	S2	mixed_low
OA_tissue_13	GSE89408	synovium	OA	S1_ECM_fibrotic_high	S1	ECM_fibrotic_high
OA_tissue_14	GSE89408	synovium	OA	S1_ECM_fibrotic_high	S1	ECM_fibrotic_high
OA_tissue_15	GSE89408	synovium	OA	S1_ECM_fibrotic_high	S1	ECM_fibrotic_high
OA_tissue_16	GSE89408	synovium	OA	S2_mixed_low	S2	mixed_low
OA_tissue_17	GSE89408	synovium	OA	S1_ECM_fibrotic_high	S1	ECM_fibrotic_high
OA_tissue_18	GSE89408	synovium	OA	S1_ECM_fibrotic_high	S1	ECM_fibrotic_high
OA_tissue_19	GSE89408	synovium	OA	S1_ECM_fibrotic_high	S1	ECM_fibrotic_high
OA_tissue_2	GSE89408	synovium	OA	S1_ECM_fibrotic_high	S1	ECM_fibrotic_high
OA_tissue_20	GSE89408	synovium	OA	S2_mixed_low	S2	mixed_low
OA_tissue_21	GSE89408	synovium	OA	S2_mixed_low	S2	mixed_low
OA_tissue_22	GSE89408	synovium	OA	S1_ECM_fibrotic_high	S1	ECM_fibrotic_high
OA_tissue_3	GSE89408	synovium	OA	S1_ECM_fibrotic_high	S1	ECM_fibrotic_high
OA_tissue_4	GSE89408	synovium	OA	S1_ECM_fibrotic_high	S1	ECM_fibrotic_high
OA_tissue_5	GSE89408	synovium	OA	S2_mixed_low	S2	mixed_low
OA_tissue_6	GSE89408	synovium	OA	S2_mixed_low	S2	mixed_low
OA_tissue_7	GSE89408	synovium	OA	S1_ECM_fibrotic_high	S1	ECM_fibrotic_high
OA_tissue_8	GSE89408	synovium	OA	S1_ECM_fibrotic_high	S1	ECM_fibrotic_high
OA_tissue_9	GSE89408	synovium	OA	S2_mixed_low	S2	mixed_low
GSM2627530	GSE98918	meniscus	OA	S1_ECM_fibrotic_high	S1	ECM_fibrotic_high
GSM2627531	GSE98918	meniscus	OA	S1_ECM_fibrotic_high	S1	ECM_fibrotic_high
GSM2627532	GSE98918	meniscus	OA	S2_mixed_low	S2	mixed_low
GSM2627533	GSE98918	meniscus	OA	S2_mixed_low	S2	mixed_low
GSM2627534	GSE98918	meniscus	OA	S2_mixed_low	S2	mixed_low
GSM2627535	GSE98918	meniscus	OA	S1_ECM_fibrotic_high	S1	ECM_fibrotic_high
GSM2627536	GSE98918	meniscus	OA	S2_mixed_low	S2	mixed_low
GSM2627537	GSE98918	meniscus	OA	S2_mixed_low	S2	mixed_low
GSM2627538	GSE98918	meniscus	OA	S2_mixed_low	S2	mixed_low
GSM2627539	GSE98918	meniscus	OA	S2_mixed_low	S2	mixed_low
GSM2627540	GSE98918	meniscus	OA	S1_ECM_fibrotic_high	S1	ECM_fibrotic_high
GSM2627541	GSE98918	meniscus	OA	S2_mixed_low	S2	mixed_low
