variable	category	subtype_id	subtype_label	n_subtype_category	n_subtype_total	n_category_total	n_all	odds_ratio	p_value	enrichment_direction	fdr_bh
condition	OA	S1	ECM_fibrotic_high	44	48	89	93	0.0	0.1176733504924248	depleted	0.5200440957533827
condition	OA	S2	mixed_low	45	45	89	93	inf	0.1176733504924248	enriched	0.5200440957533827
condition	aged	S1	ECM_fibrotic_high	4	48	4	93	inf	0.1176733504924248	enriched	0.5200440957533827
condition	aged	S2	mixed_low	0	45	4	93	0.0	0.1176733504924248	depleted	0.5200440957533827
dataset_id	GSE114007	S1	ECM_fibrotic_high	7	48	20	93	0.4202626641651032	0.13001102393834568	depleted	0.5200440957533827
dataset_id	GSE114007	S2	mixed_low	13	45	20	93	2.3794642857142856	0.13001102393834568	enriched	0.5200440957533827
dataset_id	GSE191157	S1	ECM_fibrotic_high	4	48	4	93	inf	0.1176733504924248	enriched	0.5200440957533827
dataset_id	GSE191157	S2	mixed_low	0	45	4	93	0.0	0.1176733504924248	depleted	0.5200440957533827
dataset_id	GSE169077	S1	ECM_fibrotic_high	5	48	6	93	5.116279069767442	0.20480893265613626	enriched	0.5936843019552083
dataset_id	GSE169077	S2	mixed_low	1	45	6	93	0.19545454545454546	0.20480893265613626	depleted	0.5936843019552083
dataset_id	GSE98918	S1	ECM_fibrotic_high	4	48	12	93	0.42045454545454547	0.2226316132332031	depleted	0.5936843019552083
dataset_id	GSE98918	S2	mixed_low	8	45	12	93	2.3783783783783785	0.22263161323320307	enriched	0.5936843019552083
dataset_id	GSE143514	S1	ECM_fibrotic_high	2	48	5	93	0.6086956521739131	0.6705288187709355	depleted	0.8742098156677242
dataset_id	GSE143514	S2	mixed_low	3	45	5	93	1.6428571428571428	0.6705288187709353	enriched	0.8742098156677242
dataset_id	GSE185064	S1	ECM_fibrotic_high	3	48	4	93	2.933333333333333	0.6175269330949555	enriched	0.8742098156677242
dataset_id	GSE185064	S2	mixed_low	1	45	4	93	0.3409090909090909	0.6175269330949555	depleted	0.8742098156677242
dataset_id	GSE55457	S1	ECM_fibrotic_high	6	48	10	93	1.4642857142857142	0.7410677298839735	enriched	0.8742098156677242
dataset_id	GSE55457	S2	mixed_low	4	45	10	93	0.6829268292682927	0.7410677298839736	depleted	0.8742098156677242
dataset_id	GSE89408	S1	ECM_fibrotic_high	12	48	22	93	1.1666666666666667	0.8104648538120411	enriched	0.8742098156677242
dataset_id	GSE89408	S2	mixed_low	10	45	22	93	0.8571428571428571	0.8104648538120411	depleted	0.8742098156677242
nmf_dominant_program	NMF1	S1	ECM_fibrotic_high	13	48	27	93	0.8224489795918367	0.8195717021884914	depleted	0.8742098156677242
nmf_dominant_program	NMF1	S2	mixed_low	14	45	27	93	1.215880893300248	0.8195717021884914	enriched	0.8742098156677242
nmf_dominant_program	NMF2	S1	ECM_fibrotic_high	35	48	66	93	1.215880893300248	0.8195717021884914	enriched	0.8742098156677242
nmf_dominant_program	NMF2	S2	mixed_low	31	45	66	93	0.8224489795918367	0.8195717021884914	depleted	0.8742098156677242
tissue	cartilage	S1	ECM_fibrotic_high	14	48	31	93	0.6782006920415224	0.3900781624097056	depleted	0.8742098156677242
tissue	cartilage	S2	mixed_low	17	45	31	93	1.4744897959183674	0.3900781624097056	enriched	0.8742098156677242
tissue	meniscus	S1	ECM_fibrotic_high	11	48	20	93	1.1891891891891893	0.8038280699605614	enriched	0.8742098156677242
tissue	meniscus	S2	mixed_low	9	45	20	93	0.8409090909090909	0.8038280699605613	depleted	0.8742098156677242
tissue	synovium	S1	ECM_fibrotic_high	23	48	42	93	1.2589473684210526	0.6778114115790308	enriched	0.8742098156677242
tissue	synovium	S2	mixed_low	19	45	42	93	0.794314381270903	0.6778114115790309	depleted	0.8742098156677242
dataset_id	GSE55235	S1	ECM_fibrotic_high	5	48	10	93	0.9302325581395349	1.0	depleted	1.0
dataset_id	GSE55235	S2	mixed_low	5	45	10	93	1.075	1.0	enriched	1.0
