gene	n_datasets	n_tissues	tissues	weighted_delta_s1_minus_s2	stouffer_z	p_value	n_positive_datasets	n_negative_datasets	fdr	evidence_tier
SLC39A14	4	2	meniscus;synovium	1.2711205991410672	4.853077074276109	1.2156041910723941e-06	4	0	0.02757476547028619	high_confidence_S1_high
ANKH	4	2	meniscus;synovium	1.133849370932486	4.414458824793614	1.0126298648368943e-05	4	0	0.1046761005270709	candidate_S1_high
COL5A2	4	2	meniscus;synovium	1.115402601500307	4.346327171015469	1.3843603490619498e-05	4	0	0.1046761005270709	candidate_S1_high
TIMP1	4	3	cartilage;meniscus;synovium	0.9832766591200546	4.165402874096823	3.108032224305244e-05	4	0	0.1471580709216235	candidate_S1_high
ITPR3	2	1	synovium	1.469853754765735	4.155649087824419	3.2436534764949634e-05	2	0	0.1471580709216235	candidate_S1_high
FOSL1	5	3	cartilage;meniscus;synovium	0.9310023679445134	4.0742085402014405	4.617109568730566e-05	5	0	0.17455752242847358	candidate_S1_high
SPP1	5	3	cartilage;meniscus;synovium	1.0241427579232654	4.010381633040551	6.0620685028159034e-05	5	0	0.19644565988267995	candidate_S1_high
TNC	4	2	cartilage;synovium	0.9930592378719252	3.9055563858733513	9.400883383771494e-05	4	0	0.23566811204529872	candidate_S1_high
HIST1H2AK	4	3	cartilage;meniscus;synovium	0.9066366784293277	3.893542876824385	9.879073147129016e-05	4	0	0.23566811204529872	candidate_S1_high
CRTAC1	4	2	meniscus;synovium	0.9402759706873324	3.8350157286086604	0.00012555625948704158	4	0	0.23566811204529872	candidate_S1_high
SERPINA1	3	2	meniscus;synovium	1.212808664148423	3.811476083475673	0.00013813942299564953	3	0	0.23566811204529872	candidate_S1_high
KCNK1	3	1	synovium	0.9157363898115528	3.810324400654793	0.0001387845607202105	3	0	0.23566811204529872	candidate_S1_high
S1PR3	2	2	meniscus;synovium	1.2511294582561334	3.789232774083809	0.00015111326786175838	2	0	0.23566811204529872	candidate_S1_high
SEC14L2	2	1	synovium	1.1352347316039162	3.7713798434067374	0.00016234732753808733	2	0	0.23566811204529872	candidate_S1_high
SERTAD1	2	2	meniscus;synovium	1.2526127282059945	3.769423913825877	0.0001636247782225769	2	0	0.23566811204529872	candidate_S1_high
COL1A2	3	2	meniscus;synovium	1.1812127344621892	3.76548388235546	0.00016622684679619025	3	0	0.23566811204529872	candidate_S1_high
HHIPL2	4	2	meniscus;synovium	0.8981724681590856	3.7371486986047318	0.0001861188639802459	4	0	0.24834825356046455	candidate_S1_high
NDP	3	1	synovium	1.0616634448267068	3.716687592310174	0.00020185178130317641	3	0	0.25064131523369193	candidate_S1_high
C6ORF195	2	2	meniscus;synovium	1.1496796042508313	3.6938481534577137	0.00022088573421005257	2	0	0.25064131523369193	candidate_S1_high
HIST1H2AH	2	2	cartilage;meniscus	1.2648373182187949	3.693733831193731	0.0002209851130609169	2	0	0.25064131523369193	candidate_S1_high
SLC20A1	3	1	synovium	1.0507082613261005	3.6422050929026426	0.0002703125708812711	3	0	0.26369505936611715	candidate_S1_high
CACNA1D	3	1	synovium	0.8164589560067922	3.6389023466859514	0.0002738025931314034	3	0	0.26369505936611715	candidate_S1_high
INHBA	3	1	synovium	1.081811083523694	3.6111148944506124	0.0003048835492580321	3	0	0.26369505936611715	candidate_S1_high
