target_context	gene	rank	weighted_delta_s1_minus_s2	stouffer_z	fdr	n_datasets	n_tissues	selection_reason	receiver_use
bulk_S1_high_receiver_response	SLC39A14	1	1.2711205991410672	4.853077074276109	0.02757476547028619	4	2	high_confidence_S1_high	Use as NicheNet receiver target gene candidate for testing MSP LR phase 1/2 ligands against S1-high bulk response.
bulk_S1_high_receiver_response	ANKH	2	1.133849370932486	4.414458824793614	0.1046761005270709	4	2	candidate_S1_high	Use as NicheNet receiver target gene candidate for testing MSP LR phase 1/2 ligands against S1-high bulk response.
bulk_S1_high_receiver_response	COL5A2	3	1.115402601500307	4.346327171015469	0.1046761005270709	4	2	candidate_S1_high	Use as NicheNet receiver target gene candidate for testing MSP LR phase 1/2 ligands against S1-high bulk response.
bulk_S1_high_receiver_response	TIMP1	4	0.9832766591200546	4.165402874096823	0.1471580709216235	4	3	candidate_S1_high	Use as NicheNet receiver target gene candidate for testing MSP LR phase 1/2 ligands against S1-high bulk response.
bulk_S1_high_receiver_response	ITPR3	5	1.469853754765735	4.155649087824419	0.1471580709216235	2	1	candidate_S1_high	Use as NicheNet receiver target gene candidate for testing MSP LR phase 1/2 ligands against S1-high bulk response.
bulk_S1_high_receiver_response	FOSL1	6	0.9310023679445134	4.0742085402014405	0.17455752242847358	5	3	candidate_S1_high	Use as NicheNet receiver target gene candidate for testing MSP LR phase 1/2 ligands against S1-high bulk response.
bulk_S1_high_receiver_response	SPP1	7	1.0241427579232654	4.010381633040551	0.19644565988267995	5	3	candidate_S1_high	Use as NicheNet receiver target gene candidate for testing MSP LR phase 1/2 ligands against S1-high bulk response.
bulk_S1_high_receiver_response	TNC	8	0.9930592378719252	3.9055563858733513	0.23566811204529872	4	2	candidate_S1_high	Use as NicheNet receiver target gene candidate for testing MSP LR phase 1/2 ligands against S1-high bulk response.
bulk_S1_high_receiver_response	HIST1H2AK	9	0.9066366784293277	3.893542876824385	0.23566811204529872	4	3	candidate_S1_high	Use as NicheNet receiver target gene candidate for testing MSP LR phase 1/2 ligands against S1-high bulk response.
bulk_S1_high_receiver_response	CRTAC1	10	0.9402759706873324	3.8350157286086604	0.23566811204529872	4	2	candidate_S1_high	Use as NicheNet receiver target gene candidate for testing MSP LR phase 1/2 ligands against S1-high bulk response.
bulk_S1_high_receiver_response	SERPINA1	11	1.212808664148423	3.811476083475673	0.23566811204529872	3	2	candidate_S1_high	Use as NicheNet receiver target gene candidate for testing MSP LR phase 1/2 ligands against S1-high bulk response.
bulk_S1_high_receiver_response	KCNK1	12	0.9157363898115528	3.810324400654793	0.23566811204529872	3	1	candidate_S1_high	Use as NicheNet receiver target gene candidate for testing MSP LR phase 1/2 ligands against S1-high bulk response.
bulk_S1_high_receiver_response	S1PR3	13	1.2511294582561334	3.789232774083809	0.23566811204529872	2	2	candidate_S1_high	Use as NicheNet receiver target gene candidate for testing MSP LR phase 1/2 ligands against S1-high bulk response.
bulk_S1_high_receiver_response	SEC14L2	14	1.1352347316039162	3.7713798434067374	0.23566811204529872	2	1	candidate_S1_high	Use as NicheNet receiver target gene candidate for testing MSP LR phase 1/2 ligands against S1-high bulk response.
bulk_S1_high_receiver_response	SERTAD1	15	1.2526127282059945	3.769423913825877	0.23566811204529872	2	2	candidate_S1_high	Use as NicheNet receiver target gene candidate for testing MSP LR phase 1/2 ligands against S1-high bulk response.
bulk_S1_high_receiver_response	COL1A2	16	1.1812127344621892	3.76548388235546	0.23566811204529872	3	2	candidate_S1_high	Use as NicheNet receiver target gene candidate for testing MSP LR phase 1/2 ligands against S1-high bulk response.
bulk_S1_high_receiver_response	HHIPL2	17	0.8981724681590856	3.7371486986047318	0.24834825356046455	4	2	candidate_S1_high	Use as NicheNet receiver target gene candidate for testing MSP LR phase 1/2 ligands against S1-high bulk response.
