reference_name	dataset_id	sample_id	tissue	condition	subtype_id	subtype_label	state	fraction	n_genes_used	reconstruction_rmse
GSE220243_broad	GSE114007	OA_Cart_1_7	cartilage	OA	S1	ECM_fibrotic_high	endothelial	0.0	405	1.874415944240185
GSE220243_broad	GSE114007	OA_Cart_1_7	cartilage	OA	S1	ECM_fibrotic_high	fibrochondrocyte_core	0.8809456612838271	405	1.874415944240185
GSE220243_broad	GSE114007	OA_Cart_1_7	cartilage	OA	S1	ECM_fibrotic_high	immune_myeloid	0.0	405	1.874415944240185
GSE220243_broad	GSE114007	OA_Cart_1_7	cartilage	OA	S1	ECM_fibrotic_high	inflammatory_like	0.0	405	1.874415944240185
GSE220243_broad	GSE114007	OA_Cart_1_7	cartilage	OA	S1	ECM_fibrotic_high	mural_smooth_muscle	0.05921481726767436	405	1.874415944240185
GSE220243_broad	GSE114007	OA_Cart_1_7	cartilage	OA	S1	ECM_fibrotic_high	outer_fibrous_like	0.059839521448498564	405	1.874415944240185
GSE220243_broad	GSE114007	OA_Cart_1_7	cartilage	OA	S1	ECM_fibrotic_high	t_nk	0.0	405	1.874415944240185
GSE220243_broad	GSE114007	OA_Cart_10_9	cartilage	OA	S2	mixed_low	endothelial	0.0	405	1.73518459830853
GSE220243_broad	GSE114007	OA_Cart_10_9	cartilage	OA	S2	mixed_low	fibrochondrocyte_core	0.8783009196449141	405	1.73518459830853
GSE220243_broad	GSE114007	OA_Cart_10_9	cartilage	OA	S2	mixed_low	immune_myeloid	0.0	405	1.73518459830853
GSE220243_broad	GSE114007	OA_Cart_10_9	cartilage	OA	S2	mixed_low	inflammatory_like	0.0	405	1.73518459830853
GSE220243_broad	GSE114007	OA_Cart_10_9	cartilage	OA	S2	mixed_low	mural_smooth_muscle	0.12169908035508593	405	1.73518459830853
GSE220243_broad	GSE114007	OA_Cart_10_9	cartilage	OA	S2	mixed_low	outer_fibrous_like	0.0	405	1.73518459830853
GSE220243_broad	GSE114007	OA_Cart_10_9	cartilage	OA	S2	mixed_low	t_nk	0.0	405	1.73518459830853
GSE220243_broad	GSE114007	OA_Cart_2_8	cartilage	OA	S2	mixed_low	endothelial	0.0	405	1.95570267508613
GSE220243_broad	GSE114007	OA_Cart_2_8	cartilage	OA	S2	mixed_low	fibrochondrocyte_core	0.5422668652438756	405	1.95570267508613
GSE220243_broad	GSE114007	OA_Cart_2_8	cartilage	OA	S2	mixed_low	immune_myeloid	0.003978246354062835	405	1.95570267508613
GSE220243_broad	GSE114007	OA_Cart_2_8	cartilage	OA	S2	mixed_low	inflammatory_like	0.0	405	1.95570267508613
GSE220243_broad	GSE114007	OA_Cart_2_8	cartilage	OA	S2	mixed_low	mural_smooth_muscle	0.0	405	1.95570267508613
GSE220243_broad	GSE114007	OA_Cart_2_8	cartilage	OA	S2	mixed_low	outer_fibrous_like	0.4537548884020616	405	1.95570267508613
GSE220243_broad	GSE114007	OA_Cart_2_8	cartilage	OA	S2	mixed_low	t_nk	0.0	405	1.95570267508613
GSE220243_broad	GSE114007	OA_Cart_3_9	cartilage	OA	S2	mixed_low	endothelial	0.0	405	1.80617266239733
GSE220243_broad	GSE114007	OA_Cart_3_9	cartilage	OA	S2	mixed_low	fibrochondrocyte_core	0.40976019232024236	405	1.80617266239733
GSE220243_broad	GSE114007	OA_Cart_3_9	cartilage	OA	S2	mixed_low	immune_myeloid	0.0	405	1.80617266239733
GSE220243_broad	GSE114007	OA_Cart_3_9	cartilage	OA	S2	mixed_low	inflammatory_like	0.0	405	1.80617266239733
GSE220243_broad	GSE114007	OA_Cart_3_9	cartilage	OA	S2	mixed_low	mural_smooth_muscle	0.24612820762515047	405	1.80617266239733
