reference_name	gene	state	mean_expression	marker_score	marker_rank
GSE220243_broad	GNG11	endothelial	2.500771999359131	1.882751703262329	1
GSE220243_broad	TM4SF1	endothelial	2.2092959880828857	1.6421462297439575	2
GSE220243_broad	IFI27	endothelial	2.3446943759918213	1.594389796257019	3
GSE220243_broad	PLVAP	endothelial	1.4608403444290161	1.4527853727340698	4
GSE220243_broad	EMCN	endothelial	1.3689124584197998	1.3550242185592651	5
GSE220243_broad	RAMP2	endothelial	1.7691832780838013	1.3516961336135864	6
GSE220243_broad	PECAM1	endothelial	1.7832670211791992	1.342954397201538	7
GSE220243_broad	SOX18	endothelial	1.3109066486358643	1.303003191947937	8
GSE220243_broad	CALCRL	endothelial	1.5250072479248047	1.2645190954208374	9
GSE220243_broad	EGFL7	endothelial	1.3806453943252563	1.2392215728759766	10
GSE220243_broad	ADGRL4	endothelial	1.200922966003418	1.1944940090179443	11
GSE220243_broad	ITGA6	endothelial	1.3100203275680542	1.1882010698318481	12
GSE220243_broad	CLEC14A	endothelial	1.1972682476043701	1.1829582452774048	13
GSE220243_broad	ACKR1	endothelial	1.1450194120407104	1.1278280019760132	14
GSE220243_broad	ECSCR	endothelial	1.1239861249923706	1.118384599685669	15
GSE220243_broad	KLF2	endothelial	2.1595890522003174	1.0980281829833984	16
GSE220243_broad	SLC9A3R2	endothelial	1.3751697540283203	1.023327112197876	17
GSE220243_broad	SPRY1	endothelial	1.3067164421081543	1.012924075126648	18
GSE220243_broad	HLA-E	endothelial	2.6912472248077393	1.0006998777389526	19
GSE220243_broad	GIMAP7	endothelial	1.4096986055374146	0.9800733327865601	20
GSE220243_broad	CD34	endothelial	1.188821792602539	0.975511908531189	21
GSE220243_broad	NPDC1	endothelial	1.3745383024215698	0.9753357172012329	22
GSE220243_broad	FLT1	endothelial	1.0575666427612305	0.9516416192054749	23
GSE220243_broad	RAMP3	endothelial	0.9633439183235168	0.9415850639343262	24
GSE220243_broad	CD93	endothelial	1.1538031101226807	0.9111776947975159	25
GSE220243_broad	VWF	endothelial	0.9119668006896973	0.9067496061325073	26
GSE220243_broad	CLDN5	endothelial	0.9897327423095703	0.8953089118003845	27
GSE220243_broad	AQP1	endothelial	1.915076494216919	0.8899240493774414	28
GSE220243_broad	PCAT19	endothelial	0.8759972453117371	0.8687448501586914	29
GSE220243_broad	ELK3	endothelial	1.1875107288360596	0.807680606842041	30
GSE220243_broad	HSPG2	endothelial	1.2903333902359009	0.8007376194000244	31
GSE220243_broad	PODXL	endothelial	0.8276589512825012	0.7997985482215881	32
GSE220243_broad	CCL14	endothelial	0.7990096211433411	0.7876608967781067	33
GSE220243_broad	CDH5	endothelial	0.7871453166007996	0.7737782597541809	34
GSE220243_broad	HYAL2	endothelial	0.9056969285011292	0.7681143879890442	35
GSE220243_broad	CRIP2	endothelial	1.7255871295928955	0.7624545693397522	36
GSE220243_broad	SPTBN1	endothelial	1.5068707466125488	0.7515862584114075	37
GSE220243_broad	TM4SF18	endothelial	0.7425703406333923	0.7386698722839355	38
GSE220243_broad	LMCD1	endothelial	1.0119236707687378	0.7326629161834717	39
GSE220243_broad	CYYR1	endothelial	0.7252050042152405	0.7218372821807861	40
GSE220243_broad	PTPRB	endothelial	0.728837251663208	0.7209691405296326	41
GSE220243_broad	PALMD	endothelial	1.1954749822616577	0.7186854481697083	42
GSE220243_broad	MGST2	endothelial	0.9678156971931458	0.7166314125061035	43
GSE220243_broad	MTUS1	endothelial	1.318109154701233	0.7072504162788391	44
GSE220243_broad	NEDD9	endothelial	0.8486709594726562	0.7048143148422241	45
GSE220243_broad	TCF4	endothelial	1.802849292755127	0.689660906791687	46
GSE220243_broad	MYCT1	endothelial	0.6818689703941345	0.6785208582878113	47
GSE220243_broad	TSPAN7	endothelial	0.7600768804550171	0.6753710508346558	48
GSE220243_broad	RDX	endothelial	1.1079517602920532	0.6536681652069092	49
GSE220243_broad	PLAT	endothelial	0.7256453037261963	0.6504323482513428	50
GSE220243_broad	ITM2A	endothelial	1.3789629936218262	0.6376194357872009	51
GSE220243_broad	SYNE2	endothelial	1.3313517570495605	0.619915783405304	52
GSE220243_broad	FKBP1A	endothelial	1.3321809768676758	0.614525556564331	53
GSE220243_broad	MMRN2	endothelial	0.6444761753082275	0.6018374562263489	54
GSE220243_broad	GIMAP1	endothelial	0.8374577164649963	0.599808394908905	55
GSE220243_broad	JAM2	endothelial	0.7099236249923706	0.5997767448425293	56
GSE220243_broad	RAB11A	endothelial	1.0197502374649048	0.5967867374420166	57
GSE220243_broad	SOX17	endothelial	0.587905764579773	0.5834880471229553	58
GSE220243_broad	SLCO2A1	endothelial	0.5826652646064758	0.5744748115539551	59
GSE220243_broad	CAVIN2	endothelial	0.8181822896003723	0.570894181728363	60
GSE220243_broad	RPL22	endothelial	2.7310268878936768	-0.23183155059814453	36472
GSE220243_broad	HMGB2	endothelial	0.5908729434013367	-0.25401270389556885	36644
GSE220243_broad	PHF3	endothelial	0.5008262395858765	-0.2553836703300476	36649
GSE220243_broad	CCNG2	endothelial	0.28529059886932373	-0.2935059070587158	36897
GSE220243_broad	RPL22L1	endothelial	0.6679861545562744	-0.3063403367996216	36962
GSE220243_broad	HSPA2	endothelial	0.4899965822696686	-0.321964830160141	37037
GSE220243_broad	IFITM2	endothelial	1.8384640216827393	-0.33109188079833984	37073
GSE220243_broad	PHC2	endothelial	0.3055952191352844	-0.3370100259780884	37104
GSE220243_broad	CLEC3A	endothelial	0.01926913857460022	-0.3387818932533264	37114
GSE220243_broad	PTGDS	endothelial	0.10558391362428665	-0.34254875779151917	37133
GSE220243_broad	EML4	endothelial	0.22490006685256958	-0.3703588843345642	37226
GSE220243_broad	MIA	endothelial	0.0531463548541069	-0.37219691276550293	37231
GSE220243_broad	SBSPON	endothelial	0.04131285846233368	-0.37530773878097534	37240
GSE220243_broad	TUBA4A	endothelial	0.2316911369562149	-0.3757168650627136	37241
GSE220243_broad	CTSG	endothelial	0.0003020679869223386	-0.3784710168838501	37253
GSE220243_broad	POLR1D	endothelial	0.6853216290473938	-0.3801913857460022	37258
GSE220243_broad	CCDC59	endothelial	0.46479135751724243	-0.38307493925094604	37272
GSE220243_broad	SYF2	endothelial	0.8921235203742981	-0.39473575353622437	37309
GSE220243_broad	TMOD1	endothelial	0.10923720896244049	-0.39642196893692017	37314
GSE220243_broad	RPS11	endothelial	2.584707736968994	-0.3985743522644043	37322
GSE220243_broad	SUB1	endothelial	0.9219241738319397	-0.4069172739982605	37337
GSE220243_broad	RPL24	endothelial	3.018195867538452	-0.4086453914642334	37344
GSE220243_broad	CTSW	endothelial	0.0033884700387716293	-0.4107675552368164	37353
GSE220243_broad	ITGB8	endothelial	0.0646267980337143	-0.41384291648864746	37364
GSE220243_broad	IL2RG	endothelial	0.009949677623808384	-0.4163517355918884	37370
GSE220243_broad	GSN	endothelial	2.7624423503875732	-0.4287683963775635	37398
GSE220243_broad	SPOCK2	endothelial	0.04630507528781891	-0.4307652711868286	37405
GSE220243_broad	COPS2	endothelial	0.4416944682598114	-0.43925121426582336	37424
GSE220243_broad	STK17A	endothelial	0.24972467124462128	-0.4454849362373352	37439
GSE220243_broad	PTGES3	endothelial	1.0550789833068848	-0.4468001127243042	37440
GSE220243_broad	RNMT	endothelial	0.28084567189216614	-0.4471489489078522	37441
GSE220243_broad	SERPINA3	endothelial	0.022267824038863182	-0.44840019941329956	37443
GSE220243_broad	MS4A2	endothelial	0.0011118955444544554	-0.4532279968261719	37453
GSE220243_broad	CDC42SE2	endothelial	0.26511842012405396	-0.46298545598983765	37475
GSE220243_broad	C1QTNF3	endothelial	0.018471071496605873	-0.4652905762195587	37483
