k	program	senescence_score	sasp_score	ecm_remodeling_score	fibrocartilage_score	communication_score	progenitor_interface_score	generic_stress_score	contamination_score	immune_score	mural_score	cycling_score	msp_axis_score	mean_usage	median_usage	q95_usage	dominant_sample	dominant_sample_fraction	dominant_disease_status	dominant_disease_fraction	n_samples_detected	mean_usage_oa	mean_usage_normal	median_usage_oa	median_usage_normal	usage_delta_oa_minus_normal	sample_mean_usage_sd	top_sample_by_mean	top_sample_mean_usage	silhouette	prediction_error	top_genes_20	program_label	candidate_status	analysis_tier	analysis_tier_rank	msp_rank_score
14	10	5.142652313930708	15.524227298058277	0.0	0.0	2.562345321246125	0.0	5.657310060964683	0.0	0.0	0.0	0.0	20.668643939485342	0.0590229643156456	0.0280519009665151	0.2237989400106504	MenOA5	0.1382937436931944	normal	0.622033726170916	14	0.05344385088343909	0.06342675178530319	0.019900785	0.033449999	-0.0099829009018641	0.03233474342693353	MenOA5	0.11349331875162424	0.8743303614517992	145275256.12035054	GEM,CDKN1A,PPP1R15A,ABL2,MAT2A,HMOX1,KDM6B,IRF1,NFKBIA,MYC,IER3,SOCS3,ATF3,NR4A3,NFKBIZ,ARID5B,NR4A1,KCNQ1OT1,NR4A2,HSPH1	senescence_inflammatory	msp_like_primary_caution_normal_skew	primary_k	0	21.392056452098952
12	8	2.97791162442478	5.584807007258588	0.0	0.7315048408184566	11.78437820088605	0.0	5.657310060964683	0.0	0.0	0.0	0.0	19.596695633200326	0.075252785646794	0.0210407730025242	0.3471146659014882	MenNorm5	0.2910803589206648	normal	0.7298763590881415	14	0.04829425893937763	0.0953527885354307	0.0053569597	0.033373222	-0.04705852959605306	0.08203870187472191	MenNorm5	0.3074881919730825	0.8856960871615933	146180669.3533125	TNFRSF12A,VEGFA,BMP2,HSPA5,RPS17,MIF,RPL17,PTGS2,KDM6B,FOSL1,CDKN1A,INHBA,SDF2L1,CHAC1,RCAN1,SERPINA3,GLIS3,EEF1G,NME2,GAS5	senescence_paracrine_MSP_like	msp_like_primary_caution_normal_skew	primary_k	0	20.014534915358997
14	9	0.4029321877586527	2.630622610055023	0.0	1.7202585104583135	10.078707214994514	0.0	1.4721205999412117	0.6797377023445434	0.0	0.0	0.0	12.635985960143572	0.0566066472762576	0.0025276421267954	0.3061130197767323	MenNorm5	0.3449363485263837	normal	0.8059548931928247	14	0.025949603093592347	0.07942711217616714	0.0	0.01518323475	-0.0534775090825748	0.07059138740229137	MenNorm5	0.2751892936948175	0.8743303614517992	145275256.12035054	VEGFA,HSPA5,TNFRSF12A,MIF,SDF2L1,ANGPTL4,IL11,BMP2,RPS17,RPL17,SERPINA3,SLC2A1,FGF2,BNIP3,EGLN3,EIF4EBP1,INHBA,BHLHE40,PTGS2,RFLNB	angiogenic_paracrine	msp_like_primary_caution_normal_skew	primary_k	0	12.606244411918533
26	7	5.492652313930709	15.524227298058277	0.3617391140906241	0.0	2.562345321246125	0.0	4.466354042280349	0.0	0.0	0.0	0.0	21.58063947879018	0.0517251057901819	0.0227845390420552	0.1994090473250893	MenNorm5	0.1323289285371605	normal	0.6304496066821403	14	0.046444448501326306	0.056469550257415686	0.013492373	0.02965972	-0.01002510175608938	0.024668746097932483	MenNorm5	0.095731999701904	0.8044824501433266	141307402.02858678	GEM,CDKN1A,MAT2A,KDM6B,PPP1R15A,ABL2,HMOX1,IRF1,IER3,MYC,NFKBIA,SOCS3,NR4A3,NFKBIZ,ATF3,ARID5B,NR4A2,NR4A1,KCNQ1OT1,EGR1	senescence_inflammatory	msp_like_sensitivity_caution_normal_skew	sensitivity_k	1	21.315981621715856
24	7	5.142652313930708	15.524227298058277	0.3617391140906241	0.0	2.562345321246125	0.0	4.466354042280349	0.0	0.0	0.0	0.0	21.17813947879018	0.0535083097223977	0.0244118199712829	0.2057145134656065	MenNorm5	0.1317198696450123	normal	0.6258492734265313	14	0.04810411706374641	0.05778976471018553	0.0155778645	0.0305537765	-0.009685647646439116	0.02580697031815649	MenNorm5	0.0978385126884085	0.8082851920362498	141902612.2608617	GEM,CDKN1A,ABL2,MAT2A,PPP1R15A,KDM6B,HMOX1,IRF1,IER3,NFKBIA,MYC,SOCS3,NFKBIZ,NR4A3,ARID5B,ATF3,NR4A2,NR4A1,EGR1,KCNQ1OT1	senescence_inflammatory	msp_like_sensitivity_caution_normal_skew	sensitivity_k	1	20.914699739500154
24	17	0.4029321877586527	3.497582099799766	0.9750012716347	2.1980882536391944	9.028707214994515	0.0	0.7762558389660554	0.0	0.0	0.0	0.0	14.041981225839107	0.019583045690906	0.0	0.101426186345186	MenNorm5	0.2723786922654602	normal	0.6297444681148917	14	0.017163769357032645	0.021606811582580016	0.0	0.0	-0.00444304222554737	0.016936931987690442	MenNorm5	0.074332707139203	0.8082851920362498	141902612.2608617	IL11,INHBA,FGF2,FGF1,PTGS2,WNT16,TNFRSF12A,KRT16,MSMO1,HSPA5,BMP2,ABI3BP,INSIG1,DGKI,KRT17,FHL2,LIF,DSP,TNFRSF11B,ADPRHL1	angiogenic_paracrine	msp_like_sensitivity_caution_normal_skew	sensitivity_k	1	13.497223841308188
26	19	0.4029321877586527	3.497582099799766	0.3617391140906241	2.1980882536391944	9.028707214994515	0.0	0.7762558389660554	0.0	0.0	0.0	0.0	13.58203460768105	0.0168874463275979	0.0	0.0915213192805671	MenNorm5	0.2736584284320138	normal	0.6051037892099235	14	0.015850072324208635	0.017899700168612934	0.0	0.0	-0.0020496278444042983	0.015028690816072688	MenNorm5	0.0649116290587325	0.8044824501433266	141307402.02858678	IL11,INHBA,FGF2,FGF1,PTGS2,WNT16,TNFRSF12A,KRT16,MSMO1,HSPA5,BMP2,INSIG1,DGKI,KRT17,LIF,TNFRSF11B,FHL2,ABI3BP,ADPRHL1,DSP	angiogenic_paracrine	msp_like_sensitivity_caution_normal_skew	sensitivity_k	1	13.034717750817023
26	2	0.4029321877586527	2.280622610055023	0.7117391140906241	0.0	4.961071779068464	0.0	7.3256773979734415	0.45176272825891506	0.45176272825891506	0.0	0.0	6.160168320966636	0.1006406258368684	0.0212301190215261	0.5021409024594329	MenNorm1AVAS	0.246260878659887	normal	0.8242754774969047	14	0.03919625507329875	0.14057597026624277	0.0040202964	0.0477335165	-0.10137971519294403	0.10890698095358542	MenNorm1AVAS	0.36152027149761	0.8044824501433266	141307402.02858678	MT2A,MT1E,MT1M,MT1X,CHI3L1,LOX,AC008592.5,MT1G,DDIT4,SOD2,SLC25A37,EGLN3,GLRX,CDA,ANGPTL4,BNIP3,GPX3,EFNA1,TMEM204,MT1F	other_fibrochondrocyte_program	msp_like_sensitivity_caution_normal_skew	sensitivity_k	1	5.441765199517405
22	9	5.142652313930708	15.524227298058277	0.0	0.0	3.7000736594675754	0.0	4.466354042280349	0.0	0.0	0.0	0.0	22.101449898354733	0.0534616727690116	0.0231689173992	0.2081284827871175	MenNorm5	0.1335082596714354	normal	0.6247259177294092	14	0.04828500205584695	0.057776102393146095	0.0145985925	0.029409151	-0.009491100337299142	0.027732061661353363	MenOA5	0.10112824158144301	0.7807298872207149	142485302.25937766	GEM,CDKN1A,ABL2,MAT2A,HMOX1,PPP1R15A,KDM6B,IER3,NFKBIA,IRF1,MYC,NR4A3,NFKBIZ,SOCS3,ARID5B,NR4A2,IL6,ATF3,NR4A1,KCNQ1OT1	senescence_inflammatory	msp_like_other_k_caution_normal_skew	context_k	2	21.834433379011863
16	9	5.142652313930708	15.524227298058277	0.0	0.0	3.3500736594675753	0.0	4.466354042280349	0.0	0.0	0.0	0.0	21.733949898354734	0.0558264141868345	0.0257727807041706	0.2127390523956746	MenOA5	0.1342350715656522	normal	0.6198970420642778	14	0.05102473269941364	0.059899681716884645	0.0177563895	0.0312004305	-0.008874949017471004	0.028406787503735237	MenOA5	0.10515273520570875	0.7744621952155285	144698308.23126858	GEM,CDKN1A,PPP1R15A,ABL2,MAT2A,HMOX1,KDM6B,NFKBIA,IRF1,IER3,MYC,SOCS3,NR4A3,NFKBIZ,ATF3,NR4A2,ARID5B,IL6,KCNQ1OT1,NR4A1	senescence_inflammatory	msp_like_other_k_caution_normal_skew	context_k	2	21.46547975522343
