k	program	signature	category	signature_genes_in_background	top_n	overlap_n	overlap_top50_n	overlap_genes	overlap_top50_genes	p_value	neg_log10_p
5	1	senescence_core	senescence	15	100	2	2	BTG2,GADD45B	BTG2,GADD45B	0.08528558800432069	1.0691243519392781
5	1	sasp_inflammatory	sasp	20	100	1	1	SOCS3	SOCS3	0.4890811644551101	0.31061906245110604
5	1	ecm_degradation	ecm_remodeling	17	100	2	1	LOX,MMP3	MMP3	0.10592506236370273	0.9750012716347
5	1	fibrocartilage_matrix	fibrocartilage	16	100	5	4	CHAD,COMP,DCN,FRZB,PRELP	COMP,DCN,FRZB,PRELP	0.000114458395702531	3.941352345640813
5	1	angiogenesis_hypoxia	communication	9	100	1	0	ADM		0.26039353388855496	0.5843698044025643
5	1	paracrine_communication	communication	12	100	0	0			1.0	-0.0
5	1	progenitor_interface	progenitor_interface	8	100	0	0			1.0	-0.0
5	1	generic_stress	generic_stress	14	100	8	8	DDIT4,FOS,JUN,MT1E,MT1M,MT1X,MT2A,TXNIP	DDIT4,FOS,JUN,MT1E,MT1M,MT1X,MT2A,TXNIP	2.6595794396900385e-09	8.57518703309156
5	1	immune_contamination	contamination	13	100	1	0	CD14		0.3533761800303181	0.45176272825891506
5	1	mural_contamination	contamination	10	100	0	0			1.0	-0.0
5	1	endothelial_contamination	contamination	7	100	0	0			1.0	-0.0
5	1	cycling_contamination	contamination	10	100	0	0			1.0	-0.0
5	2	senescence_core	senescence	15	100	3	2	CDKN1A,HMOX1,TNFRSF10D	CDKN1A,TNFRSF10D	0.011805608462311426	1.92791162442478
5	2	sasp_inflammatory	sasp	20	100	3	2	IL11,MIF,PTGS2	MIF,PTGS2	0.02626499908109733	1.5806226100550231
5	2	ecm_degradation	ecm_remodeling	17	100	0	0			1.0	-0.0
5	2	fibrocartilage_matrix	fibrocartilage	16	100	8	2	ACAN,CHAD,CILP,CILP2,COL11A1,COL2A1,PRELP,SOX9	CILP,SOX9	1.0791457984181856e-08	7.96691987582599
5	2	angiogenesis_hypoxia	communication	9	100	6	5	ANGPTL4,BNIP3,HMOX1,MIF,SLC2A1,VEGFA	ANGPTL4,BNIP3,MIF,SLC2A1,VEGFA	8.50051833556952e-08	7.070554591531095
5	2	paracrine_communication	communication	12	100	9	7	ANGPTL4,BMP2,CCN1,CCN2,IL11,INHBA,MIF,TNFRSF12A,VEGFA	ANGPTL4,BMP2,CCN1,INHBA,MIF,TNFRSF12A,VEGFA	6.420909104620564e-12	11.192403477979648
5	2	progenitor_interface	progenitor_interface	8	100	0	0			1.0	-0.0
5	2	generic_stress	generic_stress	14	100	3	1	HMOX1,HSPA5,PPP1R15A	HSPA5	0.009672696775446087	2.014452426494684
5	2	immune_contamination	contamination	13	100	0	0			1.0	-0.0
5	2	mural_contamination	contamination	10	100	0	0			1.0	-0.0
5	2	endothelial_contamination	contamination	7	100	0	0			1.0	-0.0
5	2	cycling_contamination	contamination	10	100	0	0			1.0	-0.0
5	3	senescence_core	senescence	15	100	0	0			1.0	-0.0
5	3	sasp_inflammatory	sasp	20	100	0	0			1.0	-0.0
5	3	ecm_degradation	ecm_remodeling	17	100	1	1	MMP2	MMP2	0.43477131809319347	0.3617391140906241
5	3	fibrocartilage_matrix	fibrocartilage	16	100	0	0			1.0	-0.0
5	3	angiogenesis_hypoxia	communication	9	100	1	1	CXCL12	CXCL12	0.26039353388855496	0.5843698044025643
5	3	paracrine_communication	communication	12	100	1	1	CXCL12	CXCL12	0.3312769380627967	0.4798087965982188
5	3	progenitor_interface	progenitor_interface	8	100	1	0	THY1		0.23515099238304482	0.6286531841066286
5	3	generic_stress	generic_stress	14	100	2	0	JUN,PPP1R15A		0.07548825739871948	1.1221205999412116
5	3	immune_contamination	contamination	13	100	0	0			1.0	-0.0
5	3	mural_contamination	contamination	10	100	0	0			1.0	-0.0
5	3	endothelial_contamination	contamination	7	100	0	0			1.0	-0.0
5	3	cycling_contamination	contamination	10	100	0	0			1.0	-0.0
5	4	senescence_core	senescence	15	100	2	1	IGFBP7,SERPINE1	IGFBP7	0.08528558800432069	1.0691243519392781
5	4	sasp_inflammatory	sasp	20	100	2	0	SERPINE1,TNFAIP6		0.1390168715158232	0.8569324892309466
5	4	ecm_degradation	ecm_remodeling	17	100	8	6	COL1A1,COL1A2,COL3A1,FN1,HTRA1,POSTN,TGFBI,TIMP1	COL1A1,COL1A2,COL3A1,FN1,HTRA1,TGFBI	1.9833970261193334e-08	7.702590342277829
5	4	fibrocartilage_matrix	fibrocartilage	16	100	5	2	CILP2,COL11A1,COL2A1,FMOD,SCRG1	FMOD,SCRG1	0.000114458395702531	3.941352345640813
5	4	angiogenesis_hypoxia	communication	9	100	1	1	ANGPTL2	ANGPTL2	0.26039353388855496	0.5843698044025643
5	4	paracrine_communication	communication	12	100	0	0			1.0	-0.0
5	4	progenitor_interface	progenitor_interface	8	100	1	0	THY1		0.23515099238304482	0.6286531841066286
5	4	generic_stress	generic_stress	14	100	0	0			1.0	-0.0
5	4	immune_contamination	contamination	13	100	0	0			1.0	-0.0
5	4	mural_contamination	contamination	10	100	0	0			1.0	-0.0
5	4	endothelial_contamination	contamination	7	100	0	0			1.0	-0.0
5	4	cycling_contamination	contamination	10	100	0	0			1.0	-0.0
5	5	senescence_core	senescence	15	100	0	0			1.0	-0.0
5	5	sasp_inflammatory	sasp	20	100	1	0	CXCL1		0.4890811644551101	0.31061906245110604
5	5	ecm_degradation	ecm_remodeling	17	100	3	2	FN1,HTRA1,TIMP3	HTRA1,TIMP3	0.016822689959406997	1.7741045590065203
5	5	fibrocartilage_matrix	fibrocartilage	16	100	0	0			1.0	-0.0
5	5	angiogenesis_hypoxia	communication	9	100	0	0			1.0	-0.0
5	5	paracrine_communication	communication	12	100	1	1	HBEGF	HBEGF	0.3312769380627967	0.4798087965982188
5	5	progenitor_interface	progenitor_interface	8	100	5	5	HBEGF,ITGBL1,PRG4,SPARCL1,TIMP3	HBEGF,ITGBL1,PRG4,SPARCL1,TIMP3	1.8119298257958483e-06	5.7418586261182485
5	5	generic_stress	generic_stress	14	100	0	0			1.0	-0.0
5	5	immune_contamination	contamination	13	100	0	0			1.0	-0.0
5	5	mural_contamination	contamination	10	100	0	0			1.0	-0.0
5	5	endothelial_contamination	contamination	7	100	0	0			1.0	-0.0
5	5	cycling_contamination	contamination	10	100	0	0			1.0	-0.0
6	1	senescence_core	senescence	15	100	2	2	BTG2,GADD45B	BTG2,GADD45B	0.08528558800432069	1.0691243519392781
6	1	sasp_inflammatory	sasp	20	100	1	1	SOCS3	SOCS3	0.4890811644551101	0.31061906245110604
6	1	ecm_degradation	ecm_remodeling	17	100	2	1	LOX,MMP3	MMP3	0.10592506236370273	0.9750012716347
6	1	fibrocartilage_matrix	fibrocartilage	16	100	4	1	COMP,DCN,FRZB,PRELP	FRZB	0.0014832472387454557	2.8287864514845102
6	1	angiogenesis_hypoxia	communication	9	100	1	0	ADM		0.26039353388855496	0.5843698044025643
6	1	paracrine_communication	communication	12	100	0	0			1.0	-0.0
6	1	progenitor_interface	progenitor_interface	8	100	0	0			1.0	-0.0
6	1	generic_stress	generic_stress	14	100	8	8	DDIT4,FOS,JUN,MT1E,MT1M,MT1X,MT2A,TXNIP	DDIT4,FOS,JUN,MT1E,MT1M,MT1X,MT2A,TXNIP	2.6595794396900385e-09	8.57518703309156
6	1	immune_contamination	contamination	13	100	1	0	CD14		0.3533761800303181	0.45176272825891506
6	1	mural_contamination	contamination	10	100	0	0			1.0	-0.0
6	1	endothelial_contamination	contamination	7	100	0	0			1.0	-0.0
6	1	cycling_contamination	contamination	10	100	0	0			1.0	-0.0
6	2	senescence_core	senescence	15	100	0	0			1.0	-0.0
6	2	sasp_inflammatory	sasp	20	100	1	1	TNFAIP6	TNFAIP6	0.4890811644551101	0.31061906245110604
6	2	ecm_degradation	ecm_remodeling	17	100	4	2	COL3A1,FN1,HTRA1,TIMP1	FN1,HTRA1	0.0018910338451440306	2.7233006982159047
6	2	fibrocartilage_matrix	fibrocartilage	16	100	13	12	ACAN,CILP,CILP2,COL11A1,COL2A1,COL9A2,COL9A3,COMP,DCN,FMOD,MGP,PRELP,SCRG1	CILP,CILP2,COL11A1,COL2A1,COL9A2,COL9A3,COMP,DCN,FMOD,MGP,PRELP,SCRG1	1.2491711750116472e-17	16.90337804579776
6	2	angiogenesis_hypoxia	communication	9	100	1	0	ANGPTL2		0.26039353388855496	0.5843698044025643
6	2	paracrine_communication	communication	12	100	0	0			1.0	-0.0
6	2	progenitor_interface	progenitor_interface	8	100	1	0	GDF5		0.23515099238304482	0.6286531841066286
6	2	generic_stress	generic_stress	14	100	0	0			1.0	-0.0
6	2	immune_contamination	contamination	13	100	0	0			1.0	-0.0
6	2	mural_contamination	contamination	10	100	0	0			1.0	-0.0
6	2	endothelial_contamination	contamination	7	100	0	0			1.0	-0.0
6	2	cycling_contamination	contamination	10	100	0	0			1.0	-0.0
6	3	senescence_core	senescence	15	100	0	0			1.0	-0.0
6	3	sasp_inflammatory	sasp	20	100	0	0			1.0	-0.0
6	3	ecm_degradation	ecm_remodeling	17	100	1	1	MMP2	MMP2	0.43477131809319347	0.3617391140906241
6	3	fibrocartilage_matrix	fibrocartilage	16	100	0	0			1.0	-0.0
6	3	angiogenesis_hypoxia	communication	9	100	1	1	CXCL12	CXCL12	0.26039353388855496	0.5843698044025643
6	3	paracrine_communication	communication	12	100	1	1	CXCL12	CXCL12	0.3312769380627967	0.4798087965982188
6	3	progenitor_interface	progenitor_interface	8	100	0	0			1.0	-0.0
6	3	generic_stress	generic_stress	14	100	1	0	JUN		0.37475217407890277	0.42625583896605546
6	3	immune_contamination	contamination	13	100	0	0			1.0	-0.0
6	3	mural_contamination	contamination	10	100	0	0			1.0	-0.0
6	3	endothelial_contamination	contamination	7	100	0	0			1.0	-0.0
6	3	cycling_contamination	contamination	10	100	0	0			1.0	-0.0
6	4	senescence_core	senescence	15	100	3	3	CDKN1A,HMOX1,TNFRSF10D	CDKN1A,HMOX1,TNFRSF10D	0.011805608462311426	1.92791162442478
