fibro_leiden	n_cells	n_samples	dominant_sample	dominant_sample_fraction	sample_entropy	oa_cells	normal_cells	oa_fraction	normal_fraction	dominance_flag	disease_skew_flag	small_cluster_flag
0	6401	8	MenNorm1AVAS	0.6991095141384158	0.23842247218302076	3	6398	0.00046867676925480396	0.9995313232307452	True	True	False
1	6571	6	MenNorm1VAS	0.6102571906863491	0.2610451664902568	1	6570	0.00015218383807639628	0.9998478161619236	True	True	False
2	2348	6	MenNorm7	0.9885008517887564	0.029094849912904203	2	2346	0.0008517887563884157	0.9991482112436116	True	True	False
3	3157	6	MenNorm1VAS	0.6338295850490973	0.25854438137540037	1	3156	0.0003167564143173899	0.9996832435856826	True	True	False
4	6224	11	MenNorm4	0.985379177377892	0.03784697994973506	5	6219	0.0008033419023136247	0.9991966580976864	True	True	False
5	2505	8	MenNorm4	0.9836327345309381	0.041007709292532994	1	2504	0.0003992015968063872	0.9996007984031936	True	True	False
6	3222	11	MenNorm7	0.9714463066418374	0.06773505871322193	28	3194	0.008690254500310366	0.9913097454996896	True	True	False
7	4397	8	MenNorm6	0.4887423243120309	0.4702185262203704	1772	2625	0.4030020468501251	0.5969979531498749	False	False	False
8	4886	14	MenOA4	0.34445354072861234	0.7144263403502132	4000	886	0.8186655751125665	0.18133442488743348	False	False	False
9	475	4	MenOA4	0.9747368421052631	0.05384969361796835	475	0	1.0	0.0	True	True	True
10	6542	11	MenOA5	0.5739834912870682	0.3104382558613628	6385	157	0.9760012228676246	0.023998777132375422	False	True	False
11	2843	11	MenNorm6	0.5075624340485403	0.37548658292693105	1245	1598	0.4379176925782624	0.5620823074217376	False	False	False
12	6995	13	MenNorm3	0.8042887776983559	0.2620921166100816	331	6664	0.04731951393852752	0.9526804860614725	True	True	False
13	5098	12	MenNorm2	0.9391918399372303	0.12588195701522414	157	4941	0.03079639074146724	0.9692036092585328	True	True	False
14	5620	11	MenNorm5	0.6300711743772242	0.2805902112223797	41	5579	0.007295373665480427	0.9927046263345196	True	True	False
15	2127	11	MenOA2	0.3229901269393512	0.6056378414228867	1881	246	0.8843441466854725	0.1156558533145275	False	False	False
16	7757	10	MenOA4	0.7942503545184995	0.28565805701574465	7724	33	0.9957457780069614	0.004254221993038546	True	True	False
17	3925	10	MenOA1	0.4519745222929936	0.5242253594006302	3888	37	0.9905732484076433	0.009426751592356689	False	True	False
18	7759	8	MenOA1	0.48034540533573916	0.41577325875289506	7745	14	0.9981956437685269	0.001804356231473128	False	True	False
