fibro_leiden	program_gene_rank	gene	present	score	logfoldchanges	pvals_adj
0	1	CIRBP	True	106.31879	1.9456387	0.0
0	2	GPX3	True	103.16963	3.1484494	0.0
0	3	CCNI	True	100.73149	1.7718931	0.0
0	4	EEF1A1	True	96.90366	1.0459592	0.0
0	5	MT1X	True	96.853	2.9680872	0.0
0	6	DDIT4	True	87.923485	2.9348383	0.0
0	7	MT2A	True	87.2989	2.5696795	0.0
0	8	MT1E	True	87.08765	2.9444911	0.0
0	9	ASS1	True	83.688774	2.492253	0.0
0	10	SLC39A14	True	83.49547	2.0957696	0.0
0	11	CCNB1IP1	True	82.97351	2.4509087	0.0
0	12	CHI3L1	True	82.00412	3.838685	0.0
0	13	MT1M	True	79.59947	2.756008	0.0
0	14	SNHG12	True	77.73822	2.3005188	0.0
0	15	LOX	True	76.588524	2.9873507	0.0
0	16	PHC2	True	74.756195	2.6260772	0.0
0	17	GALNT15	True	69.384	2.1890664	0.0
0	18	PGK1	True	68.596596	1.5824839	0.0
0	19	LDHA	True	68.56212	1.2420582	0.0
0	20	EPB41L4A-AS1	True	67.74889	1.6636112	0.0
0	21	EEF2	True	66.37437	1.2102327	0.0
0	22	RSL24D1	True	66.188126	1.4316508	0.0
0	23	EGLN3	True	66.129196	2.338969	0.0
0	24	SMIM3	True	65.603645	2.05457	0.0
0	25	GLRX	True	65.18596	2.305688	0.0
0	26	NRN1	True	64.954575	1.9154019	0.0
0	27	YBX3	True	63.468864	1.2049009	0.0
0	28	RPS26	True	63.092823	1.2045385	0.0
0	29	BTF3	True	63.08245	0.982409	0.0
0	30	GAPDH	True	62.869118	1.2407916	0.0
1	1	GPX3	True	131.82535	3.6659293	0.0
1	2	SUN2	True	96.28995	2.5662866	0.0
1	3	PABPC1	True	87.41045	1.7869269	0.0
1	4	DCXR	True	85.83969	2.4913902	0.0
1	5	GALNT15	True	84.7659	2.4853063	0.0
1	6	SERPING1	True	82.30987	1.9044784	0.0
1	7	PLPP3	True	81.02438	2.5438025	0.0
1	8	RHOB	True	78.794945	1.9225754	0.0
1	9	CIRBP	True	78.45424	1.4961357	0.0
1	10	CCNI	True	74.66034	1.3662325	0.0
1	11	EEF1A1	True	73.42499	0.8256211	0.0
1	12	CEBPD	True	71.7497	1.6983765	0.0
1	13	GLUL	True	71.4329	2.389381	0.0
1	14	FBLN1	True	71.41355	2.1056762	0.0
1	15	TSC22D3	True	70.95113	2.1061833	0.0
1	16	CYBRD1	True	70.767395	1.6883457	0.0
1	17	EEF2	True	69.16283	1.2787546	0.0
1	18	CNBP	True	68.17005	1.2438891	0.0
1	19	MT1X	True	67.9761	2.1354702	0.0
1	20	VIM	True	67.0684	0.96096236	0.0
1	21	LDHB	True	66.75715	1.7904742	0.0
1	22	BTF3	True	65.03302	1.0135418	0.0
1	23	KLF15	True	64.75251	3.222423	0.0
1	24	DDIT4	True	64.58411	2.261846	0.0
1	25	GPM6B	True	62.943615	2.8370473	0.0
1	26	SNHG7	True	62.833496	1.6147956	0.0
1	27	CYP4B1	True	61.694992	4.389399	0.0
1	28	TXNIP	True	60.01381	1.7170118	0.0
1	29	ASS1	True	59.434483	2.0415106	0.0
1	30	RPS26	True	57.73688	1.1075902	0.0
10	1	CCN2	True	166.41779	5.886152	0.0
10	2	RPL17	True	123.7654	3.5871391	0.0
10	3	EEF1G	True	123.1805	3.5668216	0.0
10	4	NME2	True	112.75585	3.3976302	0.0
10	5	ECRG4	True	103.53255	4.0940876	0.0
10	6	CRIP1	True	102.19811	3.2822886	0.0
10	7	SNHG29	True	99.7875	3.254218	0.0
10	8	GABARAP	True	97.74605	2.919633	0.0
10	9	RPS17	True	95.82858	2.7098885	0.0
10	10	RNASEK	True	90.11211	2.7862659	0.0
10	11	SNHG5	True	89.296234	3.0054193	0.0
10	12	MIF	True	87.72996	2.1179378	0.0
10	13	SEPTIN7	True	86.43329	2.9066162	0.0
10	14	AOPEP	True	84.793724	3.3735025	0.0
10	15	LINC00632	True	83.31064	2.915072	0.0
10	16	SNHG6	True	80.981735	2.8043842	0.0
10	17	CCN1	True	79.123886	3.3251095	0.0
10	18	MICOS10	True	78.23612	2.843137	0.0
10	19	CILP	True	77.65736	2.6564314	0.0
10	20	GAS5	True	73.45729	2.6670215	0.0
10	21	LUM	True	71.780396	1.9766848	0.0
10	22	OGN	True	69.4594	2.5147378	0.0
10	23	RPL36A	True	69.30569	1.7497126	0.0
10	24	ASPN	True	67.85873	2.517171	0.0
10	25	CDK2AP1	True	66.98423	2.8069384	0.0
10	26	FMOD	True	66.6358	1.8100154	0.0
10	27	TOMM6	True	65.80038	2.6025145	0.0
10	28	ATP6V0C	True	64.082405	2.424961	0.0
10	29	MAGI2-AS3	True	61.68585	2.4813445	0.0
10	30	CIAO2B	True	58.093853	2.409414	0.0
11	1	PRG4	True	106.72258	6.4416175	0.0
11	2	SPARCL1	True	94.49537	4.6165934	0.0
11	3	ITGBL1	True	82.74952	4.2500668	0.0
11	4	CRIP1	True	80.84154	3.7514532	0.0
11	5	ITGB8	True	76.24343	4.246215	0.0
11	6	CFI	True	74.73932	3.969999	0.0
11	7	TIMP3	True	73.94594	3.4912856	0.0
11	8	MICOS10	True	72.28635	3.3712518	0.0
11	9	TMEM196	True	71.725815	4.8083544	0.0
11	10	ZNF385B	True	70.28274	4.249269	0.0
11	11	AK1	True	70.12674	3.1327856	0.0
11	12	ECRG4	True	68.64725	3.8483248	0.0
