fibro_leiden	n_cells	n_samples_present	n_oa_samples_present	n_normal_samples_present	dominant_sample	dominant_sample_fraction	sample_entropy	oa_cells	normal_cells	oa_fraction	normal_fraction	median_program_score_present	max_program_score_z	sample_specific_flag	disease_skew_flag	recurrent_flag	recurrent_balanced_flag	candidate_status
0	6401	2	0	2	MenNorm1AVAS	0.6991095141384158	0.23842247218302076	3	6398	0.00046867676925480396	0.9995313232307452	7.536382783676997	1.2723620784229723	True	True	False	False	sample_specific_exclude
1	6571	2	0	2	MenNorm1VAS	0.6102571906863491	0.2610451664902568	1	6570	0.00015218383807639628	0.9998478161619236	7.155510236621346	1.48213938943131	True	True	False	False	sample_specific_exclude
2	2348	1	0	1	MenNorm7	0.9885008517887564	0.029094849912904203	2	2346	0.0008517887563884157	0.9991482112436116	6.331952973678162	1.785436754665558	True	True	False	False	sample_specific_exclude
3	3157	2	0	2	MenNorm1VAS	0.6338295850490973	0.25854438137540037	1	3156	0.0003167564143173899	0.9996832435856826	7.162679057411834	1.6063312971005752	True	True	False	False	sample_specific_exclude
4	6224	1	0	1	MenNorm4	0.985379177377892	0.03784697994973506	5	6219	0.0008033419023136247	0.9991966580976864	8.278793913067904	1.0109652046618915	True	True	False	False	sample_specific_exclude
5	2505	1	0	1	MenNorm4	0.9836327345309381	0.041007709292532994	1	2504	0.0003992015968063872	0.9996007984031936	7.539346657339004	1.1945440008282069	True	True	False	False	sample_specific_exclude
6	3222	1	0	1	MenNorm7	0.9714463066418374	0.06773505871322193	28	3194	0.008690254500310366	0.9913097454996896	6.429919450813211	1.4523042882320927	True	True	False	False	sample_specific_exclude
7	4397	4	2	2	MenNorm6	0.4887423243120309	0.4702185262203704	1772	2625	0.4030020468501251	0.5969979531498749	6.474702202017166	1.304772158014381	False	False	True	True	recurrent_balanced_candidate
8	4886	8	6	2	MenOA4	0.34445354072861234	0.7144263403502132	4000	886	0.8186655751125665	0.18133442488743348	6.938756508788061	1.1399275130320528	False	False	True	True	recurrent_balanced_candidate
9	475	1	1	0	MenOA4	0.9747368421052631	0.05384969361796835	475	0	1.0	0.0	7.326605980295975	1.8150589222234064	True	True	False	False	sample_specific_exclude
10	6542	3	2	1	MenOA5	0.5739834912870682	0.3104382558613628	6385	157	0.9760012228676246	0.023998777132375422	6.585911567468698	1.3957926695275231	False	True	False	False	low_recurrence_exclude
11	2843	3	1	2	MenNorm6	0.5075624340485403	0.37548658292693105	1245	1598	0.4379176925782624	0.5620823074217376	6.806368493483799	1.1462906321452635	False	False	False	False	low_recurrence_exclude
12	6995	4	2	2	MenNorm3	0.8042887776983559	0.2620921166100816	331	6664	0.04731951393852752	0.9526804860614725	6.859807580950076	0.7182330313177265	True	True	False	False	sample_specific_exclude
13	5098	4	2	2	MenNorm2	0.9391918399372303	0.12588195701522414	157	4941	0.03079639074146724	0.9692036092585328	6.253933810657195	0.9171162811011633	True	True	False	False	sample_specific_exclude
14	5620	2	0	2	MenNorm5	0.6300711743772242	0.2805902112223797	41	5579	0.007295373665480427	0.9927046263345196	6.302729377371371	1.3997481954020348	True	True	False	False	sample_specific_exclude
15	2127	6	4	2	MenOA2	0.3229901269393512	0.6056378414228867	1881	246	0.8843441466854725	0.1156558533145275	7.0283781718000835	0.8112016916872277	False	False	True	True	recurrent_balanced_candidate
16	7757	4	4	0	MenOA4	0.7942503545184995	0.28565805701574465	7724	33	0.9957457780069614	0.004254221993038546	7.003885460405658	1.1169006872830918	True	True	False	False	sample_specific_exclude
17	3925	5	5	0	MenOA1	0.4519745222929936	0.5242253594006302	3888	37	0.9905732484076433	0.009426751592356689	7.1989823314089465	0.7962324020009187	False	True	True	False	recurrent_disease_skew_caution
18	7759	4	4	0	MenOA1	0.48034540533573916	0.41577325875289506	7745	14	0.9981956437685269	0.001804356231473128	7.084720458254742	1.0629614860326153	False	True	True	False	recurrent_disease_skew_caution
