fibro_leiden	sample_label	n_cells	disease_status	cluster_fraction	sample_fraction
0	MenNorm1AVAS	4475	normal	0.6991095141384158	0.5457982680814734
0	MenNorm1VAS	1911	normal	0.2985471020153101	0.23944367873700037
0	MenNorm2	1	normal	0.0001562255897516013	0.0001539408866995074
0	MenNorm3	4	normal	0.0006249023590064052	0.0006459948320413437
0	MenNorm4	3	normal	0.00046867676925480396	0.0003473830477072719
0	MenNorm5	0	normal	0.0	0.0
0	MenNorm6	0	normal	0.0	0.0
0	MenNorm7	4	normal	0.0006249023590064052	0.0007190364911019234
0	MenOA1	0	OA	0.0	0.0
0	MenOA2	0	OA	0.0	0.0
0	MenOA3	1	OA	0.0001562255897516013	0.00034698126301179735
0	MenOA4	2	OA	0.0003124511795032026	0.00020032051282051281
0	MenOA5	0	OA	0.0	0.0
0	MenOA6	0	OA	0.0	0.0
1	MenNorm1AVAS	2542	normal	0.3868513163901994	0.3100378094889621
1	MenNorm1VAS	4010	normal	0.6102571906863491	0.5024433028442551
1	MenNorm2	0	normal	0.0	0.0
1	MenNorm3	2	normal	0.00030436767615279255	0.00032299741602067185
1	MenNorm4	7	normal	0.001065286866534774	0.000810560444650301
1	MenNorm5	0	normal	0.0	0.0
1	MenNorm6	0	normal	0.0	0.0
1	MenNorm7	9	normal	0.0013696545426875666	0.0016178321049793278
1	MenOA1	0	OA	0.0	0.0
1	MenOA2	0	OA	0.0	0.0
1	MenOA3	0	OA	0.0	0.0
1	MenOA4	0	OA	0.0	0.0
1	MenOA5	0	OA	0.0	0.0
1	MenOA6	1	OA	0.00015218383807639628	0.00019249278152069297
2	MenNorm1AVAS	7	normal	0.002981260647359455	0.0008537626539821929
2	MenNorm1VAS	0	normal	0.0	0.0
2	MenNorm2	0	normal	0.0	0.0
2	MenNorm3	0	normal	0.0	0.0
2	MenNorm4	0	normal	0.0	0.0
2	MenNorm5	4	normal	0.0017035775127768314	0.0009130335539831089
2	MenNorm6	14	normal	0.00596252129471891	0.0024479804161566705
2	MenNorm7	2321	normal	0.9885008517887564	0.4172209239618911
2	MenOA1	0	OA	0.0	0.0
2	MenOA2	1	OA	0.00042589437819420784	0.00018839487565938207
2	MenOA3	0	OA	0.0	0.0
2	MenOA4	0	OA	0.0	0.0
2	MenOA5	0	OA	0.0	0.0
2	MenOA6	1	OA	0.00042589437819420784	0.00019249278152069297
3	MenNorm1AVAS	1144	normal	0.3623693379790941	0.13952921087937553
3	MenNorm1VAS	2001	normal	0.6338295850490973	0.2507204610951009
3	MenNorm2	0	normal	0.0	0.0
3	MenNorm3	6	normal	0.0019005384859043396	0.0009689922480620155
3	MenNorm4	1	normal	0.0003167564143173899	0.0001157943492357573
3	MenNorm5	0	normal	0.0	0.0
3	MenNorm6	0	normal	0.0	0.0
3	MenNorm7	4	normal	0.0012670256572695597	0.0007190364911019234
3	MenOA1	1	OA	0.0003167564143173899	0.00012968486577616392
3	MenOA2	0	OA	0.0	0.0
3	MenOA3	0	OA	0.0	0.0
3	MenOA4	0	OA	0.0	0.0
3	MenOA5	0	OA	0.0	0.0
3	MenOA6	0	OA	0.0	0.0
4	MenNorm1AVAS	20	normal	0.003213367609254499	0.0024393218685205514
4	MenNorm1VAS	27	normal	0.004338046272493574	0.0033830347074301466
4	MenNorm2	1	normal	0.00016066838046272492	0.0001539408866995074
4	MenNorm3	5	normal	0.0008033419023136247	0.0008074935400516795
4	MenNorm4	6133	normal	0.985379177377892	0.7101667438628995
4	MenNorm5	1	normal	0.00016066838046272492	0.00022825838849577722
4	MenNorm6	2	normal	0.00032133676092544985	0.0003497114880223815
4	MenNorm7	30	normal	0.004820051413881748	0.005392773683264426
4	MenOA1	0	OA	0.0	0.0
4	MenOA2	1	OA	0.00016066838046272492	0.00018839487565938207
4	MenOA3	0	OA	0.0	0.0
4	MenOA4	3	OA	0.0004820051413881748	0.00030048076923076925
4	MenOA5	1	OA	0.00016066838046272492	0.00021715526601520088
4	MenOA6	0	OA	0.0	0.0
5	MenNorm1AVAS	5	normal	0.001996007984031936	0.0006098304671301379
5	MenNorm1VAS	13	normal	0.005189620758483034	0.0016288685628367372
5	MenNorm2	2	normal	0.0007984031936127744	0.0003078817733990148
5	MenNorm3	3	normal	0.0011976047904191617	0.00048449612403100775
5	MenNorm4	2464	normal	0.9836327345309381	0.28531727651690597
5	MenNorm5	0	normal	0.0	0.0
5	MenNorm6	1	normal	0.0003992015968063872	0.00017485574401119076
5	MenNorm7	16	normal	0.006387225548902195	0.0028761459644076936
5	MenOA1	0	OA	0.0	0.0
5	MenOA2	0	OA	0.0	0.0
5	MenOA3	0	OA	0.0	0.0
5	MenOA4	0	OA	0.0	0.0
5	MenOA5	1	OA	0.0003992015968063872	0.00021715526601520088
5	MenOA6	0	OA	0.0	0.0
6	MenNorm1AVAS	2	normal	0.0006207324643078833	0.00024393218685205513
6	MenNorm1VAS	4	normal	0.0012414649286157666	0.0005011903270266884
6	MenNorm2	2	normal	0.0006207324643078833	0.0003078817733990148
6	MenNorm3	2	normal	0.0006207324643078833	0.00032299741602067185
6	MenNorm4	11	normal	0.003414028553693358	0.0012737378415933302
6	MenNorm5	39	normal	0.012104283054003724	0.008902077151335312
6	MenNorm6	4	normal	0.0012414649286157666	0.000699422976044763
6	MenNorm7	3130	normal	0.9714463066418374	0.5626460542872551
6	MenOA1	0	OA	0.0	0.0
6	MenOA2	2	OA	0.0006207324643078833	0.00037678975131876413
6	MenOA3	0	OA	0.0	0.0
6	MenOA4	0	OA	0.0	0.0
6	MenOA5	5	OA	0.0015518311607697084	0.0010857763300760044
6	MenOA6	21	OA	0.006517690875232775	0.004042348411934553
7	MenNorm1AVAS	0	normal	0.0	0.0
7	MenNorm1VAS	0	normal	0.0	0.0
7	MenNorm2	0	normal	0.0	0.0
7	MenNorm3	0	normal	0.0	0.0
7	MenNorm4	0	normal	0.0	0.0
7	MenNorm5	467	normal	0.1062087787127587	0.10659666742752796
7	MenNorm6	2149	normal	0.4887423243120309	0.37576499388004897
7	MenNorm7	9	normal	0.0020468501250852852	0.0016178321049793278
7	MenOA1	2	OA	0.00045485558335228563	0.00025936973155232785
7	MenOA2	7	OA	0.0015919945417329998	0.0013187641296156744
7	MenOA3	2	OA	0.00045485558335228563	0.0006939625260235947
7	MenOA4	0	OA	0.0	0.0
7	MenOA5	597	OA	0.13577439163065727	0.12964169381107493
7	MenOA6	1164	OA	0.26472594951103023	0.22406159769008663
8	MenNorm1AVAS	3	normal	0.0006139991813344249	0.00036589828027808267
8	MenNorm1VAS	7	normal	0.0014326647564469914	0.0008770830722967047
8	MenNorm2	463	normal	0.09476054031927958	0.07127463054187193
8	MenNorm3	324	normal	0.0663119115841179	0.05232558139534884
8	MenNorm4	12	normal	0.0024559967253376994	0.0013895321908290875
8	MenNorm5	32	normal	0.006549324600900532	0.007304268431864871
8	MenNorm6	36	normal	0.007367990176013099	0.006294806784402867
8	MenNorm7	9	normal	0.0018419975440032747	0.0016178321049793278
8	MenOA1	964	OA	0.19729840360212852	0.12501621060822202
8	MenOA2	514	OA	0.1051985264019648	0.09683496608892238
8	MenOA3	568	OA	0.11625051166598445	0.1970853573907009
8	MenOA4	1683	OA	0.34445354072861234	0.16856971153846154
8	MenOA5	118	OA	0.024150634465820713	0.025624321389793703
8	MenOA6	153	OA	0.03131395824805567	0.029451395572666024
9	MenNorm1AVAS	0	normal	0.0	0.0
9	MenNorm1VAS	0	normal	0.0	0.0
9	MenNorm2	0	normal	0.0	0.0
9	MenNorm3	0	normal	0.0	0.0
9	MenNorm4	0	normal	0.0	0.0
9	MenNorm5	0	normal	0.0	0.0
9	MenNorm6	0	normal	0.0	0.0
9	MenNorm7	0	normal	0.0	0.0
9	MenOA1	7	OA	0.014736842105263158	0.0009077940604331475
9	MenOA2	2	OA	0.004210526315789474	0.00037678975131876413
9	MenOA3	3	OA	0.00631578947368421	0.001040943789035392
9	MenOA4	463	OA	0.9747368421052631	0.04637419871794872
9	MenOA5	0	OA	0.0	0.0
9	MenOA6	0	OA	0.0	0.0
10	MenNorm1AVAS	0	normal	0.0	0.0
10	MenNorm1VAS	0	normal	0.0	0.0
10	MenNorm2	1	normal	0.0001528584530724549	0.0001539408866995074
10	MenNorm3	2	normal	0.0003057169061449098	0.00032299741602067185
10	MenNorm4	0	normal	0.0	0.0
10	MenNorm5	109	normal	0.016661571384897586	0.024880164346039717
10	MenNorm6	43	normal	0.006572913482115561	0.007518796992481203
10	MenNorm7	2	normal	0.0003057169061449098	0.0003595182455509617
10	MenOA1	5	OA	0.0007642922653622745	0.0006484243288808196
10	MenOA2	6	OA	0.0009171507184347294	0.0011303692539562924
10	MenOA3	14	OA	0.0021400183430143687	0.004857737682165163
10	MenOA4	1	OA	0.0001528584530724549	0.00010016025641025641
10	MenOA5	3755	OA	0.5739834912870682	0.8154180238870793
10	MenOA6	2604	OA	0.3980434118006726	0.5012512030798845
11	MenNorm1AVAS	0	normal	0.0	0.0
11	MenNorm1VAS	0	normal	0.0	0.0
11	MenNorm2	6	normal	0.002110446711220542	0.0009236453201970443
11	MenNorm3	1	normal	0.00035174111853675694	0.00016149870801033592
11	MenNorm4	0	normal	0.0	0.0
11	MenNorm5	140	normal	0.049243756595145974	0.03195617438940881
11	MenNorm6	1443	normal	0.5075624340485403	0.2523168386081483
11	MenNorm7	8	normal	0.0028139289482940555	0.0014380729822038468
11	MenOA1	2	OA	0.0007034822370735139	0.00025936973155232785
11	MenOA2	9	OA	0.0031656700668308124	0.0016955538809344385
11	MenOA3	8	OA	0.0028139289482940555	0.002775850104094379
11	MenOA4	2	OA	0.0007034822370735139	0.00020032051282051281
11	MenOA5	37	OA	0.013014421385860007	0.008034744842562433
11	MenOA6	1187	OA	0.4175167077031305	0.22848893166506257
12	MenNorm1AVAS	0	normal	0.0	0.0
12	MenNorm1VAS	3	normal	0.00042887776983559683	0.0003758927452700163
12	MenNorm2	996	normal	0.14238741958541815	0.15332512315270935
12	MenNorm3	5626	normal	0.8042887776983559	0.9085917312661499
12	MenNorm4	1	normal	0.0001429592566118656	0.0001157943492357573
12	MenNorm5	24	normal	0.0034310221586847747	0.005478201323898653
