k	program	rank	gene
5	1	1	GPX3
5	1	2	MT1X
5	1	3	SUN2
5	1	4	DDIT4
5	1	5	GALNT15
5	1	6	MT1M
5	1	7	MT1E
5	1	8	CYP4B1
5	1	9	GPM6B
5	1	10	RBP4
5	1	11	RIPOR2
5	1	12	SOCS3
5	1	13	TXNIP
5	1	14	ANGPTL7
5	1	15	FAXDC2
5	1	16	MT2A
5	1	17	MMP3
5	1	18	PLPP3
5	1	19	FOS
5	1	20	CDA
5	1	21	JUN
5	1	22	GLUL
5	1	23	FBLN1
5	1	24	BTG2
5	1	25	NEAT1
5	1	26	RASD1
5	1	27	ADCY2
5	1	28	MTHFD2
5	1	29	CITED2
5	1	30	IGFBP6
5	1	31	OXA1L
5	1	32	FKBP5
5	1	33	SLPI
5	1	34	NR1D1
5	1	35	ILF3-DT
5	1	36	GADD45B
5	1	37	CCDC3
5	1	38	SOD2
5	1	39	MUC20-OT1
5	1	40	CHI3L1
5	1	41	TGFBR3
5	1	42	IL6R
5	1	43	MEG3
5	1	44	TSKU
5	1	45	ACADL
5	1	46	MT1A
5	1	47	SAA1
5	1	48	CPAMD8
5	1	49	PCDH17
5	1	50	POU3F1
5	1	51	NR4A1
5	1	52	CTGF
5	1	53	MAOA
5	1	54	SAA2
5	1	55	STC2
5	1	56	DEPP1
5	1	57	ADAMTSL4
5	1	58	DIO3OS
5	1	59	BCL6
5	1	60	C1QTNF7
5	1	61	MYOC
5	1	62	INPP5D
5	1	63	MYC
5	1	64	AR
5	1	65	LINC01088
5	1	66	PIK3R1
5	1	67	MTSS1
5	1	68	ID1
5	1	69	ZNF703
5	1	70	MT1G
5	1	71	ATF3
5	1	72	DLX5
5	1	73	ADM
5	1	74	HIST1H1C
5	1	75	CDKN1A
5	1	76	PHIP
5	1	77	CD14
5	1	78	ATOH8
5	1	79	SLC7A8
5	1	80	DUSP1
5	1	81	ACKR3
5	1	82	AL031777.3
5	1	83	ACTC1
5	1	84	STMN1
5	1	85	ADAMTS5
5	1	86	PDK4
5	1	87	CKB
5	1	88	MT1F
5	1	89	APOD
5	1	90	MT1H
5	1	91	TMEM204
5	1	92	MAP3K5
5	1	93	AHNAK2
5	1	94	DHCR24
5	1	95	AC232271.1
5	1	96	ICAM1
5	1	97	LOX
5	1	98	TFAP2B
5	1	99	SYNE2
5	1	100	MAT2A
5	2	1	MIF
5	2	2	CILP
5	2	3	PAPSS2
5	2	4	VEGFA
5	2	5	FMOD
5	2	6	FGF2
5	2	7	RPL17
5	2	8	TNFRSF12A
5	2	9	RPS17
5	2	10	CLU
5	2	11	SCRG1
5	2	12	EEF1G
5	2	13	COL2A1
5	2	14	NME2
5	2	15	PTGES
5	2	16	INHBA
5	2	17	S100A1
5	2	18	SERPINA1
5	2	19	SNHG29
5	2	20	SBSPON
5	2	21	CHAC1
5	2	22	IL11
5	2	23	BMP2
5	2	24	PRELP
5	2	25	OGN
5	2	26	ECRG4
5	2	27	MIA
5	2	28	TSPAN2
5	2	29	NDUFA4L2
5	2	30	HSPA5
5	2	31	RCAN1
5	2	32	SDF2L1
5	2	33	GAS5
5	2	34	CILP2
5	2	35	STK38L
5	2	36	KRT16
5	2	37	RNASEK
5	2	38	BGN
5	2	39	CLDN4
5	2	40	FN1
5	2	41	ABI3BP
5	2	42	PRDX4
5	2	43	ACAN
5	2	44	ATP1B1
5	2	45	DCN
5	2	46	COL11A1
5	2	47	FGF1
5	2	48	COMP
5	2	49	SOX9
5	2	50	COL9A3
5	2	51	RFLNB
5	2	52	COL15A1
5	2	53	TCEAL2
5	2	54	ANK3
5	2	55	NEBL
5	2	56	GABARAP
5	2	57	HTRA1
5	2	58	TRPV4
5	2	59	SEPTIN7
5	2	60	ADAMTS6
5	2	61	FOXC2
5	2	62	CDON
5	2	63	SLC16A10
5	2	64	AC104794.3
5	2	65	TGM2
5	2	66	SERPINA3
5	2	67	FOSL1
5	2	68	SDK2
5	2	69	PHLDA2
5	2	70	HAPLN1
5	2	71	CA9
5	2	72	SNHG5
5	2	73	MICOS10
5	2	74	KIAA0040
5	2	75	H19
5	2	76	COL11A2
5	2	77	FXYD6
5	2	78	SLC2A1
5	2	79	FBXO2
5	2	80	GLIS3
5	2	81	PTGS2
5	2	82	TIAM2
5	2	83	BNIP3
5	2	84	CDH19
5	2	85	SMOC2
5	2	86	ANGPTL4
5	2	87	CHST3
5	2	88	EGLN3
5	2	89	KDM6B
5	2	90	FGFBP2
5	2	91	TSC22D1
5	2	92	LIF
5	2	93	MSMO1
5	2	94	NFATC2
5	2	95	CHAD
5	2	96	RGCC
5	2	97	SIPA1L2
5	2	98	COL9A2
5	2	99	FLT1
5	2	100	COLGALT2
5	3	1	SERPINF1
5	3	2	EFEMP1
5	3	3	C1R
5	3	4	CXCL12
5	3	5	C1S
5	3	6	COL14A1
5	3	7	SFRP1
5	3	8	AL136987.1
5	3	9	HPGDS
5	3	10	SELENOP
5	3	11	IGFBP4
5	3	12	EPHX1
5	3	13	AHR
5	3	14	BASP1
5	3	15	CYP1B1
5	3	16	PLA2G2A
5	3	17	HLA-DRB1
5	3	18	MMP2
5	3	19	CYBB
5	3	20	PLTP
5	3	21	C7
5	3	22	EBF1
5	3	23	IGF1
5	3	24	LGALS3BP
5	3	25	CFD
5	3	26	CD74
5	3	27	SRPX
5	3	28	GGT5
5	3	29	ZFP36L1
5	3	30	PODN
5	3	31	CALD1
5	3	32	CXCL8
5	3	33	AKR1C1
5	3	34	DCLK1
5	3	35	AKR1C3
5	3	36	TMSB10
5	3	37	CXCL2
5	3	38	MYL9
5	3	39	PDGFRA
5	3	40	PTGFR
5	3	41	CCN5
5	3	42	GEM
5	3	43	KCTD12
5	3	44	KCNE4
5	3	45	MARCKS
5	3	46	PTN
5	3	47	C16orf89
5	3	48	FILIP1L
5	3	49	CCL3
5	3	50	TMEM176B
5	3	51	MT-ND3
5	3	52	OLFML1
5	3	53	SLC5A3
5	3	54	FOLR2
5	3	55	C3
5	3	56	CRISPLD1
5	3	57	HLA-DRA
5	3	58	PLPP1
5	3	59	FCGR2B
5	3	60	ANGPT1
5	3	61	LAMA4
5	3	62	IRX3
5	3	63	VCAN
5	3	64	PTGDS
5	3	65	HELLPAR
5	3	66	OLFML3
5	3	67	HSPH1
5	3	68	FBLN2
5	3	69	HLA-DQA1
5	3	70	ITM2A
5	3	71	LAMB1
5	3	72	MGST1
5	3	73	MT-CO1
5	3	74	SYNPO2
5	3	75	GSN
5	3	76	PPP1R15A
5	3	77	PTGER4
5	3	78	GPNMB
5	3	79	TMEM150C
5	3	80	ARL4C
5	3	81	MFAP4
5	3	82	MT-ATP6
5	3	83	LIMA1
5	3	84	SPOCK1
5	3	85	ANGPTL1
5	3	86	MT-CYB
5	3	87	TWIST1
5	3	88	FYN
5	3	89	ABCC9
5	3	90	ADD3
5	3	91	ENAH
5	3	92	CES1
5	3	93	HLA-DRB5
5	3	94	ZFP36L2
5	3	95	OLFML2B
5	3	96	NFIB
5	3	97	TSHZ2
5	3	98	SAMHD1
5	3	99	TMEM176A
5	3	100	ADAMTS1
5	4	1	COL1A2
5	4	2	COL1A1
5	4	3	SPARC
5	4	4	COL5A2
5	4	5	CCND1
5	4	6	LGALS1
5	4	7	DKK3
5	4	8	ASPN
5	4	9	COL6A1
5	4	10	AQP1
5	4	11	COL6A2
5	4	12	ITGB1
5	4	13	POSTN
5	4	14	TGFBI
5	4	15	MXRA5
5	4	16	C12orf75
5	4	17	LOXL2
5	4	18	COL5A1
5	4	19	COL3A1
5	4	20	DPT
5	4	21	S100A4
5	4	22	COL6A3
5	4	23	FNDC1
5	4	24	FAP
5	4	25	S100A10
5	4	26	TMSB4X
5	4	27	C1QTNF3
5	4	28	COL8A1
5	4	29	TPM1
5	4	30	CRABP2
5	4	31	ISLR
5	4	32	ANXA2
5	4	33	PRSS23
5	4	34	SLN
5	4	35	FSTL1
5	4	36	PPP1R14B
5	4	37	TNC
5	4	38	CD70
5	4	39	CSN1S1
5	4	40	LRRC15
5	4	41	SPON2
5	4	42	MICAL2
5	4	43	IGFBP7
5	4	44	SERPINE1
5	4	45	ANGPTL2
5	4	46	CADM1
5	4	47	S100A6
5	4	48	NBL1
5	4	49	AEBP1
5	4	50	LTBP1
5	4	51	RFLNB
5	4	52	ENPP1
5	4	53	MSTN
5	4	54	ABHD2
5	4	55	CRLF1
5	4	56	LRRC17
5	4	57	PTHLH
5	4	58	ANTXR1
5	4	59	RAB31
5	4	60	GAP43
5	4	61	TREM1
5	4	62	FLNA
5	4	63	FBN1
5	4	64	CDH13
5	4	65	COL12A1
5	4	66	IL32
5	4	67	PXDN
5	4	68	MYBL1
5	4	69	HMCN1
5	4	70	THY1
5	4	71	EDIL3
5	4	72	TUBA1A
5	4	73	SSC5D
5	4	74	SULF1
5	4	75	THBS3
5	4	76	SCX
5	4	77	IGFBP3
5	4	78	TPPP3
5	4	79	LUM
5	4	80	HSPG2
5	4	81	FAT1
5	4	82	ELN
5	4	83	MARCKS
5	4	84	TNFSF11
5	4	85	CEMIP
5	4	86	CTHRC1
5	4	87	PLEC
5	4	88	MAP1B
5	4	89	TMSB10
5	4	90	MATN2
5	4	91	CALD1
5	4	92	ATP1B1
5	4	93	CST6
5	4	94	ANO1
5	4	95	TSPAN2
5	4	96	KLF6
5	4	97	GJA1
5	4	98	PDGFRB
5	4	99	COL13A1
5	4	100	USP31
5	5	1	PRG4
5	5	2	CLIC5
5	5	3	TIMP3
5	5	4	ITGBL1
5	5	5	DNASE1L3
5	5	6	PCSK6
5	5	7	HBEGF
5	5	8	HTRA4
5	5	9	HHIP
5	5	10	ITGB8
5	5	11	TMEM196
5	5	12	CRTAC1
5	5	13	TSPAN15
5	5	14	GFPT2
5	5	15	GPR1
5	5	16	PPP1R1A
5	5	17	SPARCL1
5	5	18	SEMA3A
5	5	19	DIRC3
5	5	20	ZNF385B
5	5	21	SEMA5A
5	5	22	GABRA4
5	5	23	HHIP-AS1
5	5	24	SMIM14
5	5	25	NTN4
5	5	26	CFI
5	5	27	HAS1
5	5	28	HTRA1
5	5	29	ITM2B
5	5	30	MYPN
5	5	31	MTUS2
5	5	32	APLP2
5	5	33	APBB1IP
5	5	34	GJB6
5	5	35	SCARA5
5	5	36	GJB2
5	5	37	SELP
5	5	38	DLX3
5	5	39	TFPI
5	5	40	CREB5
5	5	41	FGF10
5	5	42	COLEC12
5	5	43	ENPP4
5	5	44	COL22A1
5	5	45	F5
5	5	46	CHST2
5	5	47	S100A4
5	5	48	TPPP3
5	5	49	CLUL1
5	5	50	DLX4
5	5	51	ARL2
5	5	52	MAL
5	5	53	CADM3
5	5	54	SORBS2
5	5	55	EPB41L3
5	5	56	SLC2A12
5	5	57	AC004540.2
5	5	58	SEMA3C
5	5	59	AOAH
5	5	60	FGL2
5	5	61	TWISTNB
5	5	62	CTTNBP2
5	5	63	MT-CYB
5	5	64	TSPAN7
5	5	65	ITGA6
5	5	66	BTC
5	5	67	C11orf96
5	5	68	OLFM3
5	5	69	PENK
5	5	70	EPB41L1
5	5	71	CD55
5	5	72	PLEKHA1
5	5	73	PMAIP1
5	5	74	CSF1
5	5	75	DEFB1
5	5	76	CXCL1
5	5	77	S100A3
5	5	78	MT-CO1
5	5	79	EMP3
5	5	80	HMX1
5	5	81	PCK1
5	5	82	NPW
5	5	83	VSIG10L2
5	5	84	FN1
5	5	85	THBS4
5	5	86	MT-CO3
5	5	87	CXCL14
5	5	88	KHDRBS3
5	5	89	AC005062.1
5	5	90	AC104051.2
5	5	91	EFNB2
5	5	92	S100A6
5	5	93	PPM1L
5	5	94	ARHGAP28
5	5	95	AMTN
5	5	96	NECTIN4
5	5	97	VCAM1
5	5	98	NRXN1
5	5	99	TMSB4X
5	5	100	PDGFD
8	1	1	GPX3
8	1	2	MT1X
