k	program	mean_usage	median_usage	q95_usage	dominant_sample	dominant_sample_fraction	dominant_disease_status	dominant_disease_fraction	n_samples_detected
5	1	0.33451002734462276	0.28347564486905885	0.8758027564258103	MenNorm1AVAS	0.15833740084460524	normal	0.7731594623958833	14
5	2	0.2767712110744837	0.22787075548138508	0.7517926335364379	MenNorm5	0.1523250144703493	OA	0.5202040661944324	14
5	3	0.16007693447644414	0.042534230999799236	0.7604886388649573	MenNorm6	0.12317185981709401	normal	0.5928091354611088	14
5	4	0.13892901373585312	0.07690777088624152	0.493402448040025	MenOA1	0.15029925097007002	OA	0.734530071235324	14
5	5	0.08971281336859628	0.01748910374116673	0.5128688139300164	MenNorm6	0.19622149947709006	normal	0.5375902340793628	14
8	1	0.30550844966429674	0.2442769933682637	0.8722162338511699	MenNorm1AVAS	0.16946481785700876	normal	0.776649868129285	14
8	2	0.20306764134874106	0.1136122714957557	0.6349127654121457	MenOA1	0.16230983385342654	OA	0.6678484886113712	14
8	3	0.15605344083265552	0.034828394946177565	0.7338724919871176	MenNorm1VAS	0.12973392981197776	normal	0.6255477392784443	14
8	4	0.13329430606242085	0.07328218466457304	0.5301991688045831	MenNorm5	0.24867662072539712	normal	0.6633893661746366	14
8	5	0.09565293062577516	0.03329656084917018	0.40204349662653704	MenOA5	0.14779649484878396	OA	0.73549027026735	14
8	6	0.08224824507211624	0.008632441926086695	0.49237938230237804	MenNorm6	0.20647584179466225	normal	0.5449930661554395	14
8	7	0.013335304772184923	0.0	0.054466615881964026	MenNorm6	0.22166955213313677	normal	0.5354292164540003	14
8	8	0.01083968162180954	0.0	0.047127447247891266	MenOA6	0.23224550617006656	OA	0.6867636706706384	14
