k	expected_runs	completed_runs	merged_spectra_exists	k_selection_stats_exists	consensus_usage_exists	gene_spectra_score_exists	gene_spectra_tpm_exists	usage_has_nan	silhouette	prediction_error
5	100	100	True	True	True	True	True	False	0.9985213610276532	151021527.92571026
6	100	100	True	True	True	True	True	False	0.9463005189929531	150103051.70879626
7	100	100	True	True	True	True	True	False	0.7679169861686888	149407182.88119596
8	100	100	True	True	True	True	True	False	0.7013022166166022	148671761.49681348
9	100	100	True	True	True	True	True	False	0.7122885393530889	148027667.73398447
10	100	100	True	True	True	True	True	False	0.7563726184356605	147404826.03554556
12	100	100	True	True	True	True	True	False	0.8856960871615933	146180669.3533125
14	100	100	True	True	True	True	True	False	0.8743303614517992	145275256.12035054
16	100	100	True	True	True	True	True	False	0.7744621952155285	144698308.23126858
18	100	100	True	True	True	True	True	False	0.7800992908893756	143785083.70412406
20	100	100	True	True	True	True	True	False	0.7836638522271612	143105734.46445733
22	100	100	True	True	True	True	True	False	0.7807298872207149	142485302.25937766
24	100	100	True	True	True	True	True	False	0.8082851920362498	141902612.2608617
26	100	100	True	True	True	True	True	False	0.8044824501433266	141307402.02858678
28	100	100	True	True	True	True	True	False	0.7988720153128822	140839324.06958038
30	100	100	True	True	True	True	True	False	0.7495418567195152	140564113.74093524
