k	program	rank	gene
5	1	1	GPX3
5	1	2	MT1X
5	1	3	DDIT4
5	1	4	MT1E
5	1	5	GALNT15
5	1	6	MT1M
5	1	7	SUN2
5	1	8	MT2A
5	1	9	RBP4
5	1	10	ANGPTL7
5	1	11	FAXDC2
5	1	12	GPM6B
5	1	13	SOCS3
5	1	14	TXNIP
5	1	15	CDA
5	1	16	FOS
5	1	17	CYP4B1
5	1	18	RASD1
5	1	19	GADD45B
5	1	20	FRZB
5	1	21	OXA1L
5	1	22	MMP3
5	1	23	ADCY2
5	1	24	JUN
5	1	25	CHI3L1
5	1	26	MUC20-OT1
5	1	27	ACADL
5	1	28	NR1D1
5	1	29	RIPOR2
5	1	30	CCDC3
5	1	31	FBXO2
5	1	32	DCN
5	1	33	FBLN1
5	1	34	MEG3
5	1	35	CITED2
5	1	36	IGFBP6
5	1	37	STC2
5	1	38	COMP
5	1	39	MTHFD2
5	1	40	PRELP
5	1	41	GLUL
5	1	42	ATOH8
5	1	43	ID1
5	1	44	CPAMD8
5	1	45	RGS16
5	1	46	CYR61
5	1	47	BTG2
5	1	48	NEAT1
5	1	49	C9orf3
5	1	50	PCDH17
5	1	51	ILF3-DT
5	1	52	C2orf40
5	1	53	PLPP3
5	1	54	SLPI
5	1	55	FKBP5
5	1	56	C1QTNF7
5	1	57	TMEM204
5	1	58	DLX5
5	1	59	CTGF
5	1	60	ITGA10
5	1	61	SOD2
5	1	62	MT1G
5	1	63	PDK4
5	1	64	CD14
5	1	65	POU3F1
5	1	66	CKB
5	1	67	BCL6
5	1	68	MT1A
5	1	69	ZNF703
5	1	70	DIO3OS
5	1	71	ADM
5	1	72	HIST1H1C
5	1	73	DEPP1
5	1	74	LAG3
5	1	75	IL6R
5	1	76	DUSP1
5	1	77	AHNAK2
5	1	78	TPRG1
5	1	79	LOX
5	1	80	MT1F
5	1	81	CORO6
5	1	82	SLC25A37
5	1	83	ANGPTL5
5	1	84	NR4A1
5	1	85	ADAMTSL4
5	1	86	AR
5	1	87	APOD
5	1	88	MT1H
5	1	89	PIK3R1
5	1	90	TIMP4
5	1	91	SEPT11
5	1	92	MYC
5	1	93	MAFB
5	1	94	NXPE4
5	1	95	SCIN
5	1	96	Z93241.1
5	1	97	MYO10
5	1	98	IER5
5	1	99	AC008592.5
5	1	100	CHAD
5	2	1	RPS17
5	2	2	RPL17
5	2	3	MIF
5	2	4	VEGFA
5	2	5	EEF1G
5	2	6	GAS5
5	2	7	NME2
5	2	8	SNHG29
5	2	9	RNASEK
5	2	10	GABARAP
5	2	11	SEPTIN7
5	2	12	BMP2
5	2	13	SNHG5
5	2	14	TNFRSF12A
5	2	15	SERPINA3
5	2	16	ECRG4
5	2	17	FGF2
5	2	18	PAPSS2
5	2	19	HSPA5
5	2	20	CHAC1
5	2	21	SERPINA1
5	2	22	SOX9
5	2	23	RCAN1
5	2	24	MICOS10
5	2	25	INHBA
5	2	26	FOSL1
5	2	27	FOXC2
5	2	28	GLIS3
5	2	29	EGR1
5	2	30	PTGS2
5	2	31	KDM6B
5	2	32	FNIP2
5	2	33	CILP
5	2	34	KIAA0040
5	2	35	CDKN1A
5	2	36	SDF2L1
5	2	37	BNIP3
5	2	38	SIPA1L2
5	2	39	H19
5	2	40	ANGPTL4
5	2	41	CCN1
5	2	42	SLC2A1
5	2	43	CHD2
5	2	44	BHLHE40
5	2	45	ERRFI1
5	2	46	CDON
5	2	47	SEPTIN2
5	2	48	EGLN3
5	2	49	S100A1
5	2	50	TNFRSF10D
5	2	51	TCEAL2
5	2	52	COL2A1
5	2	53	STK38L
5	2	54	SLC7A11
5	2	55	HMOX1
5	2	56	ABI3BP
5	2	57	LIF
5	2	58	CHST3
5	2	59	PTGES
5	2	60	IL11
5	2	61	TIAM2
5	2	62	PHLDA2
5	2	63	EGR3
5	2	64	MIA
5	2	65	ANK3
5	2	66	ATXN7
5	2	67	CA9
5	2	68	ACAN
5	2	69	PPP1R15A
5	2	70	SNHG14
5	2	71	CLU
5	2	72	OGN
5	2	73	CHAD
5	2	74	TSC22D1
5	2	75	TIPARP
5	2	76	CRIP1
5	2	77	WWP2
5	2	78	RFLNB
5	2	79	DDIT4L
5	2	80	BGN
5	2	81	ZNF395
5	2	82	BIRC3
5	2	83	SLC16A10
5	2	84	FHL2
5	2	85	EIF4EBP1
5	2	86	CCN2
5	2	87	FAM43A
5	2	88	IFITM10
5	2	89	VSIG10L2
5	2	90	CILP2
5	2	91	NFATC2
5	2	92	PRELP
5	2	93	DNAJB1
5	2	94	PLEKHA1
5	2	95	COL11A1
5	2	96	HSPH1
5	2	97	ADSSL1
5	2	98	PDE4B
5	2	99	NFKBIZ
5	2	100	ATP1B1
5	3	1	SERPINF1
5	3	2	C1R
5	3	3	C1S
5	3	4	COL14A1
5	3	5	EFEMP1
5	3	6	SFRP1
5	3	7	CXCL12
5	3	8	EPHX1
5	3	9	MMP2
5	3	10	IGFBP4
5	3	11	SELENOP
5	3	12	BASP1
5	3	13	CYP1B1
5	3	14	IGF1
5	3	15	CFD
5	3	16	AHR
5	3	17	EBF1
5	3	18	SRPX
5	3	19	TMSB10
5	3	20	CALD1
5	3	21	PLTP
5	3	22	PLPP1
5	3	23	ZFP36L1
5	3	24	PLA2G2A
5	3	25	GGT5
5	3	26	PODN
5	3	27	PTGFR
5	3	28	GSN
5	3	29	DCLK1
5	3	30	MARCKS
5	3	31	ITM2A
5	3	32	KCNE4
5	3	33	GPNMB
5	3	34	C3
5	3	35	FILIP1L
5	3	36	CCN5
5	3	37	ZFP36L2
5	3	38	MT-ND3
5	3	39	FBLN2
5	3	40	LAMB1
5	3	41	MYL9
5	3	42	KCTD12
5	3	43	AKR1C3
5	3	44	PDGFRA
5	3	45	LGALS3BP
5	3	46	FSTL1
5	3	47	VCAN
5	3	48	CRISPLD1
5	3	49	AKR1C1
5	3	50	C7
5	3	51	TSHZ2
5	3	52	NFIB
5	3	53	ANGPTL1
5	3	54	OLFML3
5	3	55	NR2F2
5	3	56	MT-ATP6
5	3	57	TWIST1
5	3	58	TMEM176B
5	3	59	HSPH1
5	3	60	PTGER4
5	3	61	MGST1
5	3	62	MT-ND1
5	3	63	THY1
5	3	64	BICC1
5	3	65	SFRP2
5	3	66	ADD3
5	3	67	TMEM176A
5	3	68	MT-CYB
5	3	69	SAMHD1
5	3	70	CELF2
5	3	71	FBLN1
5	3	72	CFH
5	3	73	FYN
5	3	74	C16orf89
5	3	75	NID1
5	3	76	PDE5A
5	3	77	PPP1R15A
5	3	78	MFAP5
5	3	79	PCDH18
5	3	80	MT-CO1
5	3	81	NRP1
5	3	82	MAP1B
5	3	83	OLFML1
5	3	84	HLA-DRB1
5	3	85	PDGFRL
5	3	86	COL6A2
5	3	87	PDGFRB
5	3	88	CAMK2N1
5	3	89	RARRES2
5	3	90	AKAP12
5	3	91	THBS2
5	3	92	FBN1
5	3	93	JUN
5	3	94	PRSS23
5	3	95	GEM
5	3	96	LIMA1
5	3	97	LAMA4
5	3	98	VIT
5	3	99	HELLPAR
5	3	100	ADAMTS1
5	4	1	SPARC
5	4	2	COL1A2
5	4	3	ASPN
5	4	4	COL5A2
5	4	5	COL3A1
5	4	6	DPT
5	4	7	COL5A1
5	4	8	COL1A1
5	4	9	CRLF1
5	4	10	TGFBI
5	4	11	S100A4
5	4	12	CCND1
5	4	13	DKK3
5	4	14	FN1
5	4	15	FMOD
5	4	16	ANGPTL2
5	4	17	LOXL2
5	4	18	MXRA5
5	4	19	ISLR
5	4	20	AQP1
5	4	21	PRDX4
5	4	22	TSPAN2
5	4	23	S100A10
5	4	24	LUM
5	4	25	LGALS1
5	4	26	COL6A1
5	4	27	TREM1
5	4	28	COL6A2
5	4	29	CAPS
5	4	30	HTRA1
5	4	31	C12orf75
5	4	32	FAP
5	4	33	ITGB1
5	4	34	FNDC1
5	4	35	OGN
5	4	36	LRRC15
5	4	37	BGN
5	4	38	COL15A1
5	4	39	ANXA2
5	4	40	NDUFA4L2
5	4	41	SCX
5	4	42	COL6A3
5	4	43	COL8A1
5	4	44	P4HB
5	4	45	TNC
5	4	46	S100A6
5	4	47	ABHD2
5	4	48	SCRG1
5	4	49	IGFBP7
5	4	50	ANO1
5	4	51	SRPX2
5	4	52	NBL1
5	4	53	PPP1R14B
5	4	54	SMOC1
5	4	55	ATP1B1
5	4	56	LTBP1
5	4	57	POSTN
5	4	58	CD70
5	4	59	PRSS23
5	4	60	HSPG2
5	4	61	CD55
5	4	62	THBS3
5	4	63	TIMP1
5	4	64	RFLNB
5	4	65	TUBA1A
5	4	66	AEBP1
5	4	67	ENPP1
5	4	68	THY1
5	4	69	CRABP2
5	4	70	TMSB4X
5	4	71	TNFRSF11B
5	4	72	C9orf3
5	4	73	WISP1
5	4	74	EMP3
5	4	75	FXYD6
5	4	76	CST6
5	4	77	TPM1
5	4	78	PXDN
5	4	79	SMOC2
5	4	80	SERPINE1
5	4	81	SERPINA5
5	4	82	MICAL2
5	4	83	C1QTNF3
5	4	84	CILP2
5	4	85	TNFAIP6
5	4	86	CCDC80
5	4	87	RAI14
5	4	88	SLN
5	4	89	FSTL1
5	4	90	TPPP3
5	4	91	TYMP
5	4	92	ADAMTS6
5	4	93	PART1
5	4	94	MATN2
5	4	95	COL2A1
5	4	96	EDIL3
5	4	97	ITGA11
5	4	98	SPON2
5	4	99	COL11A1
5	4	100	CDH13
5	5	1	PRG4
5	5	2	ITGBL1
5	5	3	CLIC5
5	5	4	TMEM196
5	5	5	TIMP3
5	5	6	DNASE1L3
5	5	7	SPARCL1
5	5	8	ZNF385B
5	5	9	ITGB8
5	5	10	CRTAC1
5	5	11	HBEGF
5	5	12	HHIP
5	5	13	PCSK6
5	5	14	GABRA4
5	5	15	GPR1
5	5	16	HTRA4
5	5	17	DIRC3
5	5	18	TSPAN15
5	5	19	SEMA3A
5	5	20	APLP2
5	5	21	GFPT2
5	5	22	CFI
5	5	23	SEMA5A
5	5	24	NTN4
5	5	25	HHIP-AS1
5	5	26	COLEC12
5	5	27	CREB5
5	5	28	SMIM14
5	5	29	SCARA5
5	5	30	MTUS2
5	5	31	HAS1
5	5	32	CHST2
5	5	33	ITM2B
5	5	34	HTRA1
5	5	35	COL22A1
5	5	36	APBB1IP
5	5	37	SELP
5	5	38	SEMA3C
5	5	39	TFPI
5	5	40	SLC2A12
5	5	41	BTC
5	5	42	SORBS2
5	5	43	FGF10
5	5	44	CTTNBP2
5	5	45	TPPP3
5	5	46	GJB2
5	5	47	ITGA6
5	5	48	MAL
5	5	49	AC004540.2
5	5	50	EPB41L3
5	5	51	TWISTNB
5	5	52	S100A4
5	5	53	PPM1L
5	5	54	ARL2
5	5	55	DLX4
5	5	56	TSPAN7
5	5	57	DLX3
5	5	58	FGL2
5	5	59	PPP1R1A
5	5	60	ARHGAP28
5	5	61	ENPP4
5	5	62	GJB6
5	5	63	KHDRBS3
5	5	64	MT-CYB
5	5	65	EPB41L1
5	5	66	CLUL1
5	5	67	C11orf96
5	5	68	F5
5	5	69	ZEB2
5	5	70	EFNB2
5	5	71	CSF1
5	5	72	CXCL1
5	5	73	TMSB4X
5	5	74	MYPN
5	5	75	PLEKHA1
5	5	76	TMEM100
5	5	77	EREG
5	5	78	NDNF
5	5	79	PMAIP1
5	5	80	AC005062.1
5	5	81	FN1
5	5	82	EMP3
5	5	83	DEFB1
5	5	84	MT-CO1
5	5	85	PDGFD
5	5	86	SHANK2
5	5	87	CADM3
5	5	88	CRIP1
5	5	89	SAMD5
5	5	90	PHACTR2
5	5	91	BST2
5	5	92	MT-CO2
5	5	93	MT-CO3
5	5	94	GPR183
5	5	95	TOX3
5	5	96	VSIG10L2
5	5	97	THBS4
5	5	98	MT-ATP6
5	5	99	S100A6
5	5	100	IFI27
6	1	1	GPX3
