k	program	rank	gene
5	1	1	MT1X
5	1	2	MT1E
5	1	3	GPX3
5	1	4	DDIT4
5	1	5	MT2A
5	1	6	GALNT15
5	1	7	MT1M
5	1	8	SOCS3
5	1	9	SOD2
5	1	10	CDKN1A
5	1	11	FAXDC2
5	1	12	CDA
5	1	13	RBP4
5	1	14	TXNIP
5	1	15	BTG2
5	1	16	SUN2
5	1	17	STC2
5	1	18	MTHFD2
5	1	19	GADD45B
5	1	20	FOS
5	1	21	GPM6B
5	1	22	FRZB
5	1	23	ADCY2
5	1	24	FBXO2
5	1	25	SLC25A37
5	1	26	BNIP3
5	1	27	NEAT1
5	1	28	MMP3
5	1	29	CHI3L1
5	1	30	ATOH8
5	1	31	ANGPTL7
5	1	32	CD14
5	1	33	RASD1
5	1	34	ERRFI1
5	1	35	OXA1L
5	1	36	LOX
5	1	37	FOXC2
5	1	38	PRELP
5	1	39	CHAD
5	1	40	DCN
5	1	41	ACADL
5	1	42	RIPOR2
5	1	43	MT1A
5	1	44	MAT2A
5	1	45	TIPARP
5	1	46	PCDH17
5	1	47	DSP
5	1	48	EGR1
5	1	49	EGLN3
5	1	50	TMEM204
5	1	51	ILF3-DT
5	1	52	MEG3
5	1	53	EFNA1
5	1	54	CYP4B1
5	1	55	NAMPT
5	1	56	ITGA10
5	1	57	COMP
5	1	58	TCEAL2
5	1	59	ADM
5	1	60	TNFRSF10D
5	1	61	SCIN
5	1	62	FKBP5
5	1	63	THUMPD3-AS1
5	1	64	IER5
5	1	65	BCL6
5	1	66	GLRX
5	1	67	CPAMD8
5	1	68	NR1D1
5	1	69	NR4A1
5	1	70	PFKFB3
5	1	71	LAG3
5	1	72	SERPINA3
5	1	73	MYO10
5	1	74	ID1
5	1	75	CITED2
5	1	76	SAA1
5	1	77	MUC20-OT1
5	1	78	ZNF292
5	1	79	AC008592.5
5	1	80	IL6R
5	1	81	AHNAK2
5	1	82	WWP2
5	1	83	ZNF703
5	1	84	HIP1
5	1	85	ELL2
5	1	86	INSIG1
5	1	87	MT1F
5	1	88	MT1G
5	1	89	NET1
5	1	90	KIAA0040
5	1	91	HILPDA
5	1	92	RGS16
5	1	93	PDK1
5	1	94	DLX5
5	1	95	ZNF395
5	1	96	RGCC
5	1	97	MYC
5	1	98	POU3F1
5	1	99	ICAM1
5	1	100	ACTC1
5	2	1	FMOD
5	2	2	SPARC
5	2	3	FN1
5	2	4	TSPAN2
5	2	5	OGN
5	2	6	ASPN
5	2	7	CRLF1
5	2	8	PAPSS2
5	2	9	COL5A1
5	2	10	COL3A1
5	2	11	PRDX4
5	2	12	BGN
5	2	13	SCRG1
5	2	14	HTRA1
5	2	15	CILP
5	2	16	COL2A1
5	2	17	COL5A2
5	2	18	CLU
5	2	19	TNFRSF12A
5	2	20	NDUFA4L2
5	2	21	COL15A1
5	2	22	ATP1B1
5	2	23	DPT
5	2	24	CILP2
5	2	25	CAPS
5	2	26	COL1A2
5	2	27	RFLNB
5	2	28	PTGES
5	2	29	LUM
5	2	30	SCX
5	2	31	SMOC1
5	2	32	TNFRSF11B
5	2	33	TREM1
5	2	34	MIA
5	2	35	ADAMTS6
5	2	36	LOXL2
5	2	37	SBSPON
5	2	38	SERPINA5
5	2	39	MIF
5	2	40	COL11A1
5	2	41	P4HB
5	2	42	FGF2
5	2	43	SRPX2
5	2	44	ABI3BP
5	2	45	ANGPTL2
5	2	46	CD55
5	2	47	CCND1
5	2	48	SMOC2
5	2	49	TRPV4
5	2	50	FXYD6
5	2	51	MXRA5
5	2	52	ADGRG2
5	2	53	TNFAIP6
5	2	54	CDON
5	2	55	SERPINE1
5	2	56	PRELP
5	2	57	TGFBI
5	2	58	VEGFA
5	2	59	INHBA
5	2	60	NFATC2
5	2	61	CCDC80
5	2	62	H19
5	2	63	CRIP1
5	2	64	SERPINA1
5	2	65	COLGALT2
5	2	66	COMP
5	2	67	STK38L
5	2	68	PART1
5	2	69	KRT17
5	2	70	SYNPO
5	2	71	RCAN1
5	2	72	CRYAB
5	2	73	AQP1
5	2	74	TIAM2
5	2	75	ENPP1
5	2	76	CA9
5	2	77	FNIP2
5	2	78	RAI14
5	2	79	IL11
5	2	80	DYSF
5	2	81	S100A10
5	2	82	SDK2
5	2	83	DST
5	2	84	S100A1
5	2	85	MGP
5	2	86	COL11A2
5	2	87	SDF2L1
5	2	88	SLC16A10
5	2	89	ISLR
5	2	90	ITGB1
5	2	91	KRT16
5	2	92	COL13A1
5	2	93	S100A4
5	2	94	TNC
5	2	95	CLEC3A
5	2	96	FGF18
5	2	97	FGFBP2
5	2	98	ACAN
5	2	99	CST6
5	2	100	FNDC1
5	3	1	SERPINF1
5	3	2	C1S
5	3	3	C1R
5	3	4	EFEMP1
5	3	5	COL14A1
5	3	6	SFRP1
5	3	7	IGFBP4
5	3	8	CXCL12
5	3	9	EPHX1
5	3	10	IGF1
5	3	11	SELENOP
5	3	12	CFD
5	3	13	PODN
5	3	14	MMP2
5	3	15	PLA2G2A
5	3	16	SRPX
5	3	17	CYP1B1
5	3	18	GSN
5	3	19	BASP1
5	3	20	PLPP1
5	3	21	EBF1
5	3	22	PLTP
5	3	23	DCLK1
5	3	24	C3
5	3	25	GGT5
5	3	26	PTGFR
5	3	27	TMSB10
5	3	28	AHR
5	3	29	ZFP36L1
5	3	30	ZFP36L2
5	3	31	FBLN2
5	3	32	MT-ND3
5	3	33	CCN5
5	3	34	ITM2A
5	3	35	GPNMB
5	3	36	C16orf89
5	3	37	MGST1
5	3	38	KCNE4
5	3	39	VCAN
5	3	40	AKR1C3
5	3	41	AKR1C1
5	3	42	CALD1
5	3	43	CRISPLD1
5	3	44	FILIP1L
5	3	45	FBLN1
5	3	46	PDGFRA
5	3	47	FSTL1
5	3	48	MARCKS
5	3	49	SFRP2
5	3	50	CFH
5	3	51	SAMHD1
5	3	52	KCTD12
5	3	53	OLFML3
5	3	54	PDGFRL
5	3	55	LGALS3BP
5	3	56	TSHZ2
5	3	57	MT-ND1
5	3	58	NFIB
5	3	59	MT-ATP6
5	3	60	TMEM176B
5	3	61	ANGPTL1
5	3	62	ADD3
5	3	63	MT-CYB
5	3	64	C7
5	3	65	TWIST1
5	3	66	BICC1
5	3	67	TMEM176A
5	3	68	NR2F2
5	3	69	THY1
5	3	70	WISP2
5	3	71	MYL9
5	3	72	PTN
5	3	73	PTGER4
5	3	74	PDLIM1
5	3	75	PDE5A
5	3	76	PCDH18
5	3	77	VIT
5	3	78	MFAP5
5	3	79	PLPP3
5	3	80	ABCA8
5	3	81	JUN
5	3	82	AGTR1
5	3	83	NID1
5	3	84	MFAP4
5	3	85	ANGPT1
5	3	86	FYN
5	3	87	LAMA4
5	3	88	C6
5	3	89	MTRNR2L12
5	3	90	OLFML1
5	3	91	MT-CO1
5	3	92	IRX3
5	3	93	LAMB1
5	3	94	LHFPL6
5	3	95	PRSS23
5	3	96	ABCC9
5	3	97	RARRES2
5	3	98	MT-ND2
5	3	99	CELF2
5	3	100	HLA-DRB1
5	4	1	PRG4
5	4	2	CLIC5
5	4	3	ITGBL1
5	4	4	TMEM196
5	4	5	TIMP3
5	4	6	ZNF385B
5	4	7	HBEGF
5	4	8	SPARCL1
5	4	9	PCSK6
5	4	10	CRTAC1
5	4	11	GABRA4
5	4	12	DIRC3
5	4	13	ITGB8
5	4	14	HTRA4
5	4	15	DNASE1L3
5	4	16	HHIP
5	4	17	GPR1
5	4	18	SEMA5A
5	4	19	SEMA3A
5	4	20	TSPAN15
5	4	21	HAS1
5	4	22	GFPT2
5	4	23	SCARA5
5	4	24	HHIP-AS1
5	4	25	APBB1IP
5	4	26	CFI
5	4	27	NTN4
5	4	28	CREB5
5	4	29	APLP2
5	4	30	SMIM14
5	4	31	SELP
5	4	32	CHST2
5	4	33	HTRA1
5	4	34	TFPI
5	4	35	MTUS2
5	4	36	SEMA3C
5	4	37	ITM2B
5	4	38	SLC2A12
5	4	39	COLEC12
5	4	40	TWISTNB
5	4	41	BTC
5	4	42	CTTNBP2
5	4	43	PPM1L
5	4	44	PPP1R1A
5	4	45	S100A4
5	4	46	COL22A1
5	4	47	FGF10
5	4	48	SORBS2
5	4	49	ARL2
5	4	50	MAL
5	4	51	GJB2
5	4	52	MYPN
5	4	53	EPB41L3
5	4	54	ITGA6
5	4	55	EREG
5	4	56	TPPP3
5	4	57	DLX3
5	4	58	DLX4
5	4	59	TSPAN7
5	4	60	EPB41L1
5	4	61	MT-CYB
5	4	62	OLFM3
5	4	63	EFNB2
5	4	64	TMSB4X
5	4	65	CXCL1
5	4	66	FGL2
5	4	67	ENPP4
5	4	68	AC005062.1
5	4	69	AC004540.2
5	4	70	KHDRBS3
5	4	71	F5
5	4	72	C11orf96
5	4	73	GPR183
5	4	74	CSF1
5	4	75	PDGFD
5	4	76	TMEM100
5	4	77	MT-CO1
5	4	78	ZEB2
5	4	79	ARHGAP28
5	4	80	PLEKHA1
5	4	81	CADM3
5	4	82	GJB6
5	4	83	CLUL1
5	4	84	MT-CO3
5	4	85	FN1
5	4	86	NBL1
5	4	87	EMP3
5	4	88	MT-CO2
5	4	89	DEFB1
5	4	90	NDNF
5	4	91	TOX3
5	4	92	IFI27
5	4	93	PLCB1
5	4	94	MT-ATP6
5	4	95	TNFSF15
5	4	96	TYMP
5	4	97	S100A6
5	4	98	CRIP1
5	4	99	HSD17B13
5	4	100	TCIM
5	5	1	PLP1
5	5	2	NRXN1
5	5	3	COL4A1
5	5	4	LINC01705
5	5	5	COL5A3
5	5	6	C3orf80
5	5	7	COL6A1
5	5	8	COL1A1
5	5	9	COL4A2
5	5	10	CDH19
5	5	11	LGALS1
5	5	12	POSTN
5	5	13	COL6A3
5	5	14	ITGA6
5	5	15	GFRA1
5	5	16	MMP9
5	5	17	COL1A2
5	5	18	COL5A2
5	5	19	OLFML2A
5	5	20	CRABP2
5	5	21	PCDH7
5	5	22	SPON2
5	5	23	MAP1B
5	5	24	COL6A2
5	5	25	DIAPH3
5	5	26	FAT1
5	5	27	ITGB1
5	5	28	CEP55
5	5	29	CALD1
5	5	30	TBX2
5	5	31	LOXL2
5	5	32	CDK1
5	5	33	TOP2A
5	5	34	MXRA5
5	5	35	NGFR
5	5	36	MYL9
5	5	37	MCAM
5	5	38	MKI67
5	5	39	TPX2
5	5	40	SCN7A
5	5	41	CENPF
5	5	42	TGFBI
5	5	43	ITGB8
5	5	44	PIMREG
5	5	45	CCND1
5	5	46	ANLN
5	5	47	FLNA
5	5	48	ASPM
5	5	49	UBE2C
5	5	50	CHL1
5	5	51	OLFML2B
5	5	52	TMSB10
5	5	53	CD70
5	5	54	ANO1
5	5	55	CNKSR3
5	5	56	TAGLN
5	5	57	SESN3
5	5	58	COL7A1
5	5	59	ARHGAP15
5	5	60	MAP4K4
5	5	61	CTHRC1
5	5	62	PEAK1
5	5	63	HTRA3
5	5	64	GUCY1B1
5	5	65	TMSB4X
5	5	66	LRRC15
5	5	67	COL18A1
5	5	68	CCN3
5	5	69	TPM1
5	5	70	CCNB2
5	5	71	CADM1
5	5	72	SPARC
5	5	73	COL3A1
5	5	74	BIRC5
5	5	75	ABL2
5	5	76	MARCKS
5	5	77	HMCN1
5	5	78	ACTA2
5	5	79	PRSS23
5	5	80	ISLR
5	5	81	FAP
5	5	82	DKK3
5	5	83	RAB31
5	5	84	MYOT
5	5	85	C12orf75
