k	program	mean_usage	median_usage	q95_usage	dominant_sample	dominant_sample_fraction	dominant_disease_status	dominant_disease_fraction	n_samples_detected
5	1	0.4049033653078213	0.38082690639759786	0.9640663838964929	MenNorm1AVAS	0.13969991111997154	normal	0.7504207774618892	14
5	2	0.2767070884136512	0.2322665086096603	0.7704331573778017	MenOA5	0.13286105103027213	OA	0.6506867163747724	14
5	3	0.18256000011409748	0.06130105626998522	0.8013179034472544	MenNorm6	0.12382315699567586	normal	0.5909497951559511	14
5	4	0.09363053619705956	0.017453306887316063	0.549292601754709	MenNorm6	0.22183245337668747	normal	0.5584890075676271	14
5	5	0.042199009967370395	0.006472610269864995	0.1942612631114195	MenOA3	0.16157702217868844	OA	0.7453070183474497	14
8	1	0.2652163548276535	0.19027803003683105	0.8232509934361133	MenNorm1AVAS	0.1886599812621419	normal	0.8199060030314475	14
8	2	0.22597431195852818	0.1431990839304988	0.671807836132064	MenNorm2	0.14150932808864075	OA	0.5824254047591446	14
8	3	0.15255441082085622	0.03928377186932927	0.7152638490567265	MenNorm6	0.13674952137806307	normal	0.5830317534008242	14
8	4	0.12198438372751841	0.06213861577526412	0.47983755750143414	MenNorm5	0.24369792401448911	normal	0.6779927374584653	14
8	5	0.12113148160967349	0.047872424747021705	0.47133109756676883	MenOA5	0.16791271955836068	OA	0.7486267966496211	14
8	6	0.082202560075385	0.013853054954842117	0.49920141662056267	MenNorm6	0.22375315934184017	normal	0.5629042218088663	14
8	7	0.016850479212007843	0.0008940840326587594	0.07673669165317824	MenOA3	0.18320410649159707	OA	0.7121751926732471	14
8	8	0.01408601776837735	0.0014022435291491185	0.056368129608588655	MenOA5	0.1165343304267034	OA	0.546003435769205	14
