sample_label	disease_status	original_cells	selected_cells	sampling_fraction	retained_all	max_cells_per_sample	random_seed
MenNorm1AVAS	normal	8199	4000	0.48786437370411023	False	4000	20260529
MenNorm1VAS	normal	7981	4000	0.5011903270266884	False	4000	20260529
MenNorm2	normal	6496	4000	0.6157635467980296	False	4000	20260529
MenNorm3	normal	6192	4000	0.6459948320413437	False	4000	20260529
MenNorm4	normal	8636	4000	0.4631773969430292	False	4000	20260529
MenNorm5	normal	4381	4000	0.9130335539831089	False	4000	20260529
MenNorm6	normal	5719	4000	0.6994229760447631	False	4000	20260529
MenNorm7	normal	5563	4000	0.7190364911019235	False	4000	20260529
MenOA1	OA	7711	4000	0.5187394631046557	False	4000	20260529
MenOA2	OA	5308	4000	0.7535795026375283	False	4000	20260529
MenOA3	OA	2882	2882	1.0	True	4000	20260529
MenOA4	OA	9984	4000	0.40064102564102566	False	4000	20260529
MenOA5	OA	4605	4000	0.8686210640608035	False	4000	20260529
MenOA6	OA	5195	4000	0.7699711260827719	False	4000	20260529
