gene	highly_variable	mandatory_program_gene	mandatory_signature_gene	selection_reason
A2M	True	False	False	hvg
AARS2	True	False	False	hvg
ABCA1	True	False	False	hvg
ABCA10	True	False	False	hvg
ABCA2	True	False	False	hvg
ABCA3	True	False	False	hvg
ABCA6	True	False	False	hvg
ABCA8	True	False	False	hvg
ABCA9	True	False	False	hvg
ABCB5	True	False	False	hvg
ABCC9	True	False	False	hvg
ABCD2	True	False	False	hvg
ABHD18	True	False	False	hvg
ABHD2	True	False	False	hvg
ABI3BP	True	False	False	hvg
ABL2	True	False	False	hvg
ABLIM1	True	False	False	hvg
AC004156.1	True	False	False	hvg
AC004494.1	True	False	False	hvg
AC004540.2	True	False	False	hvg
AC004771.3	True	False	False	hvg
AC004951.1	True	False	False	hvg
AC004982.2	True	False	False	hvg
AC005005.4	True	False	False	hvg
AC005062.1	True	False	False	hvg
AC005165.1	True	False	False	hvg
AC005253.1	True	False	False	hvg
AC005332.4	True	False	False	hvg
AC005332.6	True	False	False	hvg
AC005363.2	True	False	False	hvg
AC005480.1	True	False	False	hvg
AC005550.2	True	False	False	hvg
AC005618.1	True	False	False	hvg
AC005670.2	True	False	False	hvg
AC005899.7	True	False	False	hvg
AC006063.2	True	False	False	hvg
AC006480.2	True	False	False	hvg
AC007038.1	True	False	False	hvg
AC007038.2	True	False	False	hvg
AC007040.2	True	False	False	hvg
AC007114.2	True	False	False	hvg
AC007193.1	True	False	False	hvg
AC007336.1	True	False	False	hvg
AC007613.1	True	False	False	hvg
AC007878.1	True	False	False	hvg
AC007881.3	True	False	False	hvg
AC007952.4	True	False	False	hvg
AC008011.2	True	False	False	hvg
AC008040.1	True	False	False	hvg
AC008079.1	True	False	False	hvg
AC008079.2	True	False	False	hvg
AC008080.1	True	False	False	hvg
AC008105.3	True	False	False	hvg
AC008147.2	True	False	False	hvg
AC008467.1	True	False	False	hvg
AC008592.5	True	False	False	hvg
AC008686.1	True	False	False	hvg
AC008735.2	True	False	False	hvg
AC008906.1	True	False	False	hvg
AC009041.1	True	False	False	hvg
AC009093.1	True	False	False	hvg
AC009093.2	True	False	False	hvg
AC009108.3	True	False	False	hvg
AC009118.3	True	False	False	hvg
AC009159.3	True	False	False	hvg
AC009283.1	True	False	False	hvg
AC009948.3	True	False	False	hvg
AC009961.1	True	False	False	hvg
AC010201.2	True	False	False	hvg
AC010245.2	True	False	False	hvg
AC010319.3	True	False	False	hvg
AC010343.3	True	False	False	hvg
AC010542.2	True	False	False	hvg
AC010542.4	True	False	False	hvg
AC010623.1	True	False	False	hvg
AC010624.5	True	False	False	hvg
AC010680.3	True	False	False	hvg
AC010680.4	True	False	False	hvg
AC010834.2	True	False	False	hvg
AC010969.2	True	False	False	hvg
AC010997.5	True	False	False	hvg
AC011374.2	True	False	False	hvg
AC011471.2	True	False	False	hvg
