fibro_leiden	n_cells	n_samples	OA	normal	draft_fibrochondrocyte_core	draft_inflammatory_like	draft_outer_fibrous_like	fraction_of_subset
0	6401	8	3	6398	6391	9	1	0.07204114707603655
1	6571	6	1	6570	6298	10	263	0.07395444109305362
2	2348	6	2	2346	18	2330	0	0.026425966776212128
3	3157	6	1	3156	71	6	3080	0.035530995363075676
4	6224	11	5	6219	20	6204	0	0.07004907036420115
5	2505	8	1	2504	2	2493	10	0.028192950074280826
6	3222	11	28	3194	24	3164	34	0.0362625489578175
7	4397	8	1772	2625	358	11	4028	0.0494867870166119
8	4886	14	4000	886	26	56	4804	0.05499032098320803
9	475	4	475	0	445	0	30	0.005345968576959438
10	6542	11	6385	157	6504	3	35	0.07362805564309188
11	2843	11	1245	1598	207	1	2635	0.03199702876693828
12	6995	13	331	6664	5721	0	1274	0.07872642146490794
13	5098	12	157	4941	5093	0	5	0.05737631116913519
14	5620	11	41	5579	5608	10	2	0.0632512492684464
15	2127	11	1881	246	5	0	2122	0.023938684554089946
16	7757	10	7724	33	7535	1	221	0.0873024805294197
17	3925	10	3888	37	155	1	3769	0.044174582451717466
18	7759	8	7745	14	7652	0	107	0.08732498987079639
