fibro_leiden	rank	gene	score	logfoldchanges	pvals	pvals_adj
0	1	CIRBP	106.31879	1.9456387	0.0	0.0
0	2	GPX3	103.16963	3.1484494	0.0	0.0
0	3	CCNI	100.73149	1.7718931	0.0	0.0
0	4	EEF1A1	96.90366	1.0459592	0.0	0.0
0	5	MT1X	96.853	2.9680872	0.0	0.0
0	6	DDIT4	87.923485	2.9348383	0.0	0.0
0	7	MT2A	87.2989	2.5696795	0.0	0.0
0	8	MT1E	87.08765	2.9444911	0.0	0.0
0	9	ASS1	83.688774	2.492253	0.0	0.0
0	10	SLC39A14	83.49547	2.0957696	0.0	0.0
0	11	CCNB1IP1	82.97351	2.4509087	0.0	0.0
0	12	CHI3L1	82.00412	3.838685	0.0	0.0
0	13	MT1M	79.59947	2.756008	0.0	0.0
0	14	SNHG12	77.73822	2.3005188	0.0	0.0
0	15	LOX	76.588524	2.9873507	0.0	0.0
0	16	PHC2	74.756195	2.6260772	0.0	0.0
0	17	GALNT15	69.384	2.1890664	0.0	0.0
0	18	PGK1	68.596596	1.5824839	0.0	0.0
0	19	LDHA	68.56212	1.2420582	0.0	0.0
0	20	EPB41L4A-AS1	67.74889	1.6636112	0.0	0.0
0	21	EEF2	66.37437	1.2102327	0.0	0.0
0	22	RSL24D1	66.188126	1.4316508	0.0	0.0
0	23	EGLN3	66.129196	2.338969	0.0	0.0
0	24	SMIM3	65.603645	2.05457	0.0	0.0
0	25	GLRX	65.18596	2.305688	0.0	0.0
0	26	NRN1	64.954575	1.9154019	0.0	0.0
0	27	YBX3	63.468864	1.2049009	0.0	0.0
0	28	RPS26	63.092823	1.2045385	0.0	0.0
0	29	BTF3	63.08245	0.982409	0.0	0.0
0	30	GAPDH	62.869118	1.2407916	0.0	0.0
0	31	SNX3	62.784245	1.3377988	0.0	0.0
0	32	SNHG7	62.49288	1.6008027	0.0	0.0
0	33	BNIP3	62.191944	1.8675463	0.0	0.0
0	34	UBC	61.058506	1.1167899	0.0	0.0
0	35	NPM1	60.298267	1.0795695	0.0	0.0
0	36	C1orf43	60.221363	1.6610835	0.0	0.0
0	37	EIF3L	60.170563	1.4884293	0.0	0.0
0	38	CDA	60.018578	2.0802133	0.0	0.0
0	39	MTHFD2	59.857033	2.3320258	0.0	0.0
0	40	EIF4B	59.742985	1.3702323	0.0	0.0
0	41	GID8	59.575516	2.1439235	0.0	0.0
0	42	RPL8	59.068394	0.70857114	0.0	0.0
0	43	EIF1	58.203636	0.78152716	0.0	0.0
0	44	TMBIM1	57.8913	1.6711276	0.0	0.0
0	45	SYF2	57.08281	1.3785489	0.0	0.0
0	46	GYG1	56.758926	2.202239	0.0	0.0
0	47	CSDE1	56.175133	1.2952018	0.0	0.0
0	48	DARS	55.97772	1.6750127	0.0	0.0
0	49	RHOB	55.71948	1.4880489	0.0	0.0
0	50	POLR1D	54.91543	1.4215769	0.0	0.0
0	51	COPS2	54.425327	1.619369	0.0	0.0
0	52	GDI2	53.91105	1.5100448	0.0	0.0
0	53	UBE2D3	53.787304	1.1947521	0.0	0.0
0	54	SOD2	53.712646	1.8312358	0.0	0.0
0	55	DCXR	53.23159	1.7701355	0.0	0.0
0	56	RBM3	52.650208	1.1460239	0.0	0.0
0	57	ERRFI1	52.637455	1.7094146	0.0	0.0
0	58	INTS6	52.114063	1.5131326	0.0	0.0
0	59	STK24	52.111897	1.6171209	0.0	0.0
0	60	PRR13	51.95563	1.717369	0.0	0.0
0	61	CMPK1	51.510815	1.3323916	0.0	0.0
0	62	PGAM1	51.467457	1.3133885	0.0	0.0
0	63	ST13	51.456116	1.111867	0.0	0.0
0	64	CCT4	51.333916	1.4699931	0.0	0.0
0	65	TAF1D	51.12933	1.3967229	0.0	0.0
0	66	KHDRBS1	50.439587	1.3400778	0.0	0.0
0	67	CCT8	49.886055	1.413391	0.0	0.0
0	68	GBE1	49.829876	1.8930204	0.0	0.0
0	69	ANGPTL4	49.78999	2.2465255	0.0	0.0
0	70	ACKR3	49.777683	1.6674969	0.0	0.0
0	71	NEAT1	49.658302	1.0856925	0.0	0.0
0	72	ENO1	49.621166	1.1042818	0.0	0.0
0	73	MARVELD1	49.49013	1.7478206	0.0	0.0
0	74	PHF1	49.297607	1.7859423	0.0	0.0
0	75	PDK1	49.25609	2.0300117	0.0	0.0
0	76	EIF3E	48.30766	0.9331341	0.0	0.0
0	77	CNBP	48.10828	0.9220901	0.0	0.0
0	78	EIF4H	47.873516	1.2893796	0.0	0.0
0	79	APH1A	47.76819	1.4696821	0.0	0.0
0	80	RPS27A	47.32206	0.5925019	0.0	0.0
0	81	PTGES3	47.210075	1.0317571	0.0	0.0
0	82	CCND3	46.46763	1.8807852	0.0	0.0
0	83	PCNP	46.437435	1.2367566	0.0	0.0
0	84	TUBB	45.873116	1.2645116	0.0	0.0
0	85	SSR3	45.839806	1.1675946	0.0	0.0
0	86	TRIM28	45.786537	1.7275883	0.0	0.0
0	87	ZFAS1	45.77289	0.8751541	0.0	0.0
0	88	DHRS3	45.68603	1.5476438	0.0	0.0
0	89	SLC25A3	45.682114	0.9453458	0.0	0.0
0	90	PGM1	45.36312	1.5346925	0.0	0.0
0	91	BFAR	45.327896	1.7224293	0.0	0.0
0	92	SARAF	45.214085	1.0588473	0.0	0.0
0	93	EIF4A2	45.184223	0.99983734	0.0	0.0
0	94	CLMP	44.923847	1.6332148	0.0	0.0
0	95	APOD	44.895214	2.4300425	0.0	0.0
0	96	RPSA	44.8866	0.7147904	0.0	0.0
0	97	CCNG1	44.74091	1.8125856	0.0	0.0
0	98	WSB1	44.511303	1.1970268	0.0	0.0
0	99	SHMT2	44.202797	1.566282	0.0	0.0
0	100	BNIP3L	44.085426	1.140141	0.0	0.0
0	101	MMADHC	43.933273	1.3451672	0.0	0.0
0	102	TNFRSF1A	43.821503	1.2982932	0.0	0.0
0	103	PABPC1	43.73549	1.0047231	0.0	0.0
0	104	ANP32B	43.725273	1.0596889	0.0	0.0
0	105	TXNDC12	43.272938	1.4846051	0.0	0.0
0	106	RASD1	43.22692	1.4146179	0.0	0.0
0	107	FAM20C	43.21391	1.5488721	0.0	0.0
0	108	SNHG8	43.167107	1.0760823	0.0	0.0
0	109	EEF1D	43.09959	0.6616935	0.0	0.0
0	110	RPL4	42.98924	0.78770554	0.0	0.0
0	111	RPS4X	42.82306	0.560546	0.0	0.0
0	112	RACK1	42.790554	0.6075572	0.0	0.0
0	113	WBP2	42.589966	1.3662037	0.0	0.0
0	114	SLC25A37	42.41847	1.2889454	0.0	0.0
0	115	RPS3A	42.408615	0.55121636	0.0	0.0
0	116	CNOT8	42.36469	1.7073541	0.0	0.0
0	117	RGS10	42.332752	1.2954429	0.0	0.0
0	118	SAT2	42.192028	1.186878	0.0	0.0
