sample_label	disease_status	n_cells	total_counts	genes_detected
MenNorm1AVAS	normal	8199	74452799.0	22846
MenNorm1VAS	normal	7981	86875636.0	23135
MenNorm2	normal	6496	60954573.0	22698
MenNorm3	normal	6192	60292642.0	22498
MenNorm4	normal	8636	57079866.0	22613
MenNorm5	normal	4381	62429576.0	25645
MenNorm6	normal	5719	51168112.0	25344
MenNorm7	normal	5563	70602808.0	25781
MenOA1	OA	7711	86770583.0	23425
MenOA2	OA	5308	60636107.0	22807
MenOA3	OA	2882	30597250.0	22463
MenOA4	OA	9984	73687944.0	24216
MenOA5	OA	4605	44825094.0	25293
MenOA6	OA	5195	61716465.0	26461
