fibro_leiden	rank	gene	score	logfoldchanges	pvals	pvals_adj
0	1	CIRBP	106.31879	1.9456387	0.0	0.0
0	2	GPX3	103.16963	3.1484494	0.0	0.0
0	3	CCNI	100.73149	1.7718931	0.0	0.0
0	4	EEF1A1	96.90366	1.0459592	0.0	0.0
0	5	MT1X	96.853	2.9680872	0.0	0.0
1	1	GPX3	131.82535	3.6659293	0.0	0.0
1	2	SUN2	96.28995	2.5662866	0.0	0.0
1	3	PABPC1	87.41045	1.7869269	0.0	0.0
1	4	DCXR	85.83969	2.4913902	0.0	0.0
1	5	GALNT15	84.7659	2.4853063	0.0	0.0
2	1	SNHG6	91.327065	3.8532665	0.0	0.0
2	2	GAS5	87.732376	3.8519065	0.0	0.0
2	3	RPL17	80.848114	3.835446	0.0	0.0
2	4	SNHG5	78.02029	3.5207968	0.0	0.0
2	5	GABARAP	72.77942	3.1653676	0.0	0.0
3	1	GSN	93.22262	3.4864717	0.0	0.0
3	2	CFD	80.34832	4.968985	0.0	0.0
3	3	C1R	77.59906	2.9267707	0.0	0.0
3	4	C1S	77.52685	2.797587	0.0	0.0
3	5	SELENOP	69.4254	3.1057718	0.0	0.0
4	1	GLRX	107.50338	3.7008286	0.0	0.0
4	2	RPS25	79.95218	1.1782501	0.0	0.0
4	3	RPL21	78.0386	1.1646863	0.0	0.0
4	4	RPL13	76.527565	0.9249061	0.0	0.0
4	5	SLC25A37	76.229576	2.2887511	0.0	0.0
5	1	CFD	70.49536	4.6951113	0.0	0.0
5	2	MTRNR2L1	58.59619	4.5430546	0.0	0.0
5	3	MGST1	56.994457	3.19481	0.0	0.0
5	4	IFITM2	51.420856	2.017458	0.0	0.0
5	5	PLA2G2A	49.129982	3.820502	0.0	0.0
6	1	SNHG5	80.1775	3.4031844	0.0	0.0
6	2	RPL17	75.44007	3.238795	0.0	0.0
6	3	GAS5	74.66616	3.2459705	0.0	0.0
6	4	LINC01578	73.466675	3.2314143	0.0	0.0
6	5	RNASE4	71.99784	3.2425191	0.0	0.0
7	1	CCN5	119.17279	6.1290536	0.0	0.0
7	2	COL14A1	113.9984	4.4628205	0.0	0.0
7	3	NME2	88.83611	3.1542757	0.0	0.0
7	4	RPL17	88.2206	3.1500309	0.0	0.0
7	5	SEPTIN7	84.689224	3.114193	0.0	0.0
8	1	COL14A1	105.85521	4.1962123	0.0	0.0
8	2	TMSB10	80.32682	2.2253582	0.0	0.0
8	3	SERPINF1	80.17237	3.3758996	0.0	0.0
8	4	CXCL12	79.344345	4.2184677	0.0	0.0
8	5	IGFBP4	76.06783	3.5970507	0.0	0.0
9	1	CHI3L2	45.60162	5.6245823	1.7147864667558929e-214	6.554599790527725e-210
9	2	MIA	28.616276	3.4603655	1.2639977171616619e-129	2.415752437039368e-125
9	3	CTGF	26.770071	3.267514	8.225418067860259e-105	5.2401396704315086e-101
9	4	COL1A1	25.949865	3.074749	5.631067952987558e-109	7.174731381166548e-105
9	5	CTNNB1	25.25094	2.5274556	3.374015641666048e-107	3.2242093471760755e-103
10	1	CCN2	166.41779	5.886152	0.0	0.0
10	2	RPL17	123.7654	3.5871391	0.0	0.0
10	3	EEF1G	123.1805	3.5668216	0.0	0.0
10	4	NME2	112.75585	3.3976302	0.0	0.0
10	5	ECRG4	103.53255	4.0940876	0.0	0.0
11	1	PRG4	106.72258	6.4416175	0.0	0.0
11	2	SPARCL1	94.49537	4.6165934	0.0	0.0
11	3	ITGBL1	82.74952	4.2500668	0.0	0.0
11	4	CRIP1	80.84154	3.7514532	0.0	0.0
11	5	ITGB8	76.24343	4.246215	0.0	0.0
12	1	PCOLCE2	64.20119	1.5435561	0.0	0.0
12	2	FHL1	60.577423	1.8325405	0.0	0.0
12	3	FRZB	54.654293	1.960398	0.0	0.0
12	4	CD9	54.59715	1.2072086	0.0	0.0
12	5	RPS4Y1	53.526306	1.7219226	0.0	0.0
13	1	SCRG1	65.59799	2.428018	0.0	0.0
13	2	RPS4Y1	64.21188	2.1485648	0.0	0.0
13	3	CLU	58.287342	1.6436708	0.0	0.0
13	4	FGFBP2	56.562405	2.5073483	0.0	0.0
13	5	BHLHE41	56.49982	2.0271058	0.0	0.0
14	1	RPL17	114.93222	3.6499195	0.0	0.0
14	2	LINC01578	113.927086	3.7136848	0.0	0.0
14	3	VEGFA	102.58165	3.3086698	0.0	0.0
14	4	GAS5	98.37283	3.3545527	0.0	0.0
14	5	EEF1G	98.19334	3.2072062	0.0	0.0
15	1	SPARCL1	76.64004	4.304977	0.0	0.0
15	2	PRG4	76.29803	5.932767	0.0	0.0
15	3	TMSB4X	59.497177	2.6737666	0.0	0.0
15	4	CRTAC1	58.17648	2.5257728	0.0	0.0
15	5	NBL1	52.657753	2.3715749	0.0	0.0
16	1	CHI3L2	109.106	4.556934	0.0	0.0
16	2	CTGF	80.20767	2.9355068	0.0	0.0
16	3	C2orf40	76.35273	2.4699492	0.0	0.0
16	4	LUM	60.421467	1.6038694	0.0	0.0
16	5	SCRG1	59.077454	1.9079772	0.0	0.0
17	1	COL1A1	73.20599	4.115484	0.0	0.0
17	2	COL1A2	70.72044	3.1376202	0.0	0.0
17	3	COL3A1	69.34732	3.6911058	0.0	0.0
17	4	TGFBI	68.39043	3.4766057	0.0	0.0
17	5	SPARC	65.19182	2.7767582	0.0	0.0
18	1	FMOD	106.22901	2.4799817	0.0	0.0
18	2	SCRG1	100.89177	2.8559394	0.0	0.0
18	3	CILP2	89.2727	2.762882	0.0	0.0
18	4	MGP	85.26992	2.0094	0.0	0.0
18	5	COL2A1	83.32911	3.906997	0.0	0.0
