leiden	n_cells	n_samples	draft_top_signature	draft_annotation	top_signature_median_score
0	12813	11	fibrochondrocyte_core	fibrochondrocyte_core	0.8420209932327269
1	3350	6	outer_fibrous_like	outer_fibrous_like	1.0339421844482422
2	8954	14	outer_fibrous_like	outer_fibrous_like	1.6709779763221742
3	3038	14	endothelial	endothelial	1.1509087785085041
4	2302	11	inflammatory_sasp_like	inflammatory_like	0.6960512373182508
5	16	1	endothelial	endothelial	1.4899949645996093
6	5601	11	fibrochondrocyte_core	fibrochondrocyte_core	1.53784836769104
7	6490	11	inflammatory_sasp_like	inflammatory_like	0.537859295739068
8	5507	11	inflammatory_sasp_like	inflammatory_like	0.7563594648573133
9	6434	10	outer_fibrous_like	outer_fibrous_like	1.5486596107482908
10	5076	14	mural_smooth_muscle	mural_smooth_muscle	1.838213939030965
11	952	14	t_nk	t_nk	0.7448407835279192
12	3108	14	immune_myeloid	immune_myeloid	1.6874086819754708
13	10830	13	fibrochondrocyte_core	fibrochondrocyte_core	1.4765165519714354
14	3682	11	outer_fibrous_like	outer_fibrous_like	2.374667191505432
15	8662	9	fibrochondrocyte_core	fibrochondrocyte_core	2.094327630996704
16	7123	11	fibrochondrocyte_core	fibrochondrocyte_core	1.925934019088745
17	7104	11	fibrochondrocyte_core	fibrochondrocyte_core	1.9709009981155394
