leiden	sample_label	disease_status	n_cells	sample_total_cells	fraction_of_sample
0	MenNorm1AVAS	normal	6938	8399	0.8260507203238481
0	MenNorm1VAS	normal	5806	8415	0.6899584076054665
0	MenNorm2	normal	2	7727	0.0002588326646822829
0	MenNorm3	normal	7	6976	0.0010034403669724771
0	MenNorm4	normal	19	9474	0.0020054887059320244
0	MenNorm6	normal	1	7744	0.00012913223140495868
0	MenNorm7	normal	34	6350	0.005354330708661417
0	MenOA2	OA	2	5753	0.0003476447071093343
0	MenOA3	OA	1	3647	0.00027419797093501506
0	MenOA4	OA	2	11376	0.00017580872011251758
0	MenOA6	OA	1	6514	0.00015351550506601167
1	MenNorm1AVAS	normal	1213	8399	0.14442195499464222
1	MenNorm1VAS	normal	2121	8415	0.2520499108734403
1	MenNorm3	normal	7	6976	0.0010034403669724771
1	MenNorm4	normal	3	9474	0.00031665611146295124
1	MenNorm7	normal	4	6350	0.0006299212598425197
1	MenOA1	OA	2	8488	0.000235626767200754
2	MenNorm1AVAS	normal	9	8399	0.0010715561376354328
2	MenNorm1VAS	normal	6	8415	0.00071301247771836
2	MenNorm2	normal	1172	7727	0.15167594150381777
2	MenNorm3	normal	848	6976	0.12155963302752294
2	MenNorm4	normal	5	9474	0.0005277601857715853
2	MenNorm5	normal	89	4675	0.019037433155080215
2	MenNorm6	normal	117	7744	0.015108471074380165
2	MenNorm7	normal	7	6350	0.0011023622047244095
2	MenOA1	OA	1872	8488	0.22054665409990576
2	MenOA2	OA	1359	5753	0.23622457848079262
2	MenOA3	OA	886	3647	0.24293940224842336
2	MenOA4	OA	2175	11376	0.19119198312236288
2	MenOA5	OA	177	5504	0.03215843023255814
2	MenOA6	OA	232	6514	0.035615597175314706
3	MenNorm1AVAS	normal	16	8399	0.0019049886891296583
3	MenNorm1VAS	normal	58	8415	0.006892453951277481
3	MenNorm2	normal	438	7727	0.056684353565419954
3	MenNorm3	normal	216	6976	0.03096330275229358
3	MenNorm4	normal	213	9474	0.022482583913869536
3	MenNorm5	normal	64	4675	0.013689839572192513
3	MenNorm6	normal	629	7744	0.08122417355371901
3	MenNorm7	normal	233	6350	0.036692913385826774
3	MenOA1	OA	66	8488	0.007775683317624882
3	MenOA2	OA	89	5753	0.015470189466365374
3	MenOA3	OA	273	3647	0.07485604606525911
3	MenOA4	OA	414	11376	0.03639240506329114
3	MenOA5	OA	251	5504	0.0456031976744186
3	MenOA6	OA	78	6514	0.01197420939514891
4	MenNorm1AVAS	normal	5	8399	0.0005953089653530182
4	MenNorm1VAS	normal	13	8415	0.0015448603683897802
4	MenNorm2	normal	11	7727	0.001423579655752556
4	MenNorm3	normal	23	6976	0.0032970183486238534
4	MenNorm4	normal	2215	9474	0.23379776229681232
4	MenNorm5	normal	1	4675	0.000213903743315508
4	MenNorm6	normal	2	7744	0.00025826446280991736
4	MenNorm7	normal	22	6350	0.0034645669291338585
4	MenOA1	OA	1	8488	0.000117813383600377
4	MenOA2	OA	1	5753	0.00017382235355466714
4	MenOA5	OA	8	5504	0.0014534883720930232
5	MenNorm5	normal	16	4675	0.003422459893048128
6	MenNorm2	normal	9	7727	0.001164746991070273
6	MenNorm3	normal	4	6976	0.0005733944954128441
6	MenNorm4	normal	3	9474	0.00031665611146295124
6	MenNorm5	normal	3521	4675	0.7531550802139038
6	MenNorm6	normal	2003	7744	0.2586518595041322
6	MenNorm7	normal	15	6350	0.002362204724409449
6	MenOA1	OA	1	8488	0.000117813383600377
6	MenOA2	OA	3	5753	0.0005214670606640013
6	MenOA3	OA	3	3647	0.0008225939128050452
6	MenOA5	OA	20	5504	0.003633720930232558
6	MenOA6	OA	19	6514	0.0029167945962542217
7	MenNorm1AVAS	normal	27	8399	0.0032146684129062985
7	MenNorm1VAS	normal	27	8415	0.0032085561497326204
7	MenNorm2	normal	1	7727	0.00012941633234114146
7	MenNorm3	normal	4	6976	0.0005733944954128441
7	MenNorm4	normal	6383	9474	0.6737386531560059
7	MenNorm5	normal	1	4675	0.000213903743315508
7	MenNorm6	normal	1	7744	0.00012913223140495868
7	MenNorm7	normal	42	6350	0.006614173228346456
7	MenOA2	OA	1	5753	0.00017382235355466714
7	MenOA4	OA	2	11376	0.00017580872011251758
7	MenOA5	OA	1	5504	0.0001816860465116279
8	MenNorm1AVAS	normal	6	8399	0.0007143707584236218
8	MenNorm1VAS	normal	3	8415	0.00035650623885918
8	MenNorm2	normal	1	7727	0.00012941633234114146
8	MenNorm3	normal	2	6976	0.00028669724770642203
8	MenNorm4	normal	7	9474	0.0007388642600802195
8	MenNorm5	normal	43	4675	0.009197860962566844
8	MenNorm6	normal	21	7744	0.0027117768595041323
8	MenNorm7	normal	5397	6350	0.8499212598425196
8	MenOA2	OA	3	5753	0.0005214670606640013
8	MenOA5	OA	9	5504	0.0016351744186046512
8	MenOA6	OA	15	6514	0.002302732575990175
9	MenNorm2	normal	4	7727	0.0005176653293645658
9	MenNorm4	normal	1	9474	0.00010555203715431708
9	MenNorm5	normal	525	4675	0.11229946524064172
9	MenNorm6	normal	3374	7744	0.4356921487603306
9	MenNorm7	normal	33	6350	0.0051968503937007875
9	MenOA1	OA	1	8488	0.000117813383600377
9	MenOA2	OA	2	5753	0.0003476447071093343
9	MenOA3	OA	5	3647	0.0013709898546750755
9	MenOA5	OA	440	5504	0.07994186046511628
9	MenOA6	OA	2049	6514	0.3145532698802579
10	MenNorm1AVAS	normal	51	8399	0.0060721514466007855
10	MenNorm1VAS	normal	168	8415	0.019964349376114084
10	MenNorm2	normal	692	7727	0.08955610198006989
10	MenNorm3	normal	498	6976	0.07138761467889908
10	MenNorm4	normal	546	9474	0.05763141228625712
10	MenNorm5	normal	117	4675	0.02502673796791444
10	MenNorm6	normal	1147	7744	0.1481146694214876
10	MenNorm7	normal	448	6350	0.0705511811023622
10	MenOA1	OA	124	8488	0.014608859566446749
10	MenOA2	OA	148	5753	0.025725708326090734
10	MenOA3	OA	295	3647	0.08088840142582945
10	MenOA4	OA	320	11376	0.02812939521800281
10	MenOA5	OA	392	5504	0.07122093023255814
10	MenOA6	OA	130	6514	0.019957015658581517
11	MenNorm1AVAS	normal	21	8399	0.0025002976544826767
11	MenNorm1VAS	normal	48	8415	0.00570409982174688
11	MenNorm2	normal	20	7727	0.002588326646822829
11	MenNorm3	normal	11	6976	0.0015768348623853212
11	MenNorm4	normal	41	9474	0.004327633523327
11	MenNorm5	normal	14	4675	0.002994652406417112
11	MenNorm6	normal	122	7744	0.015754132231404958
11	MenNorm7	normal	33	6350	0.0051968503937007875
11	MenOA1	OA	50	8488	0.00589066918001885
11	MenOA2	OA	45	5753	0.00782200590996002
11	MenOA3	OA	112	3647	0.030710172744721688
11	MenOA4	OA	185	11376	0.016262306610407878
11	MenOA5	OA	41	5504	0.007449127906976744
11	MenOA6	OA	209	6514	0.03208474055879644
12	MenNorm1AVAS	normal	112	8399	0.013334920823907609
12	MenNorm1VAS	normal	160	8415	0.019013666072489603
12	MenNorm2	normal	81	7727	0.010482722919632457
12	MenNorm3	normal	59	6976	0.00845756880733945
12	MenNorm4	normal	38	9474	0.004010977411864049
12	MenNorm5	normal	83	4675	0.017754010695187165
12	MenNorm6	normal	127	7744	0.016399793388429753
12	MenNorm7	normal	73	6350	0.011496062992125983
12	MenOA1	OA	537	8488	0.06326578699340245
12	MenOA2	OA	163	5753	0.02833304362941074
12	MenOA3	OA	85	3647	0.02330682752947628
12	MenOA4	OA	473	11376	0.04157876230661041
12	MenOA5	OA	215	5504	0.0390625
12	MenOA6	OA	902	6514	0.13847098556954252
13	MenNorm1AVAS	normal	1	8399	0.00011906179307060365
13	MenNorm1VAS	normal	4	8415	0.00047534165181224003
13	MenNorm2	normal	5246	7727	0.6789180794616281
13	MenNorm3	normal	5275	6976	0.7561639908256881
13	MenNorm5	normal	28	4675	0.005989304812834224
13	MenNorm6	normal	16	7744	0.002066115702479339
13	MenNorm7	normal	2	6350	0.00031496062992125983
13	MenOA1	OA	96	8488	0.011310084825636193
