leiden	n_cells	n_samples	fraction_of_all_cells	OA	normal
0	12813	11	0.1268086538271214	6	12807
1	3350	6	0.033154529799489324	2	3348
2	8954	14	0.0886166148730231	6701	2253
3	3038	14	0.030066704934581658	1171	1867
4	2302	11	0.02278260525326102	10	2292
5	16	1	0.0001583499930721878	0	16
6	5601	11	0.05543239444983274	46	5555
7	6490	11	0.06423071593990617	4	6486
8	5507	11	0.05450208824053364	27	5480
9	6434	10	0.06367649096415352	2497	3937
10	5076	14	0.05023653530215158	1409	3667
11	952	14	0.009421824587795174	642	310
12	3108	14	0.03075948615427248	2375	733
13	10830	13	0.10718315156073711	258	10572
14	3682	11	0.03644029215573722	3655	27
15	8662	9	0.08572672749945567	8645	17
16	7123	11	0.0704954375408246	7081	42
17	7104	11	0.07030739692405139	6753	351
