signature	gene	present	matched_var_name
fibrochondrocyte_core	COL1A1	True	COL1A1
fibrochondrocyte_core	COL1A2	True	COL1A2
fibrochondrocyte_core	COL3A1	True	COL3A1
fibrochondrocyte_core	DCN	True	DCN
fibrochondrocyte_core	LUM	True	LUM
fibrochondrocyte_core	BGN	True	BGN
fibrochondrocyte_core	COMP	True	COMP
fibrochondrocyte_core	SOX9	True	SOX9
inner_chondrocyte_like	ACAN	True	ACAN
inner_chondrocyte_like	COL2A1	True	COL2A1
inner_chondrocyte_like	COL9A1	True	COL9A1
inner_chondrocyte_like	COL11A1	True	COL11A1
inner_chondrocyte_like	SOX9	True	SOX9
inner_chondrocyte_like	CHAD	True	CHAD
inner_chondrocyte_like	MATN3	True	MATN3
outer_fibrous_like	COL1A1	True	COL1A1
outer_fibrous_like	COL1A2	True	COL1A2
outer_fibrous_like	COL3A1	True	COL3A1
outer_fibrous_like	DCN	True	DCN
outer_fibrous_like	LUM	True	LUM
outer_fibrous_like	TNMD	True	TNMD
outer_fibrous_like	THY1	True	THY1
outer_fibrous_like	POSTN	True	POSTN
progenitor_prg4_gdf5	PRG4	True	PRG4
progenitor_prg4_gdf5	GDF5	True	GDF5
progenitor_prg4_gdf5	THY1	True	THY1
progenitor_prg4_gdf5	ENG	True	ENG
progenitor_prg4_gdf5	MCAM	True	MCAM
progenitor_prg4_gdf5	NT5E	True	NT5E
progenitor_prg4_gdf5	ITGA5	True	ITGA5
catabolic_hypertrophic	COL10A1	True	COL10A1
catabolic_hypertrophic	MMP13	True	MMP13
catabolic_hypertrophic	IBSP	True	IBSP
catabolic_hypertrophic	RUNX2	True	RUNX2
catabolic_hypertrophic	ALPL	True	ALPL
catabolic_hypertrophic	SPP1	True	SPP1
catabolic_hypertrophic	MMP3	True	MMP3
catabolic_hypertrophic	ADAMTS5	True	ADAMTS5
inflammatory_sasp_like	CCL2	True	CCL2
inflammatory_sasp_like	CCL3	True	CCL3
inflammatory_sasp_like	CXCL8	True	CXCL8
inflammatory_sasp_like	IL6	True	IL6
inflammatory_sasp_like	PTGS2	True	PTGS2
inflammatory_sasp_like	NFKBIA	True	NFKBIA
inflammatory_sasp_like	JUN	True	JUN
inflammatory_sasp_like	FOS	True	FOS
inflammatory_sasp_like	IER3	True	IER3
synovial_lining_like	PRG4	True	PRG4
synovial_lining_like	HAS1	True	HAS1
synovial_lining_like	VCAM1	True	VCAM1
synovial_lining_like	CLIC5	True	CLIC5
synovial_lining_like	ITGA6	True	ITGA6
synovial_lining_like	CD55	True	CD55
endothelial	PECAM1	True	PECAM1
endothelial	VWF	True	VWF
endothelial	KDR	True	KDR
endothelial	CLDN5	True	CLDN5
endothelial	EMCN	True	EMCN
endothelial	RAMP2	True	RAMP2
mural_smooth_muscle	RGS5	True	RGS5
mural_smooth_muscle	ACTA2	True	ACTA2
mural_smooth_muscle	MYH11	True	MYH11
mural_smooth_muscle	MCAM	True	MCAM
mural_smooth_muscle	PDGFRB	True	PDGFRB
mural_smooth_muscle	TAGLN	True	TAGLN
immune_myeloid	PTPRC	True	PTPRC
immune_myeloid	LYZ	True	LYZ
immune_myeloid	LST1	True	LST1
immune_myeloid	AIF1	True	AIF1
immune_myeloid	CD68	True	CD68
immune_myeloid	TYROBP	True	TYROBP
immune_myeloid	FCGR3A	True	FCGR3A
immune_myeloid	C1QA	True	C1QA
immune_myeloid	C1QB	True	C1QB
t_nk	PTPRC	True	PTPRC
t_nk	CD3D	True	CD3D
t_nk	CD3E	True	CD3E
t_nk	TRAC	True	TRAC
t_nk	NKG7	True	NKG7
t_nk	GNLY	True	GNLY
t_nk	KLRD1	True	KLRD1
b_plasma	MS4A1	True	MS4A1
b_plasma	CD79A	True	CD79A
b_plasma	MZB1	True	MZB1
b_plasma	JCHAIN	True	JCHAIN
b_plasma	IGHG1	True	IGHG1
b_plasma	XBP1	True	XBP1
cycling	MKI67	True	MKI67
cycling	TOP2A	True	TOP2A
cycling	UBE2C	True	UBE2C
cycling	HMGB2	True	HMGB2
cycling	CENPF	True	CENPF
cycling	TYMS	True	TYMS
erythrocyte	HBB	True	HBB
erythrocyte	HBA1	True	HBA1
erythrocyte	HBA2	True	HBA2
erythrocyte	ALAS2	True	ALAS2
erythrocyte	SLC4A1	True	SLC4A1
