leiden	rank	gene	score	logfoldchanges	pvals	pvals_adj
0	1	GPX3	197.9018	4.051459	0.0	0.0
0	2	CIRBP	148.40695	1.9826759	0.0	0.0
0	3	CCNI	140.13684	1.81879	0.0	0.0
0	4	MT1X	136.39218	3.2686	0.0	0.0
0	5	EEF1A1	131.2956	1.0107685	0.0	0.0
0	6	GALNT15	130.68672	2.8558226	0.0	0.0
0	7	DDIT4	126.42281	3.0096838	0.0	0.0
0	8	ASS1	120.43728	2.7847505	0.0	0.0
0	9	DCXR	112.09329	2.5394998	0.0	0.0
0	10	SNHG12	108.00953	2.4071739	0.0	0.0
0	11	CCNB1IP1	106.56528	2.3692572	0.0	0.0
0	12	SUN2	104.72025	2.2857816	0.0	0.0
0	13	RHOB	104.17547	1.9067988	0.0	0.0
0	14	EEF2	102.62138	1.3512411	0.0	0.0
0	15	MT1E	98.58476	2.6117482	0.0	0.0
0	16	BTF3	96.262535	1.0871758	0.0	0.0
0	17	MT1M	95.63868	2.4911993	0.0	0.0
0	18	SNHG7	95.13039	1.7553546	0.0	0.0
0	19	RPS26	91.638275	1.2696161	0.0	0.0
0	20	CNBP	91.31808	1.2440102	0.0	0.0
0	21	YBX3	88.75579	1.266361	0.0	0.0
0	22	STK24	88.74912	1.9809535	0.0	0.0
0	23	MTHFD2	88.345184	2.4360526	0.0	0.0
0	24	GYG1	88.119705	2.4751675	0.0	0.0
0	25	EIF3L	87.38149	1.569473	0.0	0.0
0	26	PABPC1	87.09967	1.3881258	0.0	0.0
0	27	SLC39A14	85.99934	1.8167782	0.0	0.0
0	28	GDI2	84.48119	1.6858202	0.0	0.0
0	29	RSL24D1	83.81148	1.3673395	0.0	0.0
0	30	EPB41L4A-AS1	83.337616	1.5607854	0.0	0.0
0	31	SNX3	83.28316	1.3025155	0.0	0.0
0	32	POLR1D	80.69096	1.509104	0.0	0.0
0	33	TMBIM1	80.17161	1.6937814	0.0	0.0
0	34	CCT4	80.0028	1.6420904	0.0	0.0
0	35	C1orf43	79.32876	1.626162	0.0	0.0
0	36	APOD	79.15477	3.0135844	0.0	0.0
0	37	MT2A	78.93876	2.0191553	0.0	0.0
0	38	EIF4B	78.40113	1.3301915	0.0	0.0
0	39	SLC25A3	77.54481	1.1427323	0.0	0.0
0	40	CSDE1	76.64768	1.2898928	0.0	0.0
0	41	EIF4A2	76.41057	1.1975471	0.0	0.0
0	42	CMPK1	74.96332	1.4306741	0.0	0.0
0	43	KHDRBS1	74.6024	1.4326174	0.0	0.0
0	44	NNMT	74.39855	1.346769	0.0	0.0
0	45	RBM3	74.30968	1.1800685	0.0	0.0
0	46	ACKR3	74.07128	1.8064187	0.0	0.0
0	47	CNOT8	73.52614	2.147617	0.0	0.0
0	48	GID8	73.27498	2.033019	0.0	0.0
0	49	PHC2	73.15879	2.0984733	0.0	0.0
0	50	KLF15	72.93521	3.1205328	0.0	0.0
0	51	RPL8	72.78955	0.65706867	0.0	0.0
0	52	SYF2	72.67861	1.2972918	0.0	0.0
0	53	SOD2	72.302925	1.7765267	0.0	0.0
0	54	PCBP2	72.09728	1.2260252	0.0	0.0
0	55	EIF3E	71.553986	1.0145814	0.0	0.0
0	56	UBE2D3	71.41987	1.1570768	0.0	0.0
0	57	TSC22D3	70.38357	1.6534805	0.0	0.0
0	58	PRR13	70.292244	1.7286614	0.0	0.0
0	59	NRN1	70.26444	1.6486733	0.0	0.0
0	60	CEBPD	70.174225	1.3413725	0.0	0.0
0	61	EIF1	69.715	0.7062645	0.0	0.0
0	62	OXA1L	69.59589	1.8027418	0.0	0.0
0	63	CDA	69.43525	1.8658141	0.0	0.0
0	64	LOX	69.35352	2.183388	0.0	0.0
0	65	GLUL	69.163246	1.8089061	0.0	0.0
0	66	CYBRD1	68.86158	1.3503759	0.0	0.0
0	67	CCT8	68.857605	1.4238958	0.0	0.0
0	68	LDHB	68.66338	1.4367597	0.0	0.0
0	69	PHF1	68.42684	1.8313673	0.0	0.0
0	70	HNRNPF	68.13539	1.367788	0.0	0.0
0	71	UBC	68.093796	0.92300177	0.0	0.0
0	72	GPM6B	68.039085	2.5055377	0.0	0.0
0	73	CCNG1	67.79922	2.0212448	0.0	0.0
0	74	FOXO1	67.522156	1.5680927	0.0	0.0
