leiden	rank	gene	score	logfoldchanges	pvals	pvals_adj
0	1	GPX3	197.9018	4.051459	0.0	0.0
0	2	CIRBP	148.40695	1.9826759	0.0	0.0
0	3	CCNI	140.13684	1.81879	0.0	0.0
0	4	MT1X	136.39218	3.2686	0.0	0.0
0	5	EEF1A1	131.2956	1.0107685	0.0	0.0
1	1	GSN	98.00475	3.538775	0.0	0.0
1	2	CFD	85.33564	5.0382805	0.0	0.0
1	3	C1R	83.879036	3.095248	0.0	0.0
1	4	C1S	83.6123	2.978944	0.0	0.0
1	5	SERPING1	75.123405	2.3802223	0.0	0.0
2	1	COL14A1	91.678154	3.3894157	0.0	0.0
2	2	PLAC9	88.66357	1.9984637	0.0	0.0
2	3	TMSB4X	84.81773	2.0452263	0.0	0.0
2	4	S100A4	83.7618	2.1531932	0.0	0.0
2	5	WISP2	83.24993	3.7733424	0.0	0.0
3	1	PECAM1	104.78015	7.734171	0.0	0.0
3	2	GNG11	102.04289	4.196672	0.0	0.0
3	3	EMCN	83.25299	9.304351	0.0	0.0
3	4	IFI27	82.66807	4.4493275	0.0	0.0
3	5	RAMP2	81.55239	4.6319423	0.0	0.0
4	1	CFD	71.6081	4.875454	0.0	0.0
4	2	MGST1	56.337894	3.3957932	0.0	0.0
4	3	MTRNR2L1	53.30336	4.153045	0.0	0.0
4	4	PLA2G2A	47.804096	3.9795694	0.0	0.0
4	5	IFITM2	45.2127	1.9120001	0.0	0.0
5	1	CLDN5	25.919859	7.8532925	9.268608471837241e-21	3.542832902275067e-16
5	2	IGFBP3	20.818348	7.9283123	2.1940681222328504e-19	4.193302995211423e-15
5	3	CLEC14A	20.805592	7.804579	1.821871368018072e-18	1.7409802792780695e-14
5	4	SLC9A3R2	20.083538	6.794064	7.7402756722891655e-19	9.862143243252701e-15
5	5	ENPP2	18.162327	6.8466115	1.657203376311387e-16	1.055749030935441e-12
6	1	LINC01578	110.54614	3.5961285	0.0	0.0
6	2	RPL17	108.11691	3.5023162	0.0	0.0
6	3	VEGFA	106.83881	3.4667113	0.0	0.0
6	4	MIF	98.9415	2.5702446	0.0	0.0
6	5	ECRG4	97.157486	3.9530115	0.0	0.0
7	1	GLRX	113.915985	3.8488781	0.0	0.0
7	2	SLC25A37	81.46176	2.4536994	0.0	0.0
7	3	GPX3	79.12899	2.4940395	0.0	0.0
7	4	RPS25	78.45901	1.1690977	0.0	0.0
7	5	SOD2	78.12767	2.4744868	0.0	0.0
8	1	GAS5	111.96746	3.5357668	0.0	0.0
8	2	SNHG5	111.77379	3.4810112	0.0	0.0
8	3	RPL17	109.44136	3.511975	0.0	0.0
8	4	SNHG6	106.52306	3.4535902	0.0	0.0
8	5	GABARAP	102.85872	3.076532	0.0	0.0
9	1	NME2	106.932014	3.1393163	0.0	0.0
9	2	CCN5	105.37834	5.5112433	0.0	0.0
9	3	EEF1G	100.41319	3.01751	0.0	0.0
9	4	RPL17	97.62681	2.9568832	0.0	0.0
9	5	MICOS10	96.30774	3.215029	0.0	0.0
10	1	TAGLN	198.64622	6.8998413	0.0	0.0
10	2	MYL9	138.4187	4.925849	0.0	0.0
10	3	NR2F2	132.55618	4.9313455	0.0	0.0
10	4	ACTA2	131.09818	7.6585174	0.0	0.0
10	5	RGS5	128.01256	8.543849	0.0	0.0
11	1	SRGN	53.781273	5.6010194	0.0	0.0
11	2	PTPRC	44.198452	6.922545	2.6694471240800678e-241	3.779146180401352e-238
11	3	CD52	40.177322	9.171678	5.002442182297173e-208	4.780333749403179e-205
11	4	B2M	35.624096	1.7624352	1.155544384330308e-211	1.1623560143853077e-208
11	5	CXCR4	32.66541	7.2629833	3.7423817870303743e-159	2.0435543061064147e-156
12	1	CD74	188.7922	7.7213573	0.0	0.0
12	2	TYROBP	181.34465	9.634914	0.0	0.0
12	3	AIF1	156.77365	10.764857	0.0	0.0
12	4	HLA-DRA	144.67467	8.301661	0.0	0.0
12	5	HLA-DRB1	137.58054	7.0070076	0.0	0.0
13	1	CLU	96.94168	2.3378036	0.0	0.0
13	2	C2orf40	96.622795	2.5487719	0.0	0.0
13	3	PCOLCE2	96.54733	1.9955105	0.0	0.0
13	4	FRZB	95.35901	2.6108754	0.0	0.0
13	5	CILP	93.06009	2.5453632	0.0	0.0
14	1	COL1A1	71.95598	4.2331367	0.0	0.0
14	2	COL1A2	71.44709	3.34738	0.0	0.0
14	3	COL3A1	70.22463	3.8871615	0.0	0.0
14	4	COL5A2	65.33574	2.899504	0.0	0.0
14	5	SPARC	63.937794	2.829139	0.0	0.0
15	1	FMOD	116.1672	2.755248	0.0	0.0
15	2	SCRG1	114.22136	3.1141534	0.0	0.0
15	3	MGP	93.336426	2.3012109	0.0	0.0
15	4	CTGF	93.222534	3.1211975	0.0	0.0
15	5	CILP2	91.01316	2.8247564	0.0	0.0
16	1	CHI3L2	120.8972	5.0869637	0.0	0.0
16	2	CTGF	85.453545	3.2021637	0.0	0.0
16	3	C2orf40	81.9152	2.7736576	0.0	0.0
16	4	FN1	68.088326	2.294268	0.0	0.0
16	5	SCRG1	65.53341	2.2274969	0.0	0.0
17	1	CCN2	177.64828	5.9374657	0.0	0.0
17	2	RPL17	122.58934	3.4465182	0.0	0.0
17	3	EEF1G	120.372635	3.373971	0.0	0.0
17	4	ECRG4	113.51621	4.273798	0.0	0.0
17	5	NME2	112.74022	3.2492123	0.0	0.0
