dataset_id	gsm_id	sample_label	tissue	disease_status	region	input_barcodes	n_cells	retained_cell_fraction	min_counts_filter	min_genes_filter	n_genes	total_counts	median_counts_per_cell	median_genes_per_cell	detected_genes	median_pct_mito	h5ad_path
GSE220243	GSM6797168	MenOA1	meniscus	OA	not_reported	6794880	9080	0.00133630027314684	1	200	33538	93067154.0	8084.0	2411.0	24014	2.2798074657076537	F:\半月板特异性衰老程序连接纤维软骨细胞命运障碍与膝骨关节炎滑膜-软骨炎症重塑\data\processed\single_cell\GSE220243\meniscus_by_sample\MenOA1.h5ad
GSE220243	GSM6797169	MenOA2	meniscus	OA	not_reported	5903	5876	0.9954260545485346	1	200	33538	64593671.0	9065.0	2560.5	23464	1.241621347095237	F:\半月板特异性衰老程序连接纤维软骨细胞命运障碍与膝骨关节炎滑膜-软骨炎症重塑\data\processed\single_cell\GSE220243\meniscus_by_sample\MenOA2.h5ad
GSE220243	GSM6797170	MenOA3	meniscus	OA	not_reported	3986	3894	0.9769192172604114	1	200	33538	38806603.0	7561.5	2316.0	23591	2.1205694418091707	F:\半月板特异性衰老程序连接纤维软骨细胞命运障碍与膝骨关节炎滑膜-软骨炎症重塑\data\processed\single_cell\GSE220243\meniscus_by_sample\MenOA3.h5ad
GSE220243	GSM6797171	MenOA4	meniscus	OA	not_reported	11942	11908	0.9971529057109362	1	200	33538	81907186.0	5545.0	1784.0	24851	1.9364003775894387	F:\半月板特异性衰老程序连接纤维软骨细胞命运障碍与膝骨关节炎滑膜-软骨炎症重塑\data\processed\single_cell\GSE220243\meniscus_by_sample\MenOA4.h5ad
GSE220243	GSM6797172	MenOA5	meniscus	OA	not_reported	5674	5630	0.9922453295734931	1	200	36601	52651802.0	7117.0	2282.5	26334	1.3245102568359626	F:\半月板特异性衰老程序连接纤维软骨细胞命运障碍与膝骨关节炎滑膜-软骨炎症重塑\data\processed\single_cell\GSE220243\meniscus_by_sample\MenOA5.h5ad
GSE220243	GSM6797173	MenOA6	meniscus	OA	not_reported	6812	6761	0.9925132119788609	1	200	36601	76652141.0	8656.0	2647.0	27549	2.230659705742762	F:\半月板特异性衰老程序连接纤维软骨细胞命运障碍与膝骨关节炎滑膜-软骨炎症重塑\data\processed\single_cell\GSE220243\meniscus_by_sample\MenOA6.h5ad
GSE220243	GSM6797160	MenNorm1AVAS	meniscus	normal	avascular	8445	8442	0.9996447602131439	1	200	33538	75849643.0	7035.5	2230.0	23156	0.4655974397806897	F:\半月板特异性衰老程序连接纤维软骨细胞命运障碍与膝骨关节炎滑膜-软骨炎症重塑\data\processed\single_cell\GSE220243\meniscus_by_sample\MenNorm1AVAS.h5ad
GSE220243	GSM6797161	MenNorm1VAS	meniscus	normal	vascular	8556	8549	0.999181860682562	1	200	33538	91665602.0	8025.0	2396.0	23576	2.3691371858492074	F:\半月板特异性衰老程序连接纤维软骨细胞命运障碍与膝骨关节炎滑膜-软骨炎症重塑\data\processed\single_cell\GSE220243\meniscus_by_sample\MenNorm1VAS.h5ad
GSE220243	GSM6797162	MenNorm2	meniscus	normal	not_reported	8190	8129	0.9925518925518926	1	200	33538	76061655.0	7096.0	2142.0	23758	3.6495047738020885	F:\半月板特异性衰老程序连接纤维软骨细胞命运障碍与膝骨关节炎滑膜-软骨炎症重塑\data\processed\single_cell\GSE220243\meniscus_by_sample\MenNorm2.h5ad
GSE220243	GSM6797163	MenNorm3	meniscus	normal	not_reported	7249	7228	0.9971030486963719	1	200	33538	67858268.0	6957.5	2056.5	23251	2.387772846998258	F:\半月板特异性衰老程序连接纤维软骨细胞命运障碍与膝骨关节炎滑膜-软骨炎症重塑\data\processed\single_cell\GSE220243\meniscus_by_sample\MenNorm3.h5ad
GSE220243	GSM6797164	MenNorm4	meniscus	normal	not_reported	6794880	11196	0.001647711217858152	1	200	33538	65439125.0	4602.5	1393.0	23375	1.9020497117615507	F:\半月板特异性衰老程序连接纤维软骨细胞命运障碍与膝骨关节炎滑膜-软骨炎症重塑\data\processed\single_cell\GSE220243\meniscus_by_sample\MenNorm4.h5ad
GSE220243	GSM6797165	MenNorm5	meniscus	normal	not_reported	4840	4824	0.996694214876033	1	200	36601	67669405.0	10931.0	3029.0	26224	1.6866932468202473	F:\半月板特异性衰老程序连接纤维软骨细胞命运障碍与膝骨关节炎滑膜-软骨炎症重塑\data\processed\single_cell\GSE220243\meniscus_by_sample\MenNorm5.h5ad
GSE220243	GSM6797166	MenNorm6	meniscus	normal	not_reported	8045	7961	0.9895587321317588	1	200	36601	68506976.0	7267.0	2339.0	26572	4.520367936925099	F:\半月板特异性衰老程序连接纤维软骨细胞命运障碍与膝骨关节炎滑膜-软骨炎症重塑\data\processed\single_cell\GSE220243\meniscus_by_sample\MenNorm6.h5ad
GSE220243	GSM6797167	MenNorm7	meniscus	normal	not_reported	6536	6521	0.9977050183598531	1	200	36601	80481840.0	9993.0	2807.0	26561	2.457128231379575	F:\半月板特异性衰老程序连接纤维软骨细胞命运障碍与膝骨关节炎滑膜-软骨炎症重塑\data\processed\single_cell\GSE220243\meniscus_by_sample\MenNorm7.h5ad
