sample_label	disease_status	tissue	region	n_cells	median_counts_per_cell	median_genes_per_cell	median_pct_mito	pct95_counts_per_cell	pct95_genes_per_cell	pct95_pct_mito
MenOA1	OA	meniscus	not_reported	9080	8084.0	2411.0	2.2798074657076537	26724.1	4635.199999999997	10.441017603530977
MenOA2	OA	meniscus	not_reported	5876	9065.0	2560.5	1.241621347095237	26288.0	4530.5	7.180146242646242
MenOA3	OA	meniscus	not_reported	3894	7561.5	2316.0	2.1205694418091707	26602.25	4779.7	13.45331958906266
MenOA4	OA	meniscus	not_reported	11908	5545.0	1784.0	1.9364003775894387	17272.499999999996	3709.6499999999996	9.661377838395687
MenOA5	OA	meniscus	not_reported	5630	7117.0	2282.5	1.3245102568359626	25140.050000000003	4774.200000000001	8.849920512718894
MenOA6	OA	meniscus	not_reported	6761	8656.0	2647.0	2.230659705742762	30677.0	5395.0	10.625601539942252
MenNorm1AVAS	normal	meniscus	avascular	8442	7035.5	2230.0	0.4655974397806897	20707.799999999996	4316.95	5.2956652829627595
MenNorm1VAS	normal	meniscus	vascular	8549	8025.0	2396.0	2.3691371858492074	27752.799999999977	4978.199999999999	8.443917312602734
MenNorm2	normal	meniscus	not_reported	8129	7096.0	2142.0	3.6495047738020885	23952.6	4461.199999999999	13.836838518085766
MenNorm3	normal	meniscus	not_reported	7228	6957.5	2056.5	2.387772846998258	24714.249999999993	4377.0	9.840624864466955
MenNorm4	normal	meniscus	not_reported	11196	4602.5	1393.0	1.9020497117615507	15660.75	3159.5	14.313148111915474
MenNorm5	normal	meniscus	not_reported	4824	10931.0	3029.0	1.6866932468202473	37909.399999999965	5966.249999999997	6.112592989485775
MenNorm6	normal	meniscus	not_reported	7961	7267.0	2339.0	4.520367936925099	20579.0	4482.0	10.85606265190386
MenNorm7	normal	meniscus	not_reported	6521	9993.0	2807.0	2.457128231379575	30739.0	5312.0	9.004296656080703
