sample_label	disease_status	cells_before	cells_retained	retained_fraction	median_counts_per_cell	median_genes_per_cell	median_pct_mito
MenOA1	OA	9080	8488	0.9348017621145375	8534.0	2490.0	2.220122047271598
MenOA2	OA	5876	5753	0.979067392784207	9172.0	2586.0	1.2213740458015268
MenOA3	OA	3894	3647	0.9365690806368773	7942.0	2394.0	2.020905923344948
MenOA4	OA	11908	11376	0.9553241518307021	5754.0	1830.5	1.8688920154934188
MenOA5	OA	5630	5504	0.977619893428064	7237.5	2303.0	1.2893761176267877
MenOA6	OA	6761	6514	0.9634669427599467	8803.5	2681.0	2.1711833242866194
MenNorm1AVAS	normal	8442	8399	0.9949064202795546	7052.0	2234.0	0.4554680924798257
MenNorm1VAS	normal	8549	8415	0.9843256521230553	8084.0	2411.0	2.320968061892482
MenNorm2	normal	8129	7727	0.9505474228072334	7327.0	2194.0	3.5437613317949563
MenNorm3	normal	7228	6976	0.9651355838406198	7113.5	2091.5	2.3319705411442264
MenNorm4	normal	11196	9474	0.8461950696677385	5220.5	1539.0	1.7393743236265204
MenNorm5	normal	4824	4675	0.9691127694859039	11070.0	3062.0	1.681146338711497
MenNorm6	normal	7961	7744	0.9727421178243939	7417.0	2364.5	4.452264402482955
MenNorm7	normal	6521	6350	0.9737770280631804	10123.5	2826.0	2.3921755056986984
