status	anatomy	celltype	n_cells	fraction_within_status_anatomy
abnormal	inner	Ch.1(CHAD)	714	0.07963417354450145
abnormal	inner	Ch.2(FNDC1)	3779	0.4214811510149454
abnormal	inner	Ch.3(PRG4)	3851	0.4295114878429623
abnormal	inner	Ch.4(CFD)	167	0.018625920142761543
abnormal	inner	Ch.5(cycling)	231	0.025763997323221058
abnormal	inner	PCL.1	190	0.02119116662948918
abnormal	inner	PCL.2	34	0.0037921035021191165
abnormal	outer	Ch.1(CHAD)	1131	0.20559898200327215
abnormal	outer	Ch.2(FNDC1)	2171	0.3946555171786948
abnormal	outer	Ch.3(PRG4)	429	0.07798582075986184
abnormal	outer	Ch.4(CFD)	1071	0.19469187420469006
abnormal	outer	Ch.5(cycling)	57	0.010361752408652973
abnormal	outer	PCL.1	498	0.09052899472823123
abnormal	outer	PCL.2	144	0.026177058716596983
normal	inner	Ch.1(CHAD)	6265	0.9147320776755731
normal	inner	Ch.2(FNDC1)	125	0.018250839538618776
normal	inner	Ch.3(PRG4)	371	0.05416849175062053
normal	inner	Ch.4(CFD)	49	0.00715432909913856
normal	inner	Ch.5(cycling)	2	0.0002920134326179004
normal	inner	PCL.1	31	0.004526208205577456
normal	inner	PCL.2	6	0.0008760402978537013
normal	outer	Ch.1(CHAD)	2279	0.3092265943012212
normal	outer	Ch.2(FNDC1)	81	0.010990502035278155
normal	outer	Ch.3(PRG4)	78	0.010583446404341926
normal	outer	Ch.4(CFD)	937	0.1271370420624152
normal	outer	Ch.5(cycling)	2	0.000271370420624152
normal	outer	PCL.1	2161	0.2932157394843962
normal	outer	PCL.2	1832	0.2485753052917232
