axis_id	ligand	receptor	sender_node	receiver_node	edge_weight	display_tier	edge_color	edge_label	claim_guardrail
ANGPTL4_integrin	ANGPTL4	ITGB1	MSP-program-high fibrochondrocyte	mural/smooth muscle	0.7779525436986666	primary_mechanism_candidate	#B2182B	ANGPTL4->ITGB1	Can be framed as a leading candidate axis, but only as validated mechanism after formal communication, protein, and perturbation evidence.
ANGPTL4_integrin	ANGPTL4	ITGAV	MSP-program-high fibrochondrocyte	outer fibrous-like	0.4322698127652121	primary_mechanism_candidate	#B2182B	ANGPTL4->ITGAV	Can be framed as a leading candidate axis, but only as validated mechanism after formal communication, protein, and perturbation evidence.
MIF_CD74	MIF	CD74	MSP-program-high fibrochondrocyte	immune/myeloid	1.1306906089520332	primary_mechanism_candidate	#B2182B	MIF->CD74	Can be framed as a leading candidate axis, but only as validated mechanism after formal communication, protein, and perturbation evidence.
VEGF	VEGFA	FLT1	MSP-program-high fibrochondrocyte	endothelial	0.6486714689300044	primary_mechanism_candidate	#B2182B	VEGFA->FLT1	Can be framed as a leading candidate axis, but only as validated mechanism after formal communication, protein, and perturbation evidence.
BMP2_BMPR	BMP2	BMPR2	mural/smooth muscle	endothelial	0.2159297688036064	secondary_mechanism_candidate	#2166AC	BMP2->BMPR2	Use as secondary mechanism; require receptor/pathway validation before causal language.
BMP2_BMPR	BMP2	BMPR1A	mural/smooth muscle	outer fibrous-like	0.0797755116701754	secondary_mechanism_candidate	#2166AC	BMP2->BMPR1A	Use as secondary mechanism; require receptor/pathway validation before causal language.
FGF_FGFR	FGF2	FGFR1	MSP-program-high fibrochondrocyte	outer fibrous-like	0.422921674135868	secondary_mechanism_candidate	#2166AC	FGF2->FGFR1	Use as secondary mechanism; require receptor/pathway validation before causal language.
FGF_FGFR	FGF1	FGFR1	PRG4+ chondrocyte	cycling chondrocyte	0.1269733244902692	secondary_mechanism_candidate	#2166AC	FGF1->FGFR1	Use as secondary mechanism; require receptor/pathway validation before causal language.
FGF_FGFR	FGF2	FGFR2	MSP-program-high fibrochondrocyte	MSP-program-high fibrochondrocyte	0.0898413228154432	secondary_mechanism_candidate	#2166AC	FGF2->FGFR2	Use as secondary mechanism; require receptor/pathway validation before causal language.
INHBA_activin	INHBA	ACVR2A	PRG4+ chondrocyte	CFD+ chondrocyte	0.0767728525459863	secondary_mechanism_candidate	#2166AC	INHBA->ACVR2A	Use as secondary mechanism; require receptor/pathway validation before causal language.
INHBA_activin	INHBA	ACVR1B	MSP-program-high fibrochondrocyte	endothelial	0.0698305544742134	secondary_mechanism_candidate	#2166AC	INHBA->ACVR1B	Use as secondary mechanism; require receptor/pathway validation before causal language.
INHBA_activin	INHBA	ACVR2B	MSP-program-high fibrochondrocyte	endothelial	0.051757939416075	secondary_mechanism_candidate	#2166AC	INHBA->ACVR2B	Use as secondary mechanism; require receptor/pathway validation before causal language.
MIF_chemokine_receptors	MIF	CXCR4	MSP-program-high fibrochondrocyte	T/NK	0.7995011701375385	secondary_mechanism_candidate	#2166AC	MIF->CXCR4	Use as secondary mechanism; require receptor/pathway validation before causal language.
MIF_chemokine_receptors	MIF	CXCR2	MSP-program-high fibrochondrocyte	immune/myeloid	0.0137780866113752	secondary_mechanism_candidate	#2166AC	MIF->CXCR2	Use as secondary mechanism; require receptor/pathway validation before causal language.
