item_id	target	status	detail
A1_direction_of_effect	docs/manuscript/07_msp_full_results_draft.md	already_applied	replacement text already present
A2_discussion_sender_label	docs/manuscript/07_msp_full_results_draft.md	not_found	find string absent; left unchanged
A3_bulk_reframing	docs/manuscript/07_msp_full_results_draft.md	already_applied	replacement text already present
A4_methods_meta_analysis	docs/manuscript/07_msp_full_results_draft.md	not_found	find string absent; left unchanged
A5_results_subtype_relabel	docs/manuscript/07_msp_full_results_draft.md	already_applied	replacement text already present
A5_discussion_subtype_relabel	docs/manuscript/07_msp_full_results_draft.md	not_found	find string absent; left unchanged
A5_methods_subtype_relabel	docs/manuscript/07_msp_full_results_draft.md	not_found	find string absent; left unchanged
A6_cnmf_gene_selection	docs/manuscript/07_msp_full_results_draft.md	not_found	find string absent; left unchanged
A6_program_rank_repro	docs/manuscript/07_msp_full_results_draft.md	not_found	find string absent; left unchanged
C1_abstract_results	docs/manuscript/07_msp_full_results_draft.md	not_found	find string absent; left unchanged
C1_abstract_results_bold	docs/manuscript/07_msp_full_results_draft.md	not_found	find string absent; left unchanged
C2_validation_roadmap_trim	docs/manuscript/07_msp_full_results_draft.md	not_found	find string absent; left unchanged
C4_conclusion_positive_signal	docs/manuscript/07_msp_full_results_draft.md	not_found	find string absent; left unchanged
D3_gene_set_citation_anchor	docs/manuscript/07_msp_full_results_draft.md	not_found	find string absent; left unchanged
D1_reference_todo	docs/manuscript/07_msp_full_results_draft.md	not_found	find string absent; left unchanged
C3_remove_submission_caution	docs/manuscript/07_msp_full_results_draft.md	already_absent	removed sections=0
text_file_no_change	docs/manuscript/07_msp_full_results_draft.md	verified	no text update needed
A1_direction_of_effect	docs/manuscript/09_msp_full_methods_draft.md	not_found	find string absent; left unchanged
A2_discussion_sender_label	docs/manuscript/09_msp_full_methods_draft.md	not_found	find string absent; left unchanged
A3_bulk_reframing	docs/manuscript/09_msp_full_methods_draft.md	not_found	find string absent; left unchanged
A4_methods_meta_analysis	docs/manuscript/09_msp_full_methods_draft.md	already_applied	replacement text already present
A5_results_subtype_relabel	docs/manuscript/09_msp_full_methods_draft.md	not_found	find string absent; left unchanged
A5_discussion_subtype_relabel	docs/manuscript/09_msp_full_methods_draft.md	not_found	find string absent; left unchanged
A5_methods_subtype_relabel	docs/manuscript/09_msp_full_methods_draft.md	already_applied	replacement text already present
A6_cnmf_gene_selection	docs/manuscript/09_msp_full_methods_draft.md	already_applied	replacement text already present
A6_program_rank_repro	docs/manuscript/09_msp_full_methods_draft.md	already_applied	replacement text already present
C1_abstract_results	docs/manuscript/09_msp_full_methods_draft.md	not_found	find string absent; left unchanged
C1_abstract_results_bold	docs/manuscript/09_msp_full_methods_draft.md	not_found	find string absent; left unchanged
C2_validation_roadmap_trim	docs/manuscript/09_msp_full_methods_draft.md	not_found	find string absent; left unchanged
C4_conclusion_positive_signal	docs/manuscript/09_msp_full_methods_draft.md	not_found	find string absent; left unchanged
D3_gene_set_citation_anchor	docs/manuscript/09_msp_full_methods_draft.md	not_found	find string absent; left unchanged
D1_reference_todo	docs/manuscript/09_msp_full_methods_draft.md	not_found	find string absent; left unchanged
C3_remove_submission_caution	docs/manuscript/09_msp_full_methods_draft.md	already_absent	removed sections=0
text_file_no_change	docs/manuscript/09_msp_full_methods_draft.md	verified	no text update needed
A1_direction_of_effect	docs/manuscript/11_msp_discussion_draft.md	not_found	find string absent; left unchanged
A2_discussion_sender_label	docs/manuscript/11_msp_discussion_draft.md	already_applied	replacement text already present
A3_bulk_reframing	docs/manuscript/11_msp_discussion_draft.md	not_found	find string absent; left unchanged
A4_methods_meta_analysis	docs/manuscript/11_msp_discussion_draft.md	not_found	find string absent; left unchanged
A5_results_subtype_relabel	docs/manuscript/11_msp_discussion_draft.md	not_found	find string absent; left unchanged
A5_discussion_subtype_relabel	docs/manuscript/11_msp_discussion_draft.md	already_applied	replacement text already present
A5_methods_subtype_relabel	docs/manuscript/11_msp_discussion_draft.md	not_found	find string absent; left unchanged
A6_cnmf_gene_selection	docs/manuscript/11_msp_discussion_draft.md	not_found	find string absent; left unchanged
A6_program_rank_repro	docs/manuscript/11_msp_discussion_draft.md	not_found	find string absent; left unchanged
C1_abstract_results	docs/manuscript/11_msp_discussion_draft.md	not_found	find string absent; left unchanged
C1_abstract_results_bold	docs/manuscript/11_msp_discussion_draft.md	not_found	find string absent; left unchanged
C2_validation_roadmap_trim	docs/manuscript/11_msp_discussion_draft.md	not_found	find string absent; left unchanged
C4_conclusion_positive_signal	docs/manuscript/11_msp_discussion_draft.md	already_applied	replacement text already present
D3_gene_set_citation_anchor	docs/manuscript/11_msp_discussion_draft.md	already_applied	replacement text already present
D1_reference_todo	docs/manuscript/11_msp_discussion_draft.md	not_found	find string absent; left unchanged
C3_remove_submission_caution	docs/manuscript/11_msp_discussion_draft.md	already_absent	removed sections=0
text_file_no_change	docs/manuscript/11_msp_discussion_draft.md	verified	no text update needed
A1_direction_of_effect	docs/manuscript/15_msp_integrated_manuscript_draft.md	already_applied	replacement text already present
