table_id	theme	source_output	suggested_upload_filename	readiness_status	action_needed
ST01	single_cell_msp_discovery	results/tables/gse220243_cnmf_msp_candidate_shortlist.tsv	ST01_single_cell_msp_discovery.xlsx	source_ready	Convert TSV/source output to journal supplementary XLSX format and add explanatory sheet.
ST02	single_cell_msp_discovery	results/tables/gse220243_cnmf_program_interpretation_priority.tsv	ST02_single_cell_msp_discovery.xlsx	source_ready	Convert TSV/source output to journal supplementary XLSX format and add explanatory sheet.
ST03	single_cell_msp_discovery	results/tables/gse220243_cnmf_program_signature_enrichment.tsv	ST03_single_cell_msp_discovery.xlsx	source_ready	Convert TSV/source output to journal supplementary XLSX format and add explanatory sheet.
ST04	single_cell_msp_discovery	results/tables/gse220243_fibrochondrocyte_cnmf_balanced_discovery_usage_summary.tsv	ST04_single_cell_msp_discovery.xlsx	source_ready	Convert TSV/source output to journal supplementary XLSX format and add explanatory sheet.
ST05	single_cell_msp_discovery	results/tables/gse220243_fibrochondrocyte_cnmf_balanced_discovery_top_genes.tsv	ST05_single_cell_msp_discovery.xlsx	source_ready	Convert TSV/source output to journal supplementary XLSX format and add explanatory sheet.
ST06	hra_projection	results/tables/hra001986_msp_projection_group_tests.tsv	ST06_hra_projection.xlsx	source_ready	Convert TSV/source output to journal supplementary XLSX format and add explanatory sheet.
ST07	hra_projection	results/tables/hra001986_msp_projection_group_summary.tsv	ST07_hra_projection.xlsx	source_ready	Convert TSV/source output to journal supplementary XLSX format and add explanatory sheet.
ST08	hra_projection	results/tables/hra001986_msp_projection_gene_coverage.tsv	ST08_hra_projection.xlsx	source_ready	Convert TSV/source output to journal supplementary XLSX format and add explanatory sheet.
ST09	bulk_validation	results/tables/bulk_msp_validation_group_tests.tsv	ST09_bulk_validation.xlsx	source_ready	Convert TSV/source output to journal supplementary XLSX format and add explanatory sheet.
ST10	bulk_validation	results/tables/bulk_msp_meta_axis_summary.tsv	ST10_bulk_validation.xlsx	source_ready	Convert TSV/source output to journal supplementary XLSX format and add explanatory sheet.
ST11	bulk_validation	results/tables/bulk_msp_meta_evidence_grade.tsv	ST11_bulk_validation.xlsx	source_ready	Convert TSV/source output to journal supplementary XLSX format and add explanatory sheet.
ST12	bulk_validation	results/tables/bulk_msp_covariate_adjusted_effects.tsv	ST12_bulk_validation.xlsx	source_ready	Convert TSV/source output to journal supplementary XLSX format and add explanatory sheet.
ST13	bulk_validation	results/tables/bulk_msp_robustness_flags.tsv	ST13_bulk_validation.xlsx	source_ready	Convert TSV/source output to journal supplementary XLSX format and add explanatory sheet.
ST14	bulk_subtyping	results/tables/bulk_msp_subtyping_subtype_profiles.tsv	ST14_bulk_subtyping.xlsx	source_ready	Convert TSV/source output to journal supplementary XLSX format and add explanatory sheet.
ST15	bulk_subtyping	results/tables/bulk_msp_subtype_axis_tests.tsv	ST15_bulk_subtyping.xlsx	source_ready	Convert TSV/source output to journal supplementary XLSX format and add explanatory sheet.
ST16	bulk_proxy	results/tables/bulk_cell_state_proxy_subtype_summary.tsv	ST16_bulk_proxy.xlsx	source_ready	Convert TSV/source output to journal supplementary XLSX format and add explanatory sheet.
ST17	bulk_proxy	results/tables/bulk_reference_deconv_subtype_summary.tsv	ST17_bulk_proxy.xlsx	source_ready	Convert TSV/source output to journal supplementary XLSX format and add explanatory sheet.
ST18	mechanism_axes	results/tables/msp_paracrine_lr_candidate_priority.tsv	ST18_mechanism_axes.xlsx	source_ready	Convert TSV/source output to journal supplementary XLSX format and add explanatory sheet.
ST19	mechanism_axes	results/tables/msp_lr_single_cell_context_priority.tsv	ST19_mechanism_axes.xlsx	source_ready	Convert TSV/source output to journal supplementary XLSX format and add explanatory sheet.
ST20	mechanism_axes	results/tables/msp_comm_tool_pair_edges.tsv	ST20_mechanism_axes.xlsx	source_ready	Convert TSV/source output to journal supplementary XLSX format and add explanatory sheet.
ST21	receiver_targets	results/tables/bulk_receiver_targets_s1_high_for_nichenet.tsv	ST21_receiver_targets.xlsx	source_ready	Convert TSV/source output to journal supplementary XLSX format and add explanatory sheet.
ST22	receiver_targets	results/tables/msp_axis_target_concordance_for_nichenet.tsv	ST22_receiver_targets.xlsx	source_ready	Convert TSV/source output to journal supplementary XLSX format and add explanatory sheet.
ST23	mechanism_axes	results/tables/msp_mechanism_axis_evidence_dossier.tsv	ST23_mechanism_axes.xlsx	source_ready	Convert TSV/source output to journal supplementary XLSX format and add explanatory sheet.
ST24	validation_roadmap	results/tables/msp_lr_validation_axis_plan.tsv	ST24_validation_roadmap.xlsx	source_ready	Convert TSV/source output to journal supplementary XLSX format and add explanatory sheet.
ST25	validation_roadmap	results/tables/msp_lr_validation_assay_matrix.tsv	ST25_validation_roadmap.xlsx	source_ready	Convert TSV/source output to journal supplementary XLSX format and add explanatory sheet.
ST26	manuscript_package	results/tables/manuscript_msp_mechanism_figure_panel_plan.tsv	ST26_manuscript_package.xlsx	source_ready	Convert TSV/source output to journal supplementary XLSX format and add explanatory sheet.
ST27	manuscript_package	results/tables/manuscript_figure_source_inventory.tsv	ST27_manuscript_package.xlsx	source_ready	Convert TSV/source output to journal supplementary XLSX format and add explanatory sheet.
ST28	manuscript_package	results/tables/manuscript_figure4_axis_summary.tsv	ST28_manuscript_package.xlsx	source_ready	Convert TSV/source output to journal supplementary XLSX format and add explanatory sheet.
