handoff_path	upload_category	source_path	bytes	sha256	readiness_status	portal_action
01_manuscript_files/JOT_Title_Page_and_Author_Statements.docx	title_page	submission/jot/metadata_clean/JOT_Title_Page_and_Author_Statements.docx	4409	a3a218f396e12e264b2082bc63eff3971ab4304ac632edabf9d50d23ae3160af	ready_needs_author_check	Upload as title page / author statements after author confirmation.
01_manuscript_files/JOT_Anonymized_Manuscript.docx	manuscript	submission/jot/metadata_clean/JOT_Anonymized_Manuscript.docx	17322	c36be41bfc9ddabb5e6e2f12dbf34b9377e5e886fb2ebd6ba3b0cd07c7eae6a2	ready_needs_final_metadata_check	Upload as anonymized manuscript after final metadata inspection.
01_manuscript_files/JOT_Cover_Letter.docx	cover_letter	submission/jot/metadata_clean/JOT_Cover_Letter.docx	4283	f9e4d0bfc1abec05eeeecff937ad1a4f83bac1c5701cd7a0d4ba7c44bc583fb3	ready_needs_author_check	Upload as cover letter after corresponding-author approval.
01_manuscript_files/JOT_Declarations.docx	declarations	submission/jot/metadata_clean/JOT_Declarations.docx	3994	eeb2612f1d9d8ce35e598f0cd6ceed1ba616bb8fc546af542e37d9b2d5f26496	ready_needs_author_check	Upload or use to fill declaration fields after author confirmation.
02_figures/Figure_1_MSP_discovery_workflow.png	main_figure	submission/jot/figures/Figure_1_MSP_discovery_workflow.png	351623	da49e564839db69758d71b704d511edf2885f0d97be18f26578c7cb0fbdbe5ef	ready_needs_visual_check	Upload as figure after confirming portal file-format requirements and visual readability.
02_figures/Figure_2_HRA_projection.png	main_figure	submission/jot/figures/Figure_2_HRA_projection.png	162174	4cc781d6693e72f2e2526028d10339f519a2fb2d3f5452674fad7918dba9ce0f	ready_needs_visual_check	Upload as figure after confirming portal file-format requirements and visual readability.
02_figures/Figure_3_bulk_validation_subtyping.png	main_figure	submission/jot/figures/Figure_3_bulk_validation_subtyping.png	249191	d198029df822f623b3d13f5aac8e740700c8a36ad4fb09455a3da83858c705d0	ready_needs_visual_check	Upload as figure after confirming portal file-format requirements and visual readability.
02_figures/Figure_4_candidate_paracrine_axes.png	main_figure	submission/jot/figures/Figure_4_candidate_paracrine_axes.png	285046	56effcd1f9695f6b824b2e812d939ed3f56c987b75da7517bb3a37707ed216e9	ready_needs_visual_check	Upload as figure after confirming portal file-format requirements and visual readability.
02_figures/Figure_5_validation_roadmap.png	main_figure	submission/jot/figures/Figure_5_validation_roadmap.png	322892	34590ce06ca3646cc326cffdeeefcb4ead22f74dad4ae5f75833e9bf01d3421c	ready_needs_visual_check	Upload as figure after confirming portal file-format requirements and visual readability.
02_figures/Supplementary_Figure_S1_guardrails_sensitivity.png	supplementary_figure	submission/jot/figures/Supplementary_Figure_S1_guardrails_sensitivity.png	248173	f8bd23ba0b552273c65932e253755319cdc8fd9681e071c4eac577484d629670	ready_needs_visual_check	Upload as figure after confirming portal file-format requirements and visual readability.
03_supplementary_tables/JOT_Supplementary_Tables_ST01_ST28.xlsx	supplementary_table	submission/jot/JOT_Supplementary_Tables_ST01_ST28.xlsx	1004771	523178ede06fddac5f10c0d1326fae283e236e55b6faf1149d6aff8c73ec5ff1	ready_needs_visual_check	Upload as supplementary table workbook after manual sheet review.
04_data_code_availability/Data_and_Code_Availability_URL_or_DOI.txt	data_code_availability	submission/jot/Data_and_Code_Availability_URL_or_DOI.txt	785	3c91e42a5b04a0d6201d290bf106831321fb628ff5ac0f555e91c69e5ba73ab8	deferred_needs_url_or_doi	Replace placeholder with final repository URL or DOI before upload/submission.
99_internal_checks/JOT_Author_Confirmation_Checklist.docx	internal_check	submission/jot/metadata_clean/JOT_Author_Confirmation_Checklist.docx	4875	972f91bd615aa830739c116147163bde19112a9b4ee38883dd12baa442352021	internal_not_for_upload	Do not upload unless specifically requested; use for author/submitter checks.
99_internal_checks/manuscript_jot_author_confirmation_items.tsv	internal_check	results/tables/manuscript_jot_author_confirmation_items.tsv	3832	7179f7936da77aec2458a9bfaf976f672a949c1f38a73a019808f2509b52a897	internal_not_for_upload	Do not upload unless specifically requested; use for author/submitter checks.
99_internal_checks/manuscript_jot_repository_release_checklist.tsv	internal_check	results/tables/manuscript_jot_repository_release_checklist.tsv	1292	b5a4deaa47385a0a87bdbfc350b832c7972a9d8d144f63ca3f878cfd9161dcbf	internal_not_for_upload	Do not upload unless specifically requested; use for author/submitter checks.
00_README_UPLOAD_HANDOFF.md	internal_check	submission/jot/upload_handoff/00_README_UPLOAD_HANDOFF.md	1298	17ffe5e4c3b109d2aed0cc753fe48637417f9d929f111dc2a88166e50bcd3594	internal_not_for_upload	Read before uploading files; do not upload unless requested.
JOT_UPLOAD_HANDOFF_MANIFEST.tsv	internal_check	submission/jot/upload_handoff/JOT_UPLOAD_HANDOFF_MANIFEST.tsv	4912	638a040f298fc729e5d3a5f4d6534e0519c2f3135df1d037e845a8a5eb519e20	internal_not_for_upload	Use as checksum and upload planning manifest.
