axis_id	phase	evidence_grade	ligand	receiver_context	target_gene_set_name	source	seed_gene_count	bulk_target_overlap_count	overlap_genes	mean_bulk_target_rank	hypergeom_p	fdr	overlap_score	max_combined_context_priority	concordance_tier
TWEAK_FN14	reserve_exploratory	context_supported	TNFSF12	HRA001986_chondrocyte:Ch.5(cycling)	matrix_remodeling_programs	gse220243_cnmf_program_interpretation_priority	35	8	COL5A2;TNC;COL1A2;LOXL2;HSPA5;TGFBI;TNFRSF12A;SERPINA3	78.875	1.4716334669471015e-08	9.41845418846145e-08	62.65760275425007	3.1524443404253395	reserve_overlap_not_mechanistic_priority
matrix_integrin	reserve_exploratory	context_supported	CCN1;CCN2;POSTN	GSE220243_meniscus:mural_smooth_muscle	matrix_remodeling_programs	gse220243_cnmf_program_interpretation_priority	35	8	COL5A2;TNC;COL1A2;LOXL2;HSPA5;TGFBI;TNFRSF12A;SERPINA3	78.875	1.4716334669471015e-08	9.41845418846145e-08	62.65760275425007	4.053111635553817	reserve_overlap_not_mechanistic_priority
ANGPTL4_integrin	phase_1_frontline	frontline_context_supported	ANGPTL4	GSE220243_meniscus:mural_smooth_muscle	msp_primary_cnmf_programs	gse220243_cnmf_program_interpretation_priority	38	8	FOSL1;INHBA;HSPA5;RCAN1;ANGPTL4;TNFRSF12A;SERPINA3;SDF2L1	114.75	2.9543173336064253e-08	1.0504239408378401e-07	60.23634285937667	12.847567562929704	frontline_target_concordant
MIF_CD74	phase_1_frontline	frontline_context_supported	MIF	GSE220243_meniscus:immune_myeloid	msp_primary_cnmf_programs	gse220243_cnmf_program_interpretation_priority	38	8	FOSL1;INHBA;HSPA5;RCAN1;ANGPTL4;TNFRSF12A;SERPINA3;SDF2L1	114.75	2.9543173336064253e-08	1.0504239408378401e-07	60.23634285937667	13.19189423348782	frontline_target_concordant
MIF_chemokine_receptors	phase_2_mechanistic	context_supported	MIF	GSE220243_meniscus:t_nk	msp_primary_cnmf_programs	gse220243_cnmf_program_interpretation_priority	38	8	FOSL1;INHBA;HSPA5;RCAN1;ANGPTL4;TNFRSF12A;SERPINA3;SDF2L1	114.75	2.9543173336064253e-08	1.0504239408378401e-07	60.23634285937667	11.806726678386472	target_concordant
VEGF	phase_1_frontline	frontline_context_supported	VEGFA	GSE220243_meniscus:endothelial	msp_primary_cnmf_programs	gse220243_cnmf_program_interpretation_priority	38	8	FOSL1;INHBA;HSPA5;RCAN1;ANGPTL4;TNFRSF12A;SERPINA3;SDF2L1	114.75	2.9543173336064253e-08	1.0504239408378401e-07	60.23634285937667	10.952357403816022	frontline_target_concordant
BMP2_BMPR	phase_2_mechanistic	priority_with_weak_context	BMP2	GSE220243_meniscus:endothelial	remodeling_msp_programs	gse220243_cnmf_program_interpretation_priority	22	7	FOSL1;INHBA;HSPA5;RCAN1;TNFRSF12A;SERPINA3;SDF2L1	114.14285714285714	9.493669902206532e-09	9.41845418846145e-08	56.15796111034567	9.339648852025029	target_concordant
FGF_FGFR	phase_2_mechanistic	context_supported	FGF1;FGF2	GSE220243_meniscus:outer_fibrous_like	remodeling_msp_programs	gse220243_cnmf_program_interpretation_priority	22	7	FOSL1;INHBA;HSPA5;RCAN1;TNFRSF12A;SERPINA3;SDF2L1	114.14285714285714	9.493669902206532e-09	9.41845418846145e-08	56.15796111034567	9.224283749005776	target_concordant
INHBA_activin	phase_2_mechanistic	priority_with_sparse_receptor_context	INHBA	HRA001986_chondrocyte:Ch.4(CFD)	remodeling_msp_programs	gse220243_cnmf_program_interpretation_priority	22	7	FOSL1;INHBA;HSPA5;RCAN1;TNFRSF12A;SERPINA3;SDF2L1	114.14285714285714	9.493669902206532e-09	9.41845418846145e-08	56.15796111034567	9.600173142527373	target_concordant
TWEAK_FN14	reserve_exploratory	context_supported	TNFSF12	HRA001986_chondrocyte:Ch.5(cycling)	matrix_proxy_signatures	bulk_cell_state_proxy_signature_gene_sets	30	5	COL5A2;TIMP1;COL1A2;BGN;MMP13	72.4	4.2515936143522065e-05	0.00012368272332660964	21.85724126951955	3.1524443404253395	reserve_overlap_not_mechanistic_priority
matrix_integrin	reserve_exploratory	context_supported	CCN1;CCN2;POSTN	GSE220243_meniscus:mural_smooth_muscle	matrix_proxy_signatures	bulk_cell_state_proxy_signature_gene_sets	30	5	COL5A2;TIMP1;COL1A2;BGN;MMP13	72.4	4.2515936143522065e-05	0.00012368272332660964	21.85724126951955	4.053111635553817	reserve_overlap_not_mechanistic_priority
BMP2_BMPR	phase_2_mechanistic	priority_with_weak_context	BMP2	GSE220243_meniscus:endothelial	sasp_matrix_remodeling	bulk_cell_state_proxy_signature_gene_sets	26	4	TIMP1;SPP1;BGN;MMP13	87.5	0.00035628281557419745	0.0008143607213124514	13.792820497082381	9.339648852025029	target_concordant
FGF_FGFR	phase_2_mechanistic	context_supported	FGF1;FGF2	GSE220243_meniscus:outer_fibrous_like	sasp_matrix_remodeling	bulk_cell_state_proxy_signature_gene_sets	26	4	TIMP1;SPP1;BGN;MMP13	87.5	0.00035628281557419745	0.0008143607213124514	13.792820497082381	9.224283749005776	target_concordant
INHBA_activin	phase_2_mechanistic	priority_with_sparse_receptor_context	INHBA	HRA001986_chondrocyte:Ch.4(CFD)	sasp_matrix_remodeling	bulk_cell_state_proxy_signature_gene_sets	26	4	TIMP1;SPP1;BGN;MMP13	87.5	0.00035628281557419745	0.0008143607213124514	13.792820497082381	9.600173142527373	target_concordant
ANGPTL4_integrin	phase_1_frontline	frontline_context_supported	ANGPTL4	GSE220243_meniscus:mural_smooth_muscle	communication_axes	bulk_cell_state_proxy_signature_gene_sets	8	2	SPP1;ANGPTL4	63.0	0.0046309309576635	0.008232766146957332	4.6686633876685635	12.847567562929704	has_target_overlap
MIF_CD74	phase_1_frontline	frontline_context_supported	MIF	GSE220243_meniscus:immune_myeloid	communication_axes	bulk_cell_state_proxy_signature_gene_sets	8	2	SPP1;ANGPTL4	63.0	0.0046309309576635	0.008232766146957332	4.6686633876685635	13.19189423348782	has_target_overlap
MIF_chemokine_receptors	phase_2_mechanistic	context_supported	MIF	GSE220243_meniscus:t_nk	communication_axes	bulk_cell_state_proxy_signature_gene_sets	8	2	SPP1;ANGPTL4	63.0	0.0046309309576635	0.008232766146957332	4.6686633876685635	11.806726678386472	has_target_overlap
VEGF	phase_1_frontline	frontline_context_supported	VEGFA	GSE220243_meniscus:endothelial	communication_axes	bulk_cell_state_proxy_signature_gene_sets	8	2	SPP1;ANGPTL4	63.0	0.0046309309576635	0.008232766146957332	4.6686633876685635	10.952357403816022	has_target_overlap
IL11_gp130	phase_3_secondary	priority_with_weak_context	IL11	HRA001986_chondrocyte:Ch.4(CFD)	inflammatory_sasp_like	bulk_cell_state_proxy_signature_gene_sets	28	2	TIMP1;MMP13	136.0	0.05258771284475151	0.07649121868327492	2.5582314343952848	8.50428195638953	has_target_overlap
IL6_gp130	phase_3_secondary	priority_with_weak_context	IL6	GSE220243_meniscus:endothelial	inflammatory_sasp_like	bulk_cell_state_proxy_signature_gene_sets	28	2	TIMP1;MMP13	136.0	0.05258771284475151	0.07649121868327492	2.5582314343952848	7.004118192431696	has_target_overlap
