axis_id	ligand	receiver_context	target_gene_set_name	source	genes	n_genes
ANGPTL4_integrin	ANGPTL4	GSE220243_meniscus:mural_smooth_muscle	communication_axes	bulk_cell_state_proxy_signature_gene_sets	ANGPTL4;CCN1;CCN2;CXCL12;FGF2;IL11;MIF;POSTN;SPP1;VEGFA	10
ANGPTL4_integrin	ANGPTL4	GSE220243_meniscus:mural_smooth_muscle	msp_primary_cnmf_programs	gse220243_cnmf_program_interpretation_priority	GEM;CDKN1A;PPP1R15A;ABL2;MAT2A;HMOX1;KDM6B;IRF1;NFKBIA;MYC;IER3;SOCS3;ATF3;NR4A3;NFKBIZ;ARID5B;NR4A1;KCNQ1OT1;NR4A2;HSPH1;TNFRSF12A;VEGFA;BMP2;HSPA5;RPS17;MIF;RPL17;PTGS2;FOSL1;INHBA;SDF2L1;CHAC1;RCAN1;SERPINA3;GLIS3;EEF1G;NME2;GAS5;ANGPTL4;IL11;SLC2A1;FGF2;BNIP3;EGLN3;EIF4EBP1;BHLHE40;RFLNB	47
BMP2_BMPR	BMP2	GSE220243_meniscus:endothelial	remodeling_msp_programs	gse220243_cnmf_program_interpretation_priority	RPS17;RPL17;EEF1G;GAS5;NME2;MIF;SNHG29;GABARAP;RNASEK;VEGFA;SEPTIN7;SNHG5;SERPINA3;BMP2;MICOS10;TNFRSF12A;ECRG4;HSPA5;FOSL1;CHAC1;FGF2;PAPSS2;PTGS2;KDM6B;CDKN1A;INHBA;SDF2L1;RCAN1;GLIS3	29
BMP2_BMPR	BMP2	GSE220243_meniscus:endothelial	sasp_matrix_remodeling	bulk_cell_state_proxy_signature_gene_sets	ADAMTS5;ALPL;COL10A1;IBSP;MMP13;MMP3;RUNX2;SPP1;ACAN;BGN;CHAD;CILP;COL2A1;COMP;FMOD;FRZB;PCOLCE2;PRELP;CXCL1;CXCL2;CXCL8;IL6;MMP1;MMP9;SERPINE1;TIMP1	26
CCL2_chemokine	CCL2	GSE220243_meniscus:t_nk	chemokine_inflammatory_programs	gse220243_cnmf_program_interpretation_priority	GEM;CDKN1A;ABL2;MAT2A;HMOX1;PPP1R15A;KDM6B;IER3;NFKBIA;IRF1;MYC;NR4A3;NFKBIZ;SOCS3;ARID5B;NR4A2;IL6;ATF3;NR4A1;KCNQ1OT1;HSPH1	21
CCL2_chemokine	CCL2	GSE220243_meniscus:t_nk	immune_migration_signatures	bulk_cell_state_proxy_signature_gene_sets	AIF1;C1QA;C1QB;CD68;CD74;FCGR3A;LST1;LYZ;PTPRC;TYROBP;C1R;C1S;CCL2;CCL3;CFD;CXCL8;FOS;IER3;IL6;JUN;NFKBIA;PTGS2;SOD2;CD3D;CD3E;GNLY;KLRD1;NKG7;TRAC	29
CXCL12_CXCR4_ACKR3	CXCL12	HRA001986_chondrocyte:Ch.3(PRG4)	chemokine_inflammatory_programs	gse220243_cnmf_program_interpretation_priority	GEM;CDKN1A;ABL2;MAT2A;HMOX1;PPP1R15A;KDM6B;IER3;NFKBIA;IRF1;MYC;NR4A3;NFKBIZ;SOCS3;ARID5B;NR4A2;IL6;ATF3;NR4A1;KCNQ1OT1;HSPH1	21
CXCL12_CXCR4_ACKR3	CXCL12	HRA001986_chondrocyte:Ch.3(PRG4)	immune_migration_signatures	bulk_cell_state_proxy_signature_gene_sets	AIF1;C1QA;C1QB;CD68;CD74;FCGR3A;LST1;LYZ;PTPRC;TYROBP;C1R;C1S;CCL2;CCL3;CFD;CXCL8;FOS;IER3;IL6;JUN;NFKBIA;PTGS2;SOD2;CD3D;CD3E;GNLY;KLRD1;NKG7;TRAC	29
CXCL8_chemokine	CXCL8	GSE220243_meniscus:immune_myeloid	chemokine_inflammatory_programs	gse220243_cnmf_program_interpretation_priority	GEM;CDKN1A;ABL2;MAT2A;HMOX1;PPP1R15A;KDM6B;IER3;NFKBIA;IRF1;MYC;NR4A3;NFKBIZ;SOCS3;ARID5B;NR4A2;IL6;ATF3;NR4A1;KCNQ1OT1;HSPH1	21
CXCL8_chemokine	CXCL8	GSE220243_meniscus:immune_myeloid	immune_migration_signatures	bulk_cell_state_proxy_signature_gene_sets	AIF1;C1QA;C1QB;CD68;CD74;FCGR3A;LST1;LYZ;PTPRC;TYROBP;C1R;C1S;CCL2;CCL3;CFD;CXCL8;FOS;IER3;IL6;JUN;NFKBIA;PTGS2;SOD2;CD3D;CD3E;GNLY;KLRD1;NKG7;TRAC	29
