reference_name	state	n_cells	communication_role	top_ligands	top_receptors	recommended_use
GSE220243_meniscus	endothelial	3054	receiver_candidate	MIF;CXCL12;CCL2;CCN2;POSTN;CCN1;TNFSF12;ANGPTL4	CD74;ITGB1;IL6ST;FLT1;BMPR2;KDR;LIFR;FGFR1	receiver candidate grouping for formal communication analyses
GSE220243_meniscus	fibrochondrocyte_core	52133	sender_receiver_candidate	MIF;VEGFA;ANGPTL4;FGF2;INHBA;CCN2;CCN1;TNFSF12	CD44;ACKR3;ITGB1;IL6ST;FGFR1;TNFRSF12A;ITGAV;BMPR2	sender and receiver grouping for CellChat/LIANA; use receiver states for NicheNet target context
GSE220243_meniscus	immune_myeloid	3108	receiver_candidate	CXCL8;MIF;CCL2;TNFSF12;VEGFA;CXCL12;CCN2;SPP1	CD74;CD44;ITGB1;CXCR4;IL6ST;FGFR1;IL6R;ITGAV	receiver candidate grouping for formal communication analyses
GSE220243_meniscus	inflammatory_like	14299	sender_receiver_candidate	MIF;VEGFA;ANGPTL4;CCN2;CCN1;FGF2;CXCL12;TNFSF12	ACKR3;CD44;IL6ST;ITGB1;FGFR1;IL6R;LIFR;ITGAV	sender and receiver grouping for CellChat/LIANA; use receiver states for NicheNet target context
GSE220243_meniscus	mural_smooth_muscle	5076	receiver_candidate	MIF;CCL2;CXCL12;VEGFA;CCN1;ANGPTL4;TNFSF12;CCN2	ITGB1;CD44;IL6ST;TNFRSF12A;ITGAV;ACKR3;FGFR1;BMPR2	receiver candidate grouping for formal communication analyses
GSE220243_meniscus	outer_fibrous_like	22420	sender_receiver_candidate	MIF;CXCL12;ANGPTL4;VEGFA;CCN2;CCL2;TNFSF12;CCN1	ITGB1;CD44;ACKR3;IL6ST;FGFR1;ITGAV;TNFRSF12A;BMPR2	sender and receiver grouping for CellChat/LIANA; use receiver states for NicheNet target context
GSE220243_meniscus	t_nk	952	receiver_candidate	MIF;VEGFA;TNFSF12;CCL2;ANGPTL4;CCN2;POSTN;LIF	CXCR4;CD44;ITGB1;CD74;IL6ST;TNFRSF12A;FGFR1;IL6R	receiver candidate grouping for formal communication analyses
HRA001986_chondrocyte	Ch.1(CHAD)	10389	sender_receiver_candidate	MIF;ANGPTL4;CCL2;VEGFA;INHBA;TNFSF12;FGF2;BMP2	CD44;ITGB1;IL6ST;FGFR1;TNFRSF12A;ACKR3;ITGAV;IL11RA	sender and receiver grouping for CellChat/LIANA; use receiver states for NicheNet target context
HRA001986_chondrocyte	Ch.2(FNDC1)	6156	sender_receiver_candidate	MIF;POSTN;CXCL12;ANGPTL4;VEGFA;INHBA;TNFSF12;CCL2	ITGB1;CD44;TNFRSF12A;FGFR1;ITGAV;IL6ST;IL11RA;BMPR2	sender and receiver grouping for CellChat/LIANA; use receiver states for NicheNet target context
HRA001986_chondrocyte	Ch.3(PRG4)	4729	sender_receiver_candidate	MIF;INHBA;ANGPTL4;VEGFA;FGF2;BMP2;IL11;CCL2	ITGB1;CD44;ACKR3;TNFRSF12A;ITGAV;FGFR1;IL6ST;BMPR2	sender and receiver grouping for CellChat/LIANA; use receiver states for NicheNet target context
HRA001986_chondrocyte	Ch.4(CFD)	2224	sender_receiver_candidate	CXCL12;MIF;CCL2;TNFSF12;ANGPTL4;IL6;VEGFA;INHBA	ITGB1;CD44;IL6ST;FGFR1;IL11RA;TNFRSF12A;ITGAV;CD74	sender and receiver grouping for CellChat/LIANA; use receiver states for NicheNet target context
HRA001986_chondrocyte	Ch.5(cycling)	292	sender_receiver_candidate	MIF;POSTN;ANGPTL4;VEGFA;CCL2;INHBA;TNFSF12;IL11	CD44;ITGB1;TNFRSF12A;FGFR1;IL6ST;ITGAV;BMPR2;CD74	sender and receiver grouping for CellChat/LIANA; use receiver states for NicheNet target context
HRA001986_chondrocyte	PCL.1	2880	sender_receiver_candidate	CXCL12;CCL2;MIF;TNFSF12;ANGPTL4;VEGFA;POSTN;IL6	CD44;ITGB1;IL6ST;TNFRSF12A;ITGAV;BMPR2;FGFR1;IL6R	sender and receiver grouping for CellChat/LIANA; use receiver states for NicheNet target context
HRA001986_chondrocyte	PCL.2	2016	sender_receiver_candidate	CXCL12;MIF;TNFSF12;CCL2;IL6;ANGPTL4;VEGFA;INHBA	ITGB1;CD44;ACKR3;TNFRSF12A;FGFR1;IL6ST;ITGAV;BMPR2	sender and receiver grouping for CellChat/LIANA; use receiver states for NicheNet target context
