ligand	in_primary_msp_top_genes	n_msp_programs	source_programs	best_top_gene_rank	max_msp_rank_score
ANGPTL4	True	9	K14_P9_angiogenic_paracrine;K26_P2_other_fibrochondrocyte_program;K10_P5_senescence_paracrine_MSP_like;K16_P11_angiogenic_paracrine;K20_P11_angiogenic_paracrine;K18_P11_angiogenic_paracrine;K18_P3_angiogenic_paracrine;K20_P3_angiogenic_paracrine;K28_P3_other_fibrochondrocyte_program	6.0	17.303521620273752
BMP2	True	16	K12_P8_senescence_paracrine_MSP_like;K14_P9_angiogenic_paracrine;K24_P17_angiogenic_paracrine;K26_P19_angiogenic_paracrine;K9_P3_senescence_paracrine_MSP_like;K5_P2_fibrocartilage_matrix;K8_P3_senescence_paracrine_MSP_like;K7_P3_senescence_paracrine_MSP_like;K6_P4_senescence_paracrine_MSP_like;K10_P5_senescence_paracrine_MSP_like;K30_P23_angiogenic_paracrine;K28_P20_angiogenic_paracrine;K16_P11_angiogenic_paracrine;K20_P11_angiogenic_paracrine;K18_P11_angiogenic_paracrine;K22_P16_angiogenic_paracrine	3.0	21.248100914976757
CCL2	False	0			0.0
CCN1	False	0			0.0
CCN2	False	0			0.0
CXCL12	False	0			0.0
CXCL8	False	0			0.0
FGF1	False	5	K24_P17_angiogenic_paracrine;K26_P19_angiogenic_paracrine;K30_P23_angiogenic_paracrine;K28_P20_angiogenic_paracrine;K22_P16_angiogenic_paracrine	3.0	13.497223841308188
FGF2	True	10	K14_P9_angiogenic_paracrine;K24_P17_angiogenic_paracrine;K26_P19_angiogenic_paracrine;K5_P2_fibrocartilage_matrix;K30_P23_angiogenic_paracrine;K28_P20_angiogenic_paracrine;K16_P11_angiogenic_paracrine;K20_P11_angiogenic_paracrine;K18_P11_angiogenic_paracrine;K22_P16_angiogenic_paracrine	3.0	20.55429423345716
IL11	True	9	K14_P9_angiogenic_paracrine;K24_P17_angiogenic_paracrine;K26_P19_angiogenic_paracrine;K30_P23_angiogenic_paracrine;K28_P20_angiogenic_paracrine;K16_P11_angiogenic_paracrine;K20_P11_angiogenic_paracrine;K18_P11_angiogenic_paracrine;K22_P16_angiogenic_paracrine	1.0	13.497223841308188
IL6	False	5	K22_P9_senescence_inflammatory;K16_P9_senescence_inflammatory;K28_P7_senescence_inflammatory;K30_P9_senescence_inflammatory;K20_P9_senescence_inflammatory	16.0	21.834433379011863
INHBA	True	11	K12_P8_senescence_paracrine_MSP_like;K14_P9_angiogenic_paracrine;K24_P17_angiogenic_paracrine;K26_P19_angiogenic_paracrine;K10_P5_senescence_paracrine_MSP_like;K30_P23_angiogenic_paracrine;K28_P20_angiogenic_paracrine;K16_P11_angiogenic_paracrine;K20_P11_angiogenic_paracrine;K18_P11_angiogenic_paracrine;K22_P16_angiogenic_paracrine	2.0	20.014534915359
LIF	False	5	K24_P17_angiogenic_paracrine;K26_P19_angiogenic_paracrine;K30_P23_angiogenic_paracrine;K28_P20_angiogenic_paracrine;K22_P16_angiogenic_paracrine	14.0	13.497223841308188
MIF	True	11	K12_P8_senescence_paracrine_MSP_like;K14_P9_angiogenic_paracrine;K9_P3_senescence_paracrine_MSP_like;K5_P2_fibrocartilage_matrix;K8_P3_senescence_paracrine_MSP_like;K7_P3_senescence_paracrine_MSP_like;K6_P4_senescence_paracrine_MSP_like;K10_P5_senescence_paracrine_MSP_like;K16_P11_angiogenic_paracrine;K20_P11_angiogenic_paracrine;K18_P11_angiogenic_paracrine	3.0	21.248100914976757
POSTN	False	0			0.0
SPP1	False	0			0.0
TNFSF12	False	0			0.0
VEGFA	True	11	K12_P8_senescence_paracrine_MSP_like;K14_P9_angiogenic_paracrine;K9_P3_senescence_paracrine_MSP_like;K5_P2_fibrocartilage_matrix;K8_P3_senescence_paracrine_MSP_like;K7_P3_senescence_paracrine_MSP_like;K6_P4_senescence_paracrine_MSP_like;K10_P5_senescence_paracrine_MSP_like;K16_P11_angiogenic_paracrine;K20_P11_angiogenic_paracrine;K18_P11_angiogenic_paracrine	1.0	21.248100914976757
