receptor	reference_name	top_state	top_state_mean_expression	detected_states	n_detected_states	context_support
ACKR3	GSE220243_broad	inflammatory_like	1.2933690547943115	fibrochondrocyte_core;inflammatory_like;outer_fibrous_like	3	1.2800219393742842
ACKR3	HRA001986_chondrocyte	Ch.3(PRG4)	0.7462174487141667	Ch.1(CHAD);Ch.3(PRG4);PCL.2	3	1.0074519907362207
ACVR1B	GSE220243_broad	endothelial	0.06468488276004791	endothelial;inflammatory_like;mural_smooth_muscle	3	0.512678870646515
ACVR1B	HRA001986_chondrocyte	Ch.4(CFD)	0.017401703586466883	Ch.4(CFD);PCL.1;PCL.2	3	0.46725202785614484
ACVR2A	GSE220243_broad	immune_myeloid	0.072990283370018	endothelial;immune_myeloid;outer_fibrous_like	3	0.5204494080344169
ACVR2A	HRA001986_chondrocyte	Ch.4(CFD)	0.05331895755027697	Ch.3(PRG4);Ch.4(CFD);PCL.1	3	0.5019460909422709
ACVR2B	GSE220243_broad	mural_smooth_muscle	0.047815628349781036	endothelial;immune_myeloid;mural_smooth_muscle	3	0.4967076432746991
ACVR2B	HRA001986_chondrocyte	PCL.1	0.016332391897837324	PCL.1;PCL.2	2	0.31620045303174493
BMPR1A	GSE220243_broad	outer_fibrous_like	0.1472947746515274	fibrochondrocyte_core;mural_smooth_muscle;outer_fibrous_like	3	0.5874068013381942
BMPR1A	HRA001986_chondrocyte	Ch.3(PRG4)	0.10441058068415097	Ch.2(FNDC1);Ch.3(PRG4);Ch.4(CFD)	3	0.549311781509816
BMPR2	GSE220243_broad	endothelial	0.7498245239257812	endothelial;immune_myeloid;outer_fibrous_like	3	1.0095155108654346
BMPR2	HRA001986_chondrocyte	Ch.2(FNDC1)	0.20656226956617738	Ch.2(FNDC1);Ch.3(PRG4);Ch.5(cycling)	3	0.637775216492657
CCR2	GSE220243_broad	t_nk	0.03340752795338631	immune_myeloid;t_nk	2	0.3328616214906174
CCR2	HRA001986_chondrocyte	Ch.5(cycling)	0.003240929278608871		0	0.0032356887869701896
CD44	GSE220243_broad	immune_myeloid	1.5283141136169434	immune_myeloid;mural_smooth_muscle;t_nk	3	1.3775527223699169
