ligand	receptor	pathway	previous_priority_score	single_cell_context_score	combined_context_priority	context_tier	best_reference	best_ligand_state	best_receptor_state	recommended_next_step	context_call	ligand_state_support	receptor_state_support
MIF	CD74	MIF_CD74	11.19189423348782	1.1306906089520332	13.19189423348782	high_context_priority	GSE220243_meniscus	fibrochondrocyte_core	immune_myeloid	MIF->CD74: CellChat/LIANA/NicheNet consensus + synovial fluid proteomics + immune/synovial fibroblast response assay	context_supported	0.8309141418604672	1.5386201639434942
ANGPTL4	ITGB1	ANGPTL4_integrin	11.472108815239029	0.7779525436986666	12.847567562929704	high_context_priority	GSE220243_meniscus	fibrochondrocyte_core	mural_smooth_muscle	ANGPTL4->ITGB1: CellChat/LIANA consensus + synovial fluid proteomics + endothelial angiogenesis readout	context_supported	0.619709509959343	0.9766029898216851
ANGPTL4	ITGAV	ANGPTL4_integrin	11.369961732834922	0.43226981276521215	12.133371067815306	high_context_priority	GSE220243_meniscus	fibrochondrocyte_core	outer_fibrous_like	ANGPTL4->ITGAV: CellChat/LIANA consensus + synovial fluid proteomics + endothelial angiogenesis readout	context_supported	0.619709509959343	0.301523839839622
MIF	CXCR4	MIF_CXCR4	10.393114956953053	0.7995011701375385	11.806726678386473	high_context_priority	GSE220243_meniscus	fibrochondrocyte_core	t_nk	MIF->CXCR4: CellChat/LIANA/NicheNet consensus + synovial fluid proteomics + immune/synovial fibroblast response assay	context_supported	0.8309141418604672	0.7692757757378891
VEGFA	FLT1	VEGF	9.805797582239036	0.6486714689300044	10.952357403816022	high_context_priority	GSE220243_meniscus	fibrochondrocyte_core	endothelial	VEGFA->FLT1: CellChat/LIANA consensus + synovial fluid proteomics + endothelial angiogenesis readout	context_supported	0.7142404048536378	0.5891219143364409
VEGFA	KDR	VEGF	9.566347163634603	0.47018365818932395	10.396884951236139	high_context_priority	GSE220243_meniscus	fibrochondrocyte_core	endothelial	VEGFA->KDR: CellChat/LIANA consensus + synovial fluid proteomics + endothelial angiogenesis readout	context_supported	0.7142404048536378	0.3095213753324376
INHBA	ACVR1B	activin	9.478481531140368	0.06983055447421348	9.600173142527373	high_context_priority	GSE220243_meniscus	fibrochondrocyte_core	endothelial	INHBA->ACVR1B: LIANA/NicheNet target check + conditioned-medium blockade assay in chondrocytes/synovial fibroblasts	ligand_or_receptor_sparse	0.2457783483237294	0.019840260020598802
INHBA	ACVR2A	activin	9.46134158467862	0.07677285254598636	9.595324899056441	high_context_priority	HRA001986_chondrocyte	Ch.3(PRG4)	Ch.4(CFD)	INHBA->ACVR2A: LIANA/NicheNet target check + conditioned-medium blockade assay in chondrocytes/synovial fibroblasts	ligand_or_receptor_sparse	0.6020274989935681	0.009790368210590218
INHBA	ACVR2B	activin	9.386321217078148	0.05175793941607506	9.476014315254488	high_context_priority	GSE220243_meniscus	fibrochondrocyte_core	endothelial	INHBA->ACVR2B: LIANA/NicheNet target check + conditioned-medium blockade assay in chondrocytes/synovial fibroblasts	ligand_or_receptor_sparse	0.2457783483237294	0.010899594333141083
BMP2	BMPR2	BMP	8.95928091600278	0.2159297688036064	9.339648852025029	medium_context_priority	GSE220243_meniscus	mural_smooth_muscle	endothelial	BMP2->BMPR2: LIANA/NicheNet target check + conditioned-medium blockade assay in chondrocytes/synovial fibroblasts	context_weak_supported	0.10732985214832562	0.43441469565376917
