reference_name	state	gene	role	n_cells	mean_expression	expressing_fraction	state_detection_score
HRA001986_chondrocyte	Ch.1(CHAD)	ACKR3	receptor	10389	0.1717310423100114	0.11184907113293016	0.05300253285699903
HRA001986_chondrocyte	Ch.1(CHAD)	ACVR1B	receptor	10389	0.0075386761299443186	0.005390316681105008	0.0005514045462184328
HRA001986_chondrocyte	Ch.1(CHAD)	ACVR2A	receptor	10389	0.01587966822438456	0.011454422947348155	0.0016861740688224039
HRA001986_chondrocyte	Ch.1(CHAD)	ACVR2B	receptor	10389	0.004812170473762077	0.003080180960631437	0.00026643192321732266
HRA001986_chondrocyte	Ch.1(CHAD)	ANGPTL4	ligand	10389	0.4120197480854437	0.21301376455866033	0.15923902896071782
HRA001986_chondrocyte	Ch.1(CHAD)	BMP2	ligand	10389	0.09657218048003173	0.05890846087207545	0.022375280208413728
HRA001986_chondrocyte	Ch.1(CHAD)	BMPR1A	receptor	10389	0.07074391139357981	0.05149677543555629	0.015511426374222363
HRA001986_chondrocyte	Ch.1(CHAD)	BMPR2	receptor	10389	0.08224624904411014	0.05900471652709518	0.01919921094856468
HRA001986_chondrocyte	Ch.1(CHAD)	CCL2	ligand	10389	0.4281306688446368	0.15872557512753688	0.14197770812663105
HRA001986_chondrocyte	Ch.1(CHAD)	CCN1	ligand	10389	0.0	0.0	0.0
HRA001986_chondrocyte	Ch.1(CHAD)	CCN2	ligand	10389	0.0	0.0	0.0
HRA001986_chondrocyte	Ch.1(CHAD)	CCR2	receptor	10389	0.0	0.0	0.0
HRA001986_chondrocyte	Ch.1(CHAD)	CD44	receptor	10389	0.7574196343461412	0.4344980267590949	0.371667753682324
HRA001986_chondrocyte	Ch.1(CHAD)	CD74	receptor	10389	0.03188105699634838	0.013668303012802011	0.0036690815812321057
HRA001986_chondrocyte	Ch.1(CHAD)	CXCL12	ligand	10389	0.08696662543460024	0.045528924824333065	0.01779354088695632
HRA001986_chondrocyte	Ch.1(CHAD)	CXCL8	ligand	10389	0.003553645708802139	0.0015400904803157184	0.00013921201555025056
HRA001986_chondrocyte	Ch.1(CHAD)	CXCR1	receptor	10389	0.0	0.0	0.0
HRA001986_chondrocyte	Ch.1(CHAD)	CXCR2	receptor	10389	0.0	0.0	0.0
HRA001986_chondrocyte	Ch.1(CHAD)	CXCR4	receptor	10389	0.0005956503858189	0.000481278275098662	1.3063520908578596e-05
HRA001986_chondrocyte	Ch.1(CHAD)	FGF1	ligand	10389	0.012900046838558794	0.0092405428818943	0.0012321221415790915
HRA001986_chondrocyte	Ch.1(CHAD)	FGF2	ligand	10389	0.12101151672493028	0.08114351718163428	0.03253962028874361
HRA001986_chondrocyte	Ch.1(CHAD)	FGFR1	receptor	10389	0.27616451969962746	0.18394455674270416	0.10458814391472675
HRA001986_chondrocyte	Ch.1(CHAD)	FGFR2	receptor	10389	0.02535112768580886	0.019539897969005713	0.0034995385368030932
HRA001986_chondrocyte	Ch.1(CHAD)	FLT1	receptor	10389	0.015202018326269055	0.010010588122052163	0.0015095610890940375
HRA001986_chondrocyte	Ch.1(CHAD)	IL11	ligand	10389	0.002169629787157194	0.0017326017903551833	9.021199981956958e-05
HRA001986_chondrocyte	Ch.1(CHAD)	IL11RA	receptor	10389	0.11159835683535256	0.08162479545673296	0.030226813911896824
HRA001986_chondrocyte	Ch.1(CHAD)	IL6	ligand	10389	0.04734813649519679	0.026662816440465944	0.007553907181991501
HRA001986_chondrocyte	Ch.1(CHAD)	IL6R	receptor	10389	0.0613149249533026	0.042352488208681996	0.012246710471736186
HRA001986_chondrocyte	Ch.1(CHAD)	IL6ST	receptor	10389	0.3560499127996196	0.23313119645778232	0.14706044363181484
HRA001986_chondrocyte	Ch.1(CHAD)	INHBA	ligand	10389	0.20420723493730988	0.12455481759553536	0.06558071077062526
HRA001986_chondrocyte	Ch.1(CHAD)	ITGAV	receptor	10389	0.13698777466487438	0.0971219559149105	0.04000961859919745
HRA001986_chondrocyte	Ch.1(CHAD)	ITGB1	receptor	10389	0.6446618819066935	0.37943979208779777	0.3064749037038087
