ligand	receptor	pathway	reference_name	top_ligand_state	top_receptor_state	ligand_state_support	receptor_state_support	pair_context_score	context_call
ANGPTL4	ITGB1	ANGPTL4_integrin	GSE220243_meniscus	fibrochondrocyte_core	mural_smooth_muscle	0.619709509959343	0.9766029898216851	0.7779525436986666	context_supported
ANGPTL4	ITGB1	ANGPTL4_integrin	HRA001986_chondrocyte	Ch.3(PRG4)	Ch.2(FNDC1)	0.3820686378645924	0.9761500753049303	0.6107015061576105	context_supported
ANGPTL4	ITGAV	ANGPTL4_integrin	GSE220243_meniscus	fibrochondrocyte_core	outer_fibrous_like	0.619709509959343	0.301523839839622	0.43226981276521215	context_supported
ANGPTL4	ITGAV	ANGPTL4_integrin	HRA001986_chondrocyte	Ch.3(PRG4)	Ch.3(PRG4)	0.3820686378645924	0.2911103331438741	0.3335028162588551	context_supported
MIF	CD74	MIF_CD74	GSE220243_meniscus	fibrochondrocyte_core	immune_myeloid	0.8309141418604672	1.5386201639434942	1.1306906089520332	context_supported
MIF	CD74	MIF_CD74	HRA001986_chondrocyte	Ch.5(cycling)	Ch.5(cycling)	1.0373272541675558	0.0836247565324232	0.29452714488516835	context_weak_supported
MIF	CXCR4	MIF_CXCR4	GSE220243_meniscus	fibrochondrocyte_core	t_nk	0.8309141418604672	0.7692757757378891	0.7995011701375385	context_supported
MIF	CXCR4	MIF_CXCR4	HRA001986_chondrocyte	Ch.5(cycling)	Ch.5(cycling)	1.0373272541675558	0.0019617828191049918	0.045111093813110625	ligand_or_receptor_sparse
VEGFA	FLT1	VEGF	GSE220243_meniscus	fibrochondrocyte_core	endothelial	0.7142404048536378	0.5891219143364409	0.6486714689300044	context_supported
VEGFA	FLT1	VEGF	HRA001986_chondrocyte	Ch.3(PRG4)	Ch.3(PRG4)	0.3664870483647171	0.0048682732499419215	0.04223930745175782	ligand_or_receptor_sparse
VEGFA	KDR	VEGF	GSE220243_meniscus	fibrochondrocyte_core	endothelial	0.7142404048536378	0.3095213753324376	0.47018365818932395	context_supported
VEGFA	KDR	VEGF	HRA001986_chondrocyte	Ch.3(PRG4)	Ch.5(cycling)	0.3664870483647171	0.002322720809990543	0.029176139117928865	ligand_or_receptor_sparse
