mechanism_rank	axis_id	phase	mechanism_evidence_score	evidence_tier	evidence_grade	best_pair	member_pairs	primary_sender_state	primary_receiver_state	lr_context_score	n_context_supported_edges	n_liana_ready_edges	target_concordance_score	target_overlap_count	best_target_seed	best_overlap_genes	formal_tool_ready	wetlab_priority	manuscript_role	claim_guardrail	synovial_fluid_targets	perturbation_strategy	primary_readouts	risk_note
1	MIF_CD74	phase_1_frontline	99.30443112739795	tier_1_leading_axis	frontline_context_supported	MIF->CD74	MIF->CD74	GSE220243_meniscus:fibrochondrocyte_core	GSE220243_meniscus:immune_myeloid	1.1306906089520332	2	2	60.23634285937667	8	msp_primary_cnmf_programs	FOSL1;INHBA;HSPA5;RCAN1;ANGPTL4;TNFRSF12A;SERPINA3;SDF2L1	ready_for_CellChat_LIANA_NicheNet	high	primary_mechanism_candidate	Can be framed as a leading candidate axis, but only as validated mechanism after formal communication, protein, and perturbation evidence.	MIF, soluble CD74 if available, macrophage chemokines	anti-MIF or ISO-1; CD74 blockade as a receptor-side sensitivity test	IL6, CXCL8, MMP3, MMP13, NF-kB/STAT3 targets, senescence/SASP markers	CD74 is strongest in immune cells; tissue contamination and immune-cell abundance must be separated from paracrine activation.
2	ANGPTL4_integrin	phase_1_frontline	92.9957926282946	tier_1_leading_axis	frontline_context_supported	ANGPTL4->ITGB1	ANGPTL4->ITGB1;ANGPTL4->ITGAV	GSE220243_meniscus:fibrochondrocyte_core	GSE220243_meniscus:mural_smooth_muscle	0.7779525436986666	4	4	60.23634285937667	8	msp_primary_cnmf_programs	FOSL1;INHBA;HSPA5;RCAN1;ANGPTL4;TNFRSF12A;SERPINA3;SDF2L1	ready_for_CellChat_LIANA_NicheNet	high	primary_mechanism_candidate	Can be framed as a leading candidate axis, but only as validated mechanism after formal communication, protein, and perturbation evidence.	ANGPTL4 plus matrix-remodeling proteins and integrin-associated ECM fragments	anti-ANGPTL4, ITGB1 blocking antibody, ITGAV blocking antibody, or RGD/integrin competition control	tube formation, endothelial migration, COL1A1/COL3A1/FN1, MMPs, cell adhesion, ECM remodeling	Integrin axes are matrix-context dependent; soluble LR inference alone is weaker than functional adhesion/angiogenesis evidence.
3	VEGF	phase_1_frontline	90.68363058560375	tier_1_leading_axis	frontline_context_supported	VEGFA->FLT1	VEGFA->FLT1;VEGFA->KDR	GSE220243_meniscus:fibrochondrocyte_core	GSE220243_meniscus:endothelial	0.6486714689300044	2	4	60.23634285937667	8	msp_primary_cnmf_programs	FOSL1;INHBA;HSPA5;RCAN1;ANGPTL4;TNFRSF12A;SERPINA3;SDF2L1	ready_for_CellChat_LIANA_NicheNet	high	primary_mechanism_candidate	Can be framed as a leading candidate axis, but only as validated mechanism after formal communication, protein, and perturbation evidence.	VEGFA, soluble FLT1 if available, angiogenesis panel proteins	anti-VEGFA or VEGFR inhibitor; include endothelial viability control	tube formation, endothelial migration, KDR/FLT1 targets, ANGPT2, IL6, MMPs	VEGF is biologically strong but not meniscus-specific; tie it back to MSP-high cell states and joint-fluid protein evidence.
4	MIF_chemokine_receptors	phase_2_mechanistic	82.14118481514978	tier_2_secondary_axis	context_supported	MIF->CXCR4	MIF->CXCR4;MIF->CXCR2	GSE220243_meniscus:fibrochondrocyte_core	GSE220243_meniscus:t_nk	0.7995011701375385	1	1	60.23634285937667	8	msp_primary_cnmf_programs	FOSL1;INHBA;HSPA5;RCAN1;ANGPTL4;TNFRSF12A;SERPINA3;SDF2L1	ready_with_caution	medium_high	secondary_mechanism_candidate	Use as secondary mechanism; require receptor/pathway validation before causal language.	MIF, CXCL12, CCL2, CXCL8 and matched chemokine panel proteins	CXCR4 antagonist AMD3100, CXCR2 antagonist, CCR2 antagonist, or ligand-neutralizing antibody matched to the axis	cell migration, IL6/CXCL8/CCL2 secretion, NF-kB targets, macrophage activation markers	Chemokine receptors can be sparse in dissociated single-cell data; use protein and functional migration evidence before strong claims.
5	FGF_FGFR	phase_2_mechanistic	74.234528319538	tier_2_secondary_axis	context_supported	FGF2->FGFR1	FGF2->FGFR1;FGF2->FGFR2;FGF1->FGFR1	GSE220243_meniscus:fibrochondrocyte_core	GSE220243_meniscus:outer_fibrous_like	0.422921674135868	2	2	56.15796111034567	7	remodeling_msp_programs	FOSL1;INHBA;HSPA5;RCAN1;TNFRSF12A;SERPINA3;SDF2L1	ready_with_caution	medium_high	secondary_mechanism_candidate	Use as secondary mechanism; require receptor/pathway validation before causal language.	FGF2/FGF1 and tissue-remodeling panel proteins	FGFR inhibitor such as BGJ398 or PD173074 with viability control	ERK targets, proliferation, COL1A1/FN1, MMPs, PRG4, catabolic markers	FGF biology is pleiotropic; distinguish repair/proliferation from inflammatory remodeling.
6	BMP2_BMPR	phase_2_mechanistic	64.59252609291724	tier_2_secondary_axis	priority_with_weak_context	BMP2->BMPR2	BMP2->BMPR2;BMP2->BMPR1A	GSE220243_meniscus:mural_smooth_muscle	GSE220243_meniscus:endothelial	0.2159297688036064	3	3	56.15796111034567	7	remodeling_msp_programs	FOSL1;INHBA;HSPA5;RCAN1;TNFRSF12A;SERPINA3;SDF2L1	ready_with_caution	medium_high	secondary_mechanism_candidate	Use as secondary mechanism; require receptor/pathway validation before causal language.	BMP2 and BMP pathway proteins if available	noggin or BMP receptor inhibitor such as LDN-193189	ID1/ID2, RUNX2, COL10A1, ACAN, COL2A1, MMP13, fibrocartilage differentiation markers	BMP signals can be repair-associated or degenerative depending on context; interpret direction with differentiation readouts.
7	INHBA_activin	phase_2_mechanistic	50.3037369153479	tier_2_secondary_axis	priority_with_sparse_receptor_context	INHBA->ACVR1B	INHBA->ACVR1B;INHBA->ACVR2A;INHBA->ACVR2B	HRA001986_chondrocyte:Ch.3(PRG4)	HRA001986_chondrocyte:Ch.4(CFD)	0.0767728525459863	0	0	56.15796111034567	7	remodeling_msp_programs	FOSL1;INHBA;HSPA5;RCAN1;TNFRSF12A;SERPINA3;SDF2L1	ready_with_caution	medium_high	secondary_mechanism_candidate	Use as secondary mechanism; require receptor/pathway validation before causal language.	INHBA/activin A and TGF-beta-family panel proteins	follistatin, activin receptor blockade, or ALK4/5/7 pathway inhibitor with toxicity control	SMAD2/3 targets, COL1A1, COL2A1, ACAN, MMP13, ADAMTS5, fibrotic markers	Single-cell receptor context is sparse for several ACVR receptors; require pathway readout before prioritizing mechanistic claims.
8	SPP1_matrix_immune	phase_3_secondary	38.05362489033225	tier_3_supporting_axis	priority_with_weak_context	SPP1->CD44	SPP1->CD44;SPP1->ITGB1;SPP1->ITGAV	GSE220243_meniscus:endothelial	GSE220243_meniscus:mural_smooth_muscle	0.2203465403942976	3	3	2.5582314343952848	2	inflammatory_sasp_like	TIMP1;MMP13	exploratory_or_requires_receptor_validation	medium	supporting_or_sensitivity_axis	Use as supportive biology, not a main mechanistic claim.	SPP1/osteopontin and matrix-remodeling proteins	anti-SPP1, CD44 blockade, or integrin blockade matched to receptor context	macrophage/fibroblast activation, CD44 targets, MMPs, COL1A1/FN1, inflammatory cytokines	SPP1 is strong in OA literature but was not a primary cNMF MSP ligand in this pipeline; keep it as validation-rich second tier.
9	IL6_gp130	phase_3_secondary	37.57501322546314	tier_3_supporting_axis	priority_with_weak_context	IL6->IL6ST	IL6->IL6ST;IL6->IL6R	GSE220243_meniscus:mural_smooth_muscle	GSE220243_meniscus:endothelial	0.1935856865749483	3	3	2.5582314343952848	2	inflammatory_sasp_like	TIMP1;MMP13	exploratory_or_requires_receptor_validation	medium	supporting_or_sensitivity_axis	Use as supportive biology, not a main mechanistic claim.	IL6, IL6ST/gp130-related cytokine panel proteins	JAK inhibitor, gp130 pathway blockade, or ligand/receptor-specific antibody if available	STAT3 phosphorylation/targets, IL6, CXCL8, MMP3, MMP13, senescence/SASP markers	Generic inflammatory signaling can dilute MSP specificity; require co-localization with MSP-high states or subtype-specific evidence.
10	IL11_gp130	phase_3_secondary	36.24378432035438	tier_3_supporting_axis	priority_with_weak_context	IL11->IL6ST	IL11->IL6ST;IL11->IL11RA	HRA001986_chondrocyte:Ch.5(cycling)	HRA001986_chondrocyte:Ch.4(CFD)	0.1191520178104184	2	2	2.5582314343952848	2	inflammatory_sasp_like	TIMP1;MMP13	exploratory_or_requires_receptor_validation	medium	supporting_or_sensitivity_axis	Use as supportive biology, not a main mechanistic claim.	IL11, soluble IL11RA if available, gp130-family cytokine panel	anti-IL11, anti-IL11RA, or JAK/STAT pathway blockade	STAT3/ERK targets, COL1A1, ACTA2, FN1, IL6, MMP3, MMP13	IL11RA detection is modest; use pathway activation and blockade rescue as the deciding evidence.
