ligand	receptor	pathway	priority_score	priority_tier	ligand_program_support	bulk_ligand_support	bulk_ligand_delta_s1_minus_s2	bulk_ligand_fdr	bulk_receptor_support	bulk_receptor_delta_s1_minus_s2	bulk_receptor_fdr	receptor_context_support	receptor_top_context	source_programs	paracrine_rationale	recommended_validation
ANGPTL4	ITGB1	ANGPTL4_integrin	11.472108815239027	high	5.941960135022812	2.426486902524715	0.9143951130328818	0.007766252994024447	1.045545784357529	0.47674003545401367	0.21833760275585093	1.476334307076982	GSE220243_broad:mural_smooth_muscle	K14_P9_angiogenic_paracrine;K26_P2_other_fibrochondrocyte_program;K10_P5_senescence_paracrine_MSP_like;K16_P11_angiogenic_paracrine;K20_P11_angiogenic_paracrine;K18_P11_angiogenic_paracrine;K18_P3_angiogenic_paracrine;K20_P3_angiogenic_paracrine;K28_P3_other_fibrochondrocyte_program	interface angiogenic-matrix signaling candidate	synovial fluid proteomics + endothelial/angiogenesis readout
ANGPTL4	ITGAV	ANGPTL4_integrin	11.369961732834922	high	5.941960135022812	2.426486902524715	0.9143951130328818	0.007766252994024447	1.8812611916042927	0.7405362153510527	0.02877970002068983	0.872757980324818	GSE220243_broad:outer_fibrous_like	K14_P9_angiogenic_paracrine;K26_P2_other_fibrochondrocyte_program;K10_P5_senescence_paracrine_MSP_like;K16_P11_angiogenic_paracrine;K20_P11_angiogenic_paracrine;K18_P11_angiogenic_paracrine;K18_P3_angiogenic_paracrine;K20_P3_angiogenic_paracrine;K28_P3_other_fibrochondrocyte_program	interface angiogenic-matrix signaling candidate	synovial fluid proteomics + endothelial/angiogenesis readout
MIF	CD74	MIF_CD74	11.191894233487819	high	6.270675076248063	1.0364724432078036	0.48284590934449506	0.23746130030959756	1.4768815216223892	0.6268708578821107	0.08449860329262794	1.998617801058518	GSE220243_broad:immune_myeloid	K12_P8_senescence_paracrine_MSP_like;K14_P9_angiogenic_paracrine;K9_P3_senescence_paracrine_MSP_like;K5_P2_fibrocartilage_matrix;K8_P3_senescence_paracrine_MSP_like;K7_P3_senescence_paracrine_MSP_like;K6_P4_senescence_paracrine_MSP_like;K10_P5_senescence_paracrine_MSP_like;K16_P11_angiogenic_paracrine;K20_P11_angiogenic_paracrine;K18_P11_angiogenic_paracrine	MSP/SASP macrophage-fibroblast signaling candidate	synovial fluid proteomics + immune/synovial fibroblast response assay
MIF	CXCR4	MIF_CXCR4	10.393114956953053	high	6.270675076248063	1.0364724432078036	0.48284590934449506	0.23746130030959756	1.0519310560812642	0.4931516512601355	0.23746130030959756	1.4548088038484281	GSE220243_broad:t_nk	K12_P8_senescence_paracrine_MSP_like;K14_P9_angiogenic_paracrine;K9_P3_senescence_paracrine_MSP_like;K5_P2_fibrocartilage_matrix;K8_P3_senescence_paracrine_MSP_like;K7_P3_senescence_paracrine_MSP_like;K6_P4_senescence_paracrine_MSP_like;K10_P5_senescence_paracrine_MSP_like;K16_P11_angiogenic_paracrine;K20_P11_angiogenic_paracrine;K18_P11_angiogenic_paracrine	chemokine-like inflammatory paracrine signaling	synovial fluid proteomics + immune/synovial fibroblast response assay
VEGFA	FLT1	VEGF	9.805797582239036	high	6.270675076248063	1.1219923810951469	0.4953944963922094	0.17466211991427213	0.40267680281311835	0.20271165465011157	0.635011160671375	1.1715240432079548	GSE220243_broad:endothelial	K12_P8_senescence_paracrine_MSP_like;K14_P9_angiogenic_paracrine;K9_P3_senescence_paracrine_MSP_like;K5_P2_fibrocartilage_matrix;K8_P3_senescence_paracrine_MSP_like;K7_P3_senescence_paracrine_MSP_like;K6_P4_senescence_paracrine_MSP_like;K10_P5_senescence_paracrine_MSP_like;K16_P11_angiogenic_paracrine;K20_P11_angiogenic_paracrine;K18_P11_angiogenic_paracrine	angiogenic and vascular remodeling candidate	synovial fluid proteomics + endothelial/angiogenesis readout
VEGFA	KDR	VEGF	9.566347163634605	high	6.270675076248063	1.1219923810951469	0.4953944963922094	0.17466211991427213	0.702509928428556	0.34893660902262913	0.4383186705767351	0.7521737492342607	GSE220243_broad:endothelial	K12_P8_senescence_paracrine_MSP_like;K14_P9_angiogenic_paracrine;K9_P3_senescence_paracrine_MSP_like;K5_P2_fibrocartilage_matrix;K8_P3_senescence_paracrine_MSP_like;K7_P3_senescence_paracrine_MSP_like;K6_P4_senescence_paracrine_MSP_like;K10_P5_senescence_paracrine_MSP_like;K16_P11_angiogenic_paracrine;K20_P11_angiogenic_paracrine;K18_P11_angiogenic_paracrine	angiogenic and endothelial activation candidate	synovial fluid proteomics + endothelial/angiogenesis readout
INHBA	ACVR1B	activin	9.478481531140368	high	6.16787790961325	2.2308712860391395	0.8322362593739323	0.01083842573198641	0.9450891080691075	0.4157449990758549	0.22753949039409002	0.512678870646515	GSE220243_broad:endothelial	K12_P8_senescence_paracrine_MSP_like;K14_P9_angiogenic_paracrine;K24_P17_angiogenic_paracrine;K26_P19_angiogenic_paracrine;K10_P5_senescence_paracrine_MSP_like;K30_P23_angiogenic_paracrine;K28_P20_angiogenic_paracrine;K16_P11_angiogenic_paracrine;K20_P11_angiogenic_paracrine;K18_P11_angiogenic_paracrine;K22_P16_angiogenic_paracrine	SASP/TGF-beta-family remodeling candidate	synovial fluid proteomics + CellChat/LIANA/NicheNet consensus
INHBA	ACVR2A	activin	9.46134158467862	high	6.16787790961325	2.2308712860391395	0.8322362593739323	0.01083842573198641	0.9035716349863561	0.43603487778479355	0.3169285497864847	0.5204494080344169	GSE220243_broad:immune_myeloid	K12_P8_senescence_paracrine_MSP_like;K14_P9_angiogenic_paracrine;K24_P17_angiogenic_paracrine;K26_P19_angiogenic_paracrine;K10_P5_senescence_paracrine_MSP_like;K30_P23_angiogenic_paracrine;K28_P20_angiogenic_paracrine;K16_P11_angiogenic_paracrine;K20_P11_angiogenic_paracrine;K18_P11_angiogenic_paracrine;K22_P16_angiogenic_paracrine	SASP/TGF-beta-family remodeling candidate	synovial fluid proteomics + CellChat/LIANA/NicheNet consensus
INHBA	ACVR2B	activin	9.386321217078148	high	6.16787790961325	2.2308712860391395	0.8322362593739323	0.01083842573198641	0.8181072969184362	0.41862425846150525	0.4165414088075684	0.4967076432746991	GSE220243_broad:mural_smooth_muscle	K12_P8_senescence_paracrine_MSP_like;K14_P9_angiogenic_paracrine;K24_P17_angiogenic_paracrine;K26_P19_angiogenic_paracrine;K10_P5_senescence_paracrine_MSP_like;K30_P23_angiogenic_paracrine;K28_P20_angiogenic_paracrine;K16_P11_angiogenic_paracrine;K20_P11_angiogenic_paracrine;K18_P11_angiogenic_paracrine;K22_P16_angiogenic_paracrine	SASP/TGF-beta-family remodeling candidate	synovial fluid proteomics + CellChat/LIANA/NicheNet consensus
BMP2	BMPR2	BMP	8.95928091600278	high	6.270675076248063	1.2431451245672052	0.558525525050526	0.15462735462735464	0.7265753405367978	0.36498021709479034	0.4383186705767351	1.0095155108654346	GSE220243_broad:endothelial	K12_P8_senescence_paracrine_MSP_like;K14_P9_angiogenic_paracrine;K24_P17_angiogenic_paracrine;K26_P19_angiogenic_paracrine;K9_P3_senescence_paracrine_MSP_like;K5_P2_fibrocartilage_matrix;K8_P3_senescence_paracrine_MSP_like;K7_P3_senescence_paracrine_MSP_like;K6_P4_senescence_paracrine_MSP_like;K10_P5_senescence_paracrine_MSP_like;K30_P23_angiogenic_paracrine;K28_P20_angiogenic_paracrine;K16_P11_angiogenic_paracrine;K20_P11_angiogenic_paracrine;K18_P11_angiogenic_paracrine;K22_P16_angiogenic_paracrine	fibrocartilage differentiation and remodeling candidate	synovial fluid proteomics + CellChat/LIANA/NicheNet consensus
MIF	CXCR2	MIF_CXCR2	8.606012038183081	high	6.270675076248063	1.0364724432078036	0.48284590934449506	0.23746130030959756	0.49243408545204215	0.22491973548777025	0.48965594932780293	0.0034040674559896182	GSE220243_broad:immune_myeloid	K12_P8_senescence_paracrine_MSP_like;K14_P9_angiogenic_paracrine;K9_P3_senescence_paracrine_MSP_like;K5_P2_fibrocartilage_matrix;K8_P3_senescence_paracrine_MSP_like;K7_P3_senescence_paracrine_MSP_like;K6_P4_senescence_paracrine_MSP_like;K10_P5_senescence_paracrine_MSP_like;K16_P11_angiogenic_paracrine;K20_P11_angiogenic_paracrine;K18_P11_angiogenic_paracrine	chemokine-like inflammatory paracrine signaling	synovial fluid proteomics + immune/synovial fibroblast response assay
FGF2	FGFR1	FGF	8.477425783955196	high	6.212857852788097	0.5780521391491649	0.23299063750044144	0.3490339194820968	1.0513184386813534	0.4604088185294292	0.189928255054567	1.0557247288091234	GSE220243_broad:outer_fibrous_like	K14_P9_angiogenic_paracrine;K24_P17_angiogenic_paracrine;K26_P19_angiogenic_paracrine;K5_P2_fibrocartilage_matrix;K30_P23_angiogenic_paracrine;K28_P20_angiogenic_paracrine;K16_P11_angiogenic_paracrine;K20_P11_angiogenic_paracrine;K18_P11_angiogenic_paracrine;K22_P16_angiogenic_paracrine	repair/proliferation and stromal activation candidate	synovial fluid proteomics + CellChat/LIANA/NicheNet consensus
BMP2	BMPR1A	BMP	8.348831550669225	high	6.270675076248063	1.2431451245672052	0.558525525050526	0.15462735462735464	0.4126742475262718	0.2361305798647642	0.7639118457300276	0.5874068013381942	GSE220243_broad:outer_fibrous_like	K12_P8_senescence_paracrine_MSP_like;K14_P9_angiogenic_paracrine;K24_P17_angiogenic_paracrine;K26_P19_angiogenic_paracrine;K9_P3_senescence_paracrine_MSP_like;K5_P2_fibrocartilage_matrix;K8_P3_senescence_paracrine_MSP_like;K7_P3_senescence_paracrine_MSP_like;K6_P4_senescence_paracrine_MSP_like;K10_P5_senescence_paracrine_MSP_like;K30_P23_angiogenic_paracrine;K28_P20_angiogenic_paracrine;K16_P11_angiogenic_paracrine;K20_P11_angiogenic_paracrine;K18_P11_angiogenic_paracrine;K22_P16_angiogenic_paracrine	fibrocartilage differentiation and remodeling candidate	synovial fluid proteomics + CellChat/LIANA/NicheNet consensus
IL11	IL6ST	IL11	8.29526410632285	high	5.624768653442349	0.8942820839313308	0.4279555144869299	0.3128256643827453	0.7855833425940242	0.35737601618990567	0.3169285497864847	1.3048633633927578	GSE220243_broad:endothelial	K14_P9_angiogenic_paracrine;K24_P17_angiogenic_paracrine;K26_P19_angiogenic_paracrine;K30_P23_angiogenic_paracrine;K28_P20_angiogenic_paracrine;K16_P11_angiogenic_paracrine;K20_P11_angiogenic_paracrine;K18_P11_angiogenic_paracrine;K22_P16_angiogenic_paracrine	fibroblast activation and matrix remodeling candidate	synovial fluid proteomics + CellChat/LIANA/NicheNet consensus
